DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,29,124913559.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 64,pass
1,8,96950520.8646975,144755078.56125447,51.69056672072663,100631448.54937863,2 48,pass
2,8,96953941.95560658,144755078.56125447,51.69056672072663,100631448.54937863,2 44,pass
3,8,96958047.2646975,144755078.56125447,51.69056672072663,100631448.54937863,2 40,pass
4,8,96963064.8646975,144755078.56125447,51.69056672072663,100631448.54937863,2 36,pass
5,8,96969336.8646975,144755078.56125447,51.69056672072663,100631448.54937863,2 32,pass
6,8,96977400.86469749,144755078.56125447,51.69056672072663,100631448.54937863,2 28,pass
7,8,96988152.8646975,144755078.56125447,51.69056672072663,100631448.54937863,2 24,pass
8,8,97003205.66469748,144755078.56125447,51.69056672072663,100631448.54937863,2 20,pass
9,8,97025784.8646975,144755078.56125447,51.69056672072663,100631448.54937863,2 16,pass
10,10,100666250.4664,265384310.6956332,117.29332603830652,126756340.66760089,3 48,pass
11,10,100669671.55730908,265384310.6956332,117.29332603830652,126756340.66760089,3 44,pass
12,10,100673776.86640002,265384310.6956332,117.29332603830652,126756340.66760089,3 40,pass
13,10,100678794.4664,265384310.6956332,117.29332603830652,126756340.66760089,3 36,pass
14,10,100685066.4664,265384310.6956332,117.29332603830652,126756340.66760089,3 32,pass
15,10,100693130.4664,265384310.6956332,117.29332603830652,126756340.66760089,3 28,pass
16,10,100703882.4664,265384310.6956332,117.29332603830652,126756340.66760089,3 24,pass
17,10,100718935.2664,265384310.6956332,117.29332603830652,126756340.66760089,3 20,pass
18,10,100741514.4664,265384310.6956332,117.29332603830652,126756340.66760089,3 16,pass
19,11,102524115.26725128,325698926.76282257,150.09470569709646,139818786.726712,4 48,pass
20,11,102527536.35816036,325698926.76282257,150.09470569709646,139818786.726712,4 44,pass
21,11,102531641.66725127,325698926.76282257,150.09470569709646,139818786.726712,4 40,pass
22,11,102536659.26725128,325698926.76282257,150.09470569709646,139818786.726712,4 36,pass
23,11,102542931.26725128,325698926.76282257,150.09470569709646,139818786.726712,4 32,pass
24,11,102550995.26725124,325698926.76282257,150.09470569709646,139818786.726712,4 28,pass
25,11,102561747.26725128,325698926.76282257,150.09470569709646,139818786.726712,4 24,pass
26,11,102576800.06725124,325698926.76282257,150.09470569709646,139818786.726712,4 20,pass
27,11,102599379.26725128,325698926.76282257,150.09470569709646,139818786.726712,4 16,pass
28,12,102989141.46746407,554894467.8181422,274.73994840049824,152240480.0602139,5 48,pass
29,12,102992562.55837315,554894467.8181422,274.73994840049824,152240480.0602139,5 44,pass
30,12,102996667.8674641,554894467.8181422,274.73994840049824,152240480.0602139,5 40,pass
31,12,103001685.46746407,554894467.8181422,274.73994840049824,152240480.0602139,5 36,pass
32,12,103007957.46746407,554894467.8181422,274.73994840049824,152240480.0602139,5 32,pass
33,12,103016021.46746407,554894467.8181422,274.73994840049824,152240480.0602139,5 28,pass
34,12,103026773.46746407,554894467.8181422,274.73994840049824,152240480.0602139,5 24,pass
35,12,103041826.26746409,554894467.8181422,274.73994840049824,152240480.0602139,5 20,pass
36,12,103064405.46746407,554894467.8181422,274.73994840049824,152240480.0602139,5 16,pass
37,13,103454167.66767693,784090008.8734617,399.3851911039,164662173.3937158,6 48,pass
38,13,103457588.758586,784090008.8734617,399.3851911039,164662173.3937158,6 44,pass
39,13,103461694.06767692,784090008.8734617,399.3851911039,164662173.3937158,6 40,pass
40,13,103466711.66767693,784090008.8734617,399.3851911039,164662173.3937158,6 36,pass
41,13,103472983.66767693,784090008.8734617,399.3851911039,164662173.3937158,6 32,pass
42,13,103481047.6676769,784090008.8734617,399.3851911039,164662173.3937158,6 28,pass
43,13,103491799.66767693,784090008.8734617,399.3851911039,164662173.3937158,6 24,pass
44,13,103506852.4676769,784090008.8734617,399.3851911039,164662173.3937158,6 20,pass
45,13,103529431.66767693,784090008.8734617,399.3851911039,164662173.3937158,6 16,pass
46,19,119237968.07661508,1230418167.7706628,637.1998987649858,209847766.6328293,7 48,fail
47,19,119241389.16752416,1230418167.7706628,637.1998987649858,209847766.6328293,7 44,fail
48,19,119245494.47661509,1230418167.7706628,637.1998987649858,209847766.6328293,7 40,fail
49,19,119250512.07661508,1230418167.7706628,637.1998987649858,209847766.6328293,7 36,fail
50,19,119256784.07661508,1230418167.7706628,637.1998987649858,209847766.6328293,7 32,fail
51,19,119264848.07661508,1230418167.7706628,637.1998987649858,209847766.6328293,7 28,fail
52,19,119275600.07661508,1230418167.7706628,637.1998987649858,209847766.6328293,7 24,fail
53,19,119290652.87661506,1230418167.7706628,637.1998987649858,209847766.6328293,7 20,fail
54,19,119313232.07661508,1230418167.7706628,637.1998987649858,209847766.6328293,7 16,fail
55,29,125193735.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 48,fail
56,29,125295617.9321198,1411362015.972231,729.0602795176018,216503309.2198608,8 44,fail
57,29,125417876.55030169,1411362015.972231,729.0602795176018,216503309.2198608,8 40,fail
58,29,125567303.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 36,fail
59,29,125754087.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 32,fail
60,29,125994238.6074445,1411362015.972231,729.0602795176018,216503309.2198608,8 28,fail
61,29,126314439.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 24,fail
62,29,126762721.35030162,1411362015.972231,729.0602795176018,216503309.2198608,8 20,fail
63,29,127435143.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 16,fail
64,29,125193735.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 48,fail
65,29,125295617.9321198,1411362015.972231,729.0602795176018,216503309.2198608,9 44,fail
66,29,125417876.55030169,1411362015.972231,729.0602795176018,216503309.2198608,9 40,fail
67,29,125567303.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 36,fail
68,29,125754087.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 32,fail
69,29,125994238.6074445,1411362015.972231,729.0602795176018,216503309.2198608,9 28,fail
70,29,126314439.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 24,fail
71,29,126762721.35030162,1411362015.972231,729.0602795176018,216503309.2198608,9 20,fail
72,29,127435143.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 16,fail
73,29,125193735.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 48,fail
74,29,125295617.9321198,1411362015.972231,729.0602795176018,216503309.2198608,10 44,fail
75,29,125417876.55030169,1411362015.972231,729.0602795176018,216503309.2198608,10 40,fail
76,29,125567303.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 36,fail
77,29,125754087.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 32,fail
78,29,125994238.6074445,1411362015.972231,729.0602795176018,216503309.2198608,10 28,fail
79,29,126314439.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 24,fail
80,29,126762721.35030162,1411362015.972231,729.0602795176018,216503309.2198608,10 20,fail
81,29,127435143.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 16,fail
82,29,125193735.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 48,fail
83,29,125295617.9321198,1411362015.972231,729.0602795176018,216503309.2198608,11 44,fail
84,29,125417876.55030169,1411362015.972231,729.0602795176018,216503309.2198608,11 40,fail
85,29,125567303.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 36,fail
86,29,125754087.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 32,fail
87,29,125994238.6074445,1411362015.972231,729.0602795176018,216503309.2198608,11 28,fail
88,29,126314439.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 24,fail
89,29,126762721.35030162,1411362015.972231,729.0602795176018,216503309.2198608,11 20,fail
90,29,127435143.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 16,fail
91,8,96950520.8646975,144755078.56125447,51.69056672072663,100631448.54937863,2 48,pass
92,8,96953941.95560658,144755078.56125447,51.69056672072663,100631448.54937863,2 44,pass
93,8,96958047.2646975,144755078.56125447,51.69056672072663,100631448.54937863,2 40,pass
94,8,96963064.8646975,144755078.56125447,51.69056672072663,100631448.54937863,2 36,pass
95,8,96969336.8646975,144755078.56125447,51.69056672072663,100631448.54937863,2 32,pass
96,8,96977400.86469749,144755078.56125447,51.69056672072663,100631448.54937863,2 28,pass
97,8,96988152.8646975,144755078.56125447,51.69056672072663,100631448.54937863,2 24,pass
98,8,97003205.66469748,144755078.56125447,51.69056672072663,100631448.54937863,2 20,pass
99,8,97025784.8646975,144755078.56125447,51.69056672072663,100631448.54937863,2 16,pass
100,10,100666250.4664,265384310.6956332,117.29332603830652,126756340.66760089,3 48,pass
101,10,100669671.55730908,265384310.6956332,117.29332603830652,126756340.66760089,3 44,pass
102,10,100673776.86640002,265384310.6956332,117.29332603830652,126756340.66760089,3 40,pass
103,10,100678794.4664,265384310.6956332,117.29332603830652,126756340.66760089,3 36,pass
104,10,100685066.4664,265384310.6956332,117.29332603830652,126756340.66760089,3 32,pass
105,10,100693130.4664,265384310.6956332,117.29332603830652,126756340.66760089,3 28,pass
106,10,100703882.4664,265384310.6956332,117.29332603830652,126756340.66760089,3 24,pass
107,10,100718935.2664,265384310.6956332,117.29332603830652,126756340.66760089,3 20,pass
108,10,100741514.4664,265384310.6956332,117.29332603830652,126756340.66760089,3 16,pass
109,11,102524115.26725128,325698926.76282257,150.09470569709646,139818786.726712,4 48,pass
110,11,102527536.35816036,325698926.76282257,150.09470569709646,139818786.726712,4 44,pass
111,11,102531641.66725127,325698926.76282257,150.09470569709646,139818786.726712,4 40,pass
112,11,102536659.26725128,325698926.76282257,150.09470569709646,139818786.726712,4 36,pass
113,11,102542931.26725128,325698926.76282257,150.09470569709646,139818786.726712,4 32,pass
114,11,102550995.26725124,325698926.76282257,150.09470569709646,139818786.726712,4 28,pass
115,11,102561747.26725128,325698926.76282257,150.09470569709646,139818786.726712,4 24,pass
116,11,102576800.06725124,325698926.76282257,150.09470569709646,139818786.726712,4 20,pass
117,11,102599379.26725128,325698926.76282257,150.09470569709646,139818786.726712,4 16,pass
118,12,102989141.46746407,554894467.8181422,274.73994840049824,152240480.0602139,5 48,pass
119,12,102992562.55837315,554894467.8181422,274.73994840049824,152240480.0602139,5 44,pass
120,12,102996667.8674641,554894467.8181422,274.73994840049824,152240480.0602139,5 40,pass
121,12,103001685.46746407,554894467.8181422,274.73994840049824,152240480.0602139,5 36,pass
122,12,103007957.46746407,554894467.8181422,274.73994840049824,152240480.0602139,5 32,pass
123,12,103016021.46746407,554894467.8181422,274.73994840049824,152240480.0602139,5 28,pass
124,12,103026773.46746407,554894467.8181422,274.73994840049824,152240480.0602139,5 24,pass
125,12,103041826.26746409,554894467.8181422,274.73994840049824,152240480.0602139,5 20,pass
126,12,103064405.46746407,554894467.8181422,274.73994840049824,152240480.0602139,5 16,pass
127,13,103454167.66767693,784090008.8734617,399.3851911039,164662173.3937158,6 48,pass
128,13,103457588.758586,784090008.8734617,399.3851911039,164662173.3937158,6 44,pass
129,13,103461694.06767692,784090008.8734617,399.3851911039,164662173.3937158,6 40,pass
130,13,103466711.66767693,784090008.8734617,399.3851911039,164662173.3937158,6 36,pass
131,13,103472983.66767693,784090008.8734617,399.3851911039,164662173.3937158,6 32,pass
132,13,103481047.6676769,784090008.8734617,399.3851911039,164662173.3937158,6 28,pass
133,13,103491799.66767693,784090008.8734617,399.3851911039,164662173.3937158,6 24,pass
134,13,103506852.4676769,784090008.8734617,399.3851911039,164662173.3937158,6 20,pass
135,13,103529431.66767693,784090008.8734617,399.3851911039,164662173.3937158,6 16,pass
136,19,119237968.07661508,1230418167.7706628,637.1998987649858,209847766.6328293,7 48,fail
137,19,119241389.16752416,1230418167.7706628,637.1998987649858,209847766.6328293,7 44,fail
138,19,119245494.47661509,1230418167.7706628,637.1998987649858,209847766.6328293,7 40,fail
139,19,119250512.07661508,1230418167.7706628,637.1998987649858,209847766.6328293,7 36,fail
140,19,119256784.07661508,1230418167.7706628,637.1998987649858,209847766.6328293,7 32,fail
141,19,119264848.07661508,1230418167.7706628,637.1998987649858,209847766.6328293,7 28,fail
142,19,119275600.07661508,1230418167.7706628,637.1998987649858,209847766.6328293,7 24,fail
143,19,119290652.87661506,1230418167.7706628,637.1998987649858,209847766.6328293,7 20,fail
144,19,119313232.07661508,1230418167.7706628,637.1998987649858,209847766.6328293,7 16,fail
145,29,125193735.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 48,fail
146,29,125295617.9321198,1411362015.972231,729.0602795176018,216503309.2198608,8 44,fail
147,29,125417876.55030169,1411362015.972231,729.0602795176018,216503309.2198608,8 40,fail
148,29,125567303.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 36,fail
149,29,125754087.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 32,fail
150,29,125994238.6074445,1411362015.972231,729.0602795176018,216503309.2198608,8 28,fail
151,29,126314439.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 24,fail
152,29,126762721.35030162,1411362015.972231,729.0602795176018,216503309.2198608,8 20,fail
153,29,127435143.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 16,fail
154,29,125193735.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 48,fail
155,29,125295617.9321198,1411362015.972231,729.0602795176018,216503309.2198608,9 44,fail
156,29,125417876.55030169,1411362015.972231,729.0602795176018,216503309.2198608,9 40,fail
157,29,125567303.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 36,fail
158,29,125754087.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 32,fail
159,29,125994238.6074445,1411362015.972231,729.0602795176018,216503309.2198608,9 28,fail
160,29,126314439.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 24,fail
161,29,126762721.35030162,1411362015.972231,729.0602795176018,216503309.2198608,9 20,fail
162,29,127435143.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 16,fail
163,29,125193735.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 48,fail
164,29,125295617.9321198,1411362015.972231,729.0602795176018,216503309.2198608,10 44,fail
165,29,125417876.55030169,1411362015.972231,729.0602795176018,216503309.2198608,10 40,fail
166,29,125567303.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 36,fail
167,29,125754087.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 32,fail
168,29,125994238.6074445,1411362015.972231,729.0602795176018,216503309.2198608,10 28,fail
169,29,126314439.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 24,fail
170,29,126762721.35030162,1411362015.972231,729.0602795176018,216503309.2198608,10 20,fail
171,29,127435143.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 16,fail
172,29,125193735.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 48,fail
173,29,125295617.9321198,1411362015.972231,729.0602795176018,216503309.2198608,11 44,fail
174,29,125417876.55030169,1411362015.972231,729.0602795176018,216503309.2198608,11 40,fail
175,29,125567303.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 36,fail
176,29,125754087.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 32,fail
177,29,125994238.6074445,1411362015.972231,729.0602795176018,216503309.2198608,11 28,fail
178,29,126314439.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 24,fail
179,29,126762721.35030162,1411362015.972231,729.0602795176018,216503309.2198608,11 20,fail
180,29,127435143.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 16,fail
181,8,96950520.8646975,144755078.56125447,51.69056672072663,100631448.54937863,2 48,pass
182,8,96953941.95560658,144755078.56125447,51.69056672072663,100631448.54937863,2 44,pass
183,8,96958047.2646975,144755078.56125447,51.69056672072663,100631448.54937863,2 40,pass
184,8,96963064.8646975,144755078.56125447,51.69056672072663,100631448.54937863,2 36,pass
185,8,96969336.8646975,144755078.56125447,51.69056672072663,100631448.54937863,2 32,pass
186,8,96977400.86469749,144755078.56125447,51.69056672072663,100631448.54937863,2 28,pass
187,8,96988152.8646975,144755078.56125447,51.69056672072663,100631448.54937863,2 24,pass
188,8,97003205.66469748,144755078.56125447,51.69056672072663,100631448.54937863,2 20,pass
189,8,97025784.8646975,144755078.56125447,51.69056672072663,100631448.54937863,2 16,pass
190,10,100666250.4664,265384310.6956332,117.29332603830652,126756340.66760089,3 48,pass
191,10,100669671.55730908,265384310.6956332,117.29332603830652,126756340.66760089,3 44,pass
192,10,100673776.86640002,265384310.6956332,117.29332603830652,126756340.66760089,3 40,pass
193,10,100678794.4664,265384310.6956332,117.29332603830652,126756340.66760089,3 36,pass
194,10,100685066.4664,265384310.6956332,117.29332603830652,126756340.66760089,3 32,pass
195,10,100693130.4664,265384310.6956332,117.29332603830652,126756340.66760089,3 28,pass
196,10,100703882.4664,265384310.6956332,117.29332603830652,126756340.66760089,3 24,pass
197,10,100718935.2664,265384310.6956332,117.29332603830652,126756340.66760089,3 20,pass
198,10,100741514.4664,265384310.6956332,117.29332603830652,126756340.66760089,3 16,pass
199,11,102524115.26725128,325698926.76282257,150.09470569709646,139818786.726712,4 48,pass
200,11,102527536.35816036,325698926.76282257,150.09470569709646,139818786.726712,4 44,pass
