DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,29,194618880.0,4923699.675999999,102762000000000.0,807605034.4827586,1024 64,pass
1,29,194618880.0,4923699.675999999,6459620000000.0,50766479.31034483,256 16,pass
2,29,194618880.0,4923699.675999999,8074520000000.0,63457979.31034483,256 20,pass
3,29,194618880.0,4923699.675999999,9689420000000.0,76149510.34482759,256 24,pass
4,29,194618880.0,4923699.675999999,11304300000000.0,88841013.79310344,256 28,pass
5,29,194618880.0,4923699.675999999,12919200000000.0,101532689.6551724,256 32,pass
6,29,194618880.0,4923699.675999999,14534100000000.0,114224000.0,256 36,pass
7,29,194618880.0,4923699.675999999,16149000000000.0,126916000.0,256 40,pass
8,29,194618880.0,4923699.675999999,17763900000000.0,139607000.0,256 44,pass
9,29,194618880.0,4923699.675999999,19378800000000.0,152299000.0,256 48,pass
10,29,194618880.0,4923699.675999999,6459620000000.0,50766479.31034483,256 16,pass
11,29,194618880.0,4923699.675999999,8074520000000.0,63457979.31034483,256 20,pass
12,29,194618880.0,4923699.675999999,9689420000000.0,76149510.34482759,256 24,pass
13,29,194618880.0,4923699.675999999,11304300000000.0,88841013.79310344,256 28,pass
14,29,194618880.0,4923699.675999999,12919200000000.0,101532689.6551724,256 32,pass
15,29,194618880.0,4923699.675999999,14534100000000.0,114224000.0,256 36,pass
16,29,194618880.0,4923699.675999999,16149000000000.0,126916000.0,256 40,pass
17,29,194618880.0,4923699.675999999,17763900000000.0,139607000.0,256 44,pass
18,29,194618880.0,4923699.675999999,19378800000000.0,152299000.0,256 48,pass
19,28,172500480.0,4731931.675999999,6459620000000.0,50766478.571428575,256 16,pass
20,28,172500480.0,4731931.675999999,8074520000000.0,63457978.571428575,256 20,pass
21,28,172500480.0,4731931.675999999,9689420000000.0,76149510.71428572,256 24,pass
22,28,172500480.0,4731931.675999999,11304300000000.0,88841014.28571428,256 28,pass
23,28,172500480.0,4731931.675999999,12919200000000.0,101532678.57142857,256 32,pass
24,28,172500480.0,4731931.675999999,14534100000000.0,114224000.0,256 36,pass
25,28,172500480.0,4731931.675999999,16149000000000.0,126916000.0,256 40,pass
26,28,172500480.0,4731931.675999999,17763900000000.0,139607000.0,256 44,pass
27,28,172500480.0,4731931.675999999,19378800000000.0,152299000.0,256 48,pass
28,27,150382080.0,4540163.675999999,6459620000000.0,50766477.777777776,256 16,pass
29,27,150382080.0,4540163.675999999,8074520000000.0,63457977.777777776,256 20,pass
30,27,150382080.0,4540163.675999999,9689420000000.0,76149511.1111111,256 24,pass
31,27,150382080.0,4540163.675999999,11304300000000.0,88841014.81481482,256 28,pass
32,27,150382080.0,4540163.675999999,12919200000000.0,101532666.66666669,256 32,pass
33,27,150382080.0,4540163.675999999,14534100000000.0,114224000.0,256 36,pass
34,27,150382080.0,4540163.675999999,16149000000000.0,126916000.0,256 40,pass
35,27,150382080.0,4540163.675999999,17763900000000.0,139607000.0,256 44,pass
36,27,150382080.0,4540163.675999999,19378800000000.0,152299000.0,256 48,pass
37,23,88450560.0,3650064.676,6459620000000.0,50766473.91304348,256 16,pass
38,23,88450560.0,3650064.676,8074520000000.0,63457973.91304348,256 20,pass
39,23,88450560.0,3650064.676,9689420000000.0,76149513.04347827,256 24,pass
40,23,88450560.0,3650064.676,11304300000000.0,88841017.39130434,256 28,pass
41,23,88450560.0,3650064.676,12919200000000.0,101532608.69565216,256 32,pass
42,23,88450560.0,3650064.676,14534100000000.0,114224000.0,256 36,pass
43,23,88450560.0,3650064.676,16149000000000.0,126916000.0,256 40,pass
44,23,88450560.0,3650064.676,17763900000000.0,139607000.0,256 44,pass
45,23,88450560.0,3650064.676,19378800000000.0,152299000.0,256 48,pass
46,16,25966080.0,1935433.676,6459620000000.0,50766462.5,256 16,pass
47,16,25966080.0,1935433.676,8074520000000.0,63457962.5,256 20,pass
48,16,25966080.0,1935433.676,9689420000000.0,76149518.75,256 24,pass
49,16,25966080.0,1935433.676,11304300000000.0,88841025.0,256 28,pass
50,16,25966080.0,1935433.676,12919200000000.0,101532437.5,256 32,pass
51,16,25966080.0,1935433.676,14534100000000.0,114224000.0,256 36,pass
52,16,25966080.0,1935433.676,16149000000000.0,126916000.0,256 40,pass
53,16,25966080.0,1935433.676,17763900000000.0,139607000.0,256 44,pass
54,16,25966080.0,1935433.676,19378800000000.0,152299000.0,256 48,pass
55,0,0.0,0.0,6459620000000.0,,256 16,fail
56,0,0.0,0.0,8074520000000.0,,256 20,fail
57,0,0.0,0.0,9689420000000.0,,256 24,fail
58,0,0.0,0.0,11304300000000.0,,256 28,fail
59,0,0.0,0.0,12919200000000.0,,256 32,fail
60,0,0.0,0.0,14534100000000.0,,256 36,fail
61,0,0.0,0.0,16149000000000.0,,256 40,fail
62,0,0.0,0.0,17763900000000.0,,256 44,fail
63,0,0.0,0.0,19378800000000.0,,256 48,fail
64,0,0.0,0.0,6459620000000.0,,256 16,fail
65,0,0.0,0.0,8074520000000.0,,256 20,fail
66,0,0.0,0.0,9689420000000.0,,256 24,fail
67,0,0.0,0.0,11304300000000.0,,256 28,fail
68,0,0.0,0.0,12919200000000.0,,256 32,fail
69,0,0.0,0.0,14534100000000.0,,256 36,fail
70,0,0.0,0.0,16149000000000.0,,256 40,fail
71,0,0.0,0.0,17763900000000.0,,256 44,fail
72,0,0.0,0.0,19378800000000.0,,256 48,fail
73,0,0.0,0.0,6459620000000.0,,256 16,fail
74,0,0.0,0.0,8074520000000.0,,256 20,fail
75,0,0.0,0.0,9689420000000.0,,256 24,fail
76,0,0.0,0.0,11304300000000.0,,256 28,fail
77,0,0.0,0.0,12919200000000.0,,256 32,fail
78,0,0.0,0.0,14534100000000.0,,256 36,fail
79,0,0.0,0.0,16149000000000.0,,256 40,fail
80,0,0.0,0.0,17763900000000.0,,256 44,fail
81,0,0.0,0.0,19378800000000.0,,256 48,fail
82,0,0.0,0.0,6459620000000.0,,256 16,fail
83,0,0.0,0.0,8074520000000.0,,256 20,fail
84,0,0.0,0.0,9689420000000.0,,256 24,fail
85,0,0.0,0.0,11304300000000.0,,256 28,fail
86,0,0.0,0.0,12919200000000.0,,256 32,fail
87,0,0.0,0.0,14534100000000.0,,256 36,fail
88,0,0.0,0.0,16149000000000.0,,256 40,fail
89,0,0.0,0.0,17763900000000.0,,256 44,fail
90,0,0.0,0.0,19378800000000.0,,256 48,fail
91,29,194618880.0,4923699.675999999,9664790000000.0,75955786.20689656,384 16,pass
92,29,194618880.0,4923699.675999999,12081000000000.0,94944586.20689656,384 20,pass
93,29,194618880.0,4923699.675999999,14497100000000.0,113933034.48275864,384 24,pass
94,29,194618880.0,4923699.675999999,16913300000000.0,132922034.48275864,384 28,pass
95,29,194618880.0,4923699.675999999,19329500000000.0,151911000.0,384 32,pass
96,29,194618880.0,4923699.675999999,21745700000000.0,170900000.0,384 36,pass
97,29,194618880.0,4923699.675999999,24161900000000.0,189889000.0,384 40,pass
98,29,194618880.0,4923699.675999999,26578000000000.0,208877034.4827586,384 44,pass
99,29,194618880.0,4923699.675999999,28994200000000.0,227866034.4827586,384 48,pass
100,29,194618880.0,4923699.675999999,9664790000000.0,75955786.20689656,384 16,pass
101,29,194618880.0,4923699.675999999,12081000000000.0,94944586.20689656,384 20,pass
102,29,194618880.0,4923699.675999999,14497100000000.0,113933034.48275864,384 24,pass
103,29,194618880.0,4923699.675999999,16913300000000.0,132922034.48275864,384 28,pass
104,29,194618880.0,4923699.675999999,19329500000000.0,151911000.0,384 32,pass
105,29,194618880.0,4923699.675999999,21745700000000.0,170900000.0,384 36,pass
106,29,194618880.0,4923699.675999999,24161900000000.0,189889000.0,384 40,pass
107,29,194618880.0,4923699.675999999,26578000000000.0,208877034.4827586,384 44,pass
108,29,194618880.0,4923699.675999999,28994200000000.0,227866034.4827586,384 48,pass
109,28,172500480.0,4731931.675999999,9664790000000.0,75955785.71428572,384 16,pass
110,28,172500480.0,4731931.675999999,12081000000000.0,94944585.71428572,384 20,pass
111,28,172500480.0,4731931.675999999,14497100000000.0,113933035.71428572,384 24,pass
112,28,172500480.0,4731931.675999999,16913300000000.0,132922035.71428572,384 28,pass
113,28,172500480.0,4731931.675999999,19329500000000.0,151911000.0,384 32,pass
114,28,172500480.0,4731931.675999999,21745700000000.0,170900000.0,384 36,pass
115,28,172500480.0,4731931.675999999,24161900000000.0,189889000.0,384 40,pass
116,28,172500480.0,4731931.675999999,26578000000000.0,208877035.7142857,384 44,pass
117,28,172500480.0,4731931.675999999,28994200000000.0,227866035.7142857,384 48,pass
118,27,150382080.0,4540163.675999999,9664790000000.0,75955785.18518518,384 16,pass
119,27,150382080.0,4540163.675999999,12081000000000.0,94944585.18518518,384 20,pass
120,27,150382080.0,4540163.675999999,14497100000000.0,113933037.03703704,384 24,pass
121,27,150382080.0,4540163.675999999,16913300000000.0,132922037.03703704,384 28,pass
122,27,150382080.0,4540163.675999999,19329500000000.0,151911000.0,384 32,pass
123,27,150382080.0,4540163.675999999,21745700000000.0,170900000.0,384 36,pass
124,27,150382080.0,4540163.675999999,24161900000000.0,189889000.0,384 40,pass
125,27,150382080.0,4540163.675999999,26578000000000.0,208877037.03703704,384 44,pass
126,27,150382080.0,4540163.675999999,28994200000000.0,227866037.03703704,384 48,pass
127,23,88450560.0,3650064.676,9664790000000.0,75955782.60869566,384 16,pass
128,23,88450560.0,3650064.676,12081000000000.0,94944582.60869566,384 20,pass
129,23,88450560.0,3650064.676,14497100000000.0,113933043.47826087,384 24,pass
130,23,88450560.0,3650064.676,16913300000000.0,132922043.47826087,384 28,pass
