DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,29,12374400.0,3389505.058,102762000000000.0,807605034.4827586,1024 64,pass
1,29,17787360.0,3574983.358,6459620000000.0,50766479.31034483,256 16,pass
2,29,17787360.0,3574983.358,8074520000000.0,63457979.31034483,256 20,pass
3,29,17787360.0,3574983.358,9689420000000.0,76149510.34482759,256 24,pass
4,29,17787360.0,3574983.358,11304300000000.0,88841010.34482759,256 28,pass
5,29,17787360.0,3574983.358,12919200000000.0,101532689.6551724,256 32,pass
6,29,17787360.0,3574983.358,14534100000000.0,114224000.0,256 36,pass
7,29,17787360.0,3574983.358,16149000000000.0,126916000.0,256 40,pass
8,29,17787360.0,3574983.358,17763900000000.0,139607000.0,256 44,pass
9,29,17787360.0,3574983.358,19378800000000.0,152299000.0,256 48,pass
10,29,17787360.0,3574983.358,6459620000000.0,50766479.31034483,256 16,pass
11,29,17787360.0,3574983.358,8074520000000.0,63457979.31034483,256 20,pass
12,29,17787360.0,3574983.358,9689420000000.0,76149510.34482759,256 24,pass
13,29,17787360.0,3574983.358,11304300000000.0,88841010.34482759,256 28,pass
14,29,17787360.0,3574983.358,12919200000000.0,101532689.6551724,256 32,pass
15,29,17787360.0,3574983.358,14534100000000.0,114224000.0,256 36,pass
16,29,17787360.0,3574983.358,16149000000000.0,126916000.0,256 40,pass
17,29,17787360.0,3574983.358,17763900000000.0,139607000.0,256 44,pass
18,29,17787360.0,3574983.358,19378800000000.0,152299000.0,256 48,pass
19,28,16404960.0,3401037.358,6459620000000.0,50766478.571428575,256 16,pass
20,28,16404960.0,3401037.358,8074520000000.0,63457978.571428575,256 20,pass
21,28,16404960.0,3401037.358,9689420000000.0,76149510.71428572,256 24,pass
22,28,16404960.0,3401037.358,11304300000000.0,88841010.71428572,256 28,pass
23,28,16404960.0,3401037.358,12919200000000.0,101532678.57142857,256 32,pass
24,28,16404960.0,3401037.358,14534100000000.0,114224000.0,256 36,pass
25,28,16404960.0,3401037.358,16149000000000.0,126916000.0,256 40,pass
26,28,16404960.0,3401037.358,17763900000000.0,139607000.0,256 44,pass
27,28,16404960.0,3401037.358,19378800000000.0,152299000.0,256 48,pass
28,27,15022560.0,3296545.358,6459620000000.0,50766477.777777776,256 16,pass
29,27,15022560.0,3296545.358,8074520000000.0,63457977.777777776,256 20,pass
30,27,15022560.0,3296545.358,9689420000000.0,76149511.1111111,256 24,pass
31,27,15022560.0,3296545.358,11304300000000.0,88841011.1111111,256 28,pass
32,27,15022560.0,3296545.358,12919200000000.0,101532666.66666669,256 32,pass
33,27,15022560.0,3296545.358,14534100000000.0,114224000.0,256 36,pass
34,27,15022560.0,3296545.358,16149000000000.0,126916000.0,256 40,pass
