DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,29,45596160.0,5231746.268000001,102762000000000.0,807605034.4827586,1024 64,pass
1,28,44974080.0,5076213.268000001,6459620000000.0,50766467.85714286,256 16,pass
2,28,44974080.0,5076213.268000001,8074520000000.0,63457967.85714286,256 20,pass
3,28,44974080.0,5076213.268000001,9689420000000.0,76149500.0,256 24,pass
4,28,44974080.0,5076213.268000001,11304300000000.0,88841000.0,256 28,pass
5,28,44974080.0,5076213.268000001,12919200000000.0,101532678.57142857,256 32,pass
6,28,44974080.0,5076213.268000001,14534100000000.0,114224000.0,256 36,pass
7,28,44974080.0,5076213.268000001,16149000000000.0,126916000.0,256 40,pass
8,28,44974080.0,5076213.268000001,17763900000000.0,139607000.0,256 44,pass
9,28,44974080.0,5076213.268000001,19378800000000.0,152299000.0,256 48,pass
10,27,40550400.0,4882000.268000001,6459620000000.0,50766466.66666666,256 16,pass
11,27,40550400.0,4882000.268000001,8074520000000.0,63457966.66666666,256 20,pass
12,27,40550400.0,4882000.268000001,9689420000000.0,76149500.0,256 24,pass
13,27,40550400.0,4882000.268000001,11304300000000.0,88841000.0,256 28,pass
14,27,40550400.0,4882000.268000001,12919200000000.0,101532666.66666669,256 32,pass
15,27,40550400.0,4882000.268000001,14534100000000.0,114224000.0,256 36,pass
16,27,40550400.0,4882000.268000001,16149000000000.0,126916000.0,256 40,pass
17,27,40550400.0,4882000.268000001,17763900000000.0,139607000.0,256 44,pass
18,27,40550400.0,4882000.268000001,19378800000000.0,152299000.0,256 48,pass
19,26,36126720.0,4665736.268,6459620000000.0,50766465.38461538,256 16,pass
20,26,36126720.0,4665736.268,8074520000000.0,63457965.38461538,256 20,pass
21,26,36126720.0,4665736.268,9689420000000.0,76149500.0,256 24,pass
22,26,36126720.0,4665736.268,11304300000000.0,88841000.0,256 28,pass
23,26,36126720.0,4665736.268,12919200000000.0,101532653.84615384,256 32,pass
24,26,36126720.0,4665736.268,14534100000000.0,114224000.0,256 36,pass
25,26,36126720.0,4665736.268,16149000000000.0,126916000.0,256 40,pass
26,26,36126720.0,4665736.268,17763900000000.0,139607000.0,256 44,pass
27,26,36126720.0,4665736.268,19378800000000.0,152299000.0,256 48,pass
28,25,31703040.0,4375299.268000001,6459620000000.0,50766464.0,256 16,pass
29,25,31703040.0,4375299.268000001,8074520000000.0,63457964.0,256 20,pass
30,25,31703040.0,4375299.268000001,9689420000000.0,76149500.0,256 24,pass
31,25,31703040.0,4375299.268000001,11304300000000.0,88841000.0,256 28,pass
32,25,31703040.0,4375299.268000001,12919200000000.0,101532640.0,256 32,pass
33,25,31703040.0,4375299.268000001,14534100000000.0,114224000.0,256 36,pass
34,25,31703040.0,4375299.268000001,16149000000000.0,126916000.0,256 40,pass
35,25,31703040.0,4375299.268000001,17763900000000.0,139607000.0,256 44,pass
36,25,31703040.0,4375299.268000001,19378800000000.0,152299000.0,256 48,pass
37,24,27279360.0,4279860.368000001,6459620000000.0,50766462.5,256 16,pass
38,24,27279360.0,4279860.368000001,8074520000000.0,63457962.5,256 20,pass
