DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,29,124913559.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 64,pass
1,1,30532341.62724248,24125846.426875744,1.132811218900592,7374669.34660134,2 48,pass
2,1,30535762.718151554,24125846.426875744,1.132811218900592,7374669.34660134,2 44,pass
3,1,30539868.02724249,24125846.426875744,1.132811218900592,7374669.34660134,2 40,pass
4,1,30544885.62724248,24125846.426875744,1.132811218900592,7374669.34660134,2 36,pass
5,1,30551157.62724248,24125846.426875744,1.132811218900592,7374669.34660134,2 32,pass
6,1,30559221.627242465,24125846.426875744,1.132811218900592,7374669.34660134,2 28,pass
7,1,30569973.62724248,24125846.426875744,1.132811218900592,7374669.34660134,2 24,pass
8,1,30585026.42724245,24125846.426875744,1.132811218900592,7374669.34660134,2 20,pass
9,1,30607605.62724248,24125846.426875744,1.132811218900592,7374669.34660134,2 16,pass
10,2,31002787.827455293,144755078.56125447,66.73557053648047,13975375.024090298,3 48,pass
11,2,31006208.91836437,144755078.56125447,66.73557053648047,13975375.024090298,3 44,pass
12,2,31010314.227455303,144755078.56125447,66.73557053648047,13975375.024090298,3 40,pass
13,2,31015331.827455293,144755078.56125447,66.73557053648047,13975375.024090298,3 36,pass
14,2,31021603.827455293,144755078.56125447,66.73557053648047,13975375.024090298,3 32,pass
15,2,31029667.82745528,144755078.56125447,66.73557053648047,13975375.024090298,3 28,pass
16,2,31040419.827455293,144755078.56125447,66.73557053648047,13975375.024090298,3 24,pass
17,2,31055472.62745527,144755078.56125447,66.73557053648047,13975375.024090298,3 20,pass
18,2,31078051.827455293,144755078.56125447,66.73557053648047,13975375.024090298,3 16,pass
19,3,31467814.027668107,373950619.6165741,191.38081323988223,26397068.357592206,4 48,pass
20,3,31471235.118577182,373950619.6165741,191.38081323988223,26397068.357592206,4 44,pass
21,3,31475340.42766812,373950619.6165741,191.38081323988223,26397068.357592206,4 40,pass
22,3,31480358.027668107,373950619.6165741,191.38081323988223,26397068.357592206,4 36,pass
23,3,31486630.027668107,373950619.6165741,191.38081323988223,26397068.357592206,4 32,pass
24,3,31494694.02766809,373950619.6165741,191.38081323988223,26397068.357592206,4 28,pass
25,3,31505446.027668107,373950619.6165741,191.38081323988223,26397068.357592206,4 24,pass
26,3,31520498.82766809,373950619.6165741,191.38081323988223,26397068.357592206,4 20,pass
27,3,31543078.027668107,373950619.6165741,191.38081323988223,26397068.357592206,4 16,pass
28,4,31938260.22788092,494579851.7509528,256.98357255746214,32997774.035081163,5 48,pass
29,4,31941681.31879,494579851.7509528,256.98357255746214,32997774.035081163,5 44,pass
30,4,31945786.62788093,494579851.7509528,256.98357255746214,32997774.035081163,5 40,pass
31,4,31950804.22788092,494579851.7509528,256.98357255746214,32997774.035081163,5 36,pass
32,4,31957076.22788092,494579851.7509528,256.98357255746214,32997774.035081163,5 32,pass
33,4,31965140.227880903,494579851.7509528,256.98357255746214,32997774.035081163,5 28,pass
34,4,31975892.22788092,494579851.7509528,256.98357255746214,32997774.035081163,5 24,pass
35,4,31990945.0278809,494579851.7509528,256.98357255746214,32997774.035081163,5 20,pass
36,4,32013524.22788092,494579851.7509528,256.98357255746214,32997774.035081163,5 16,pass
37,5,32403286.42809373,723775392.8062724,381.6288152608639,45419467.36858307,6 48,pass
38,5,32406707.51900281,723775392.8062724,381.6288152608639,45419467.36858307,6 44,pass
39,5,32410812.828093745,723775392.8062724,381.6288152608639,45419467.36858307,6 40,pass
40,5,32415830.42809373,723775392.8062724,381.6288152608639,45419467.36858307,6 36,pass
41,5,32422102.42809373,723775392.8062724,381.6288152608639,45419467.36858307,6 32,pass
42,5,32430166.42809372,723775392.8062724,381.6288152608639,45419467.36858307,6 28,pass
43,5,32440918.42809373,723775392.8062724,381.6288152608639,45419467.36858307,6 24,pass
44,5,32455971.22809372,723775392.8062724,381.6288152608639,45419467.36858307,6 20,pass
45,5,32478550.42809373,723775392.8062724,381.6288152608639,45419467.36858307,6 16,pass
46,14,60717214.24277789,1254544014.1975386,665.3654544442556,144081190.31593245,7 48,pass
47,14,60720635.33368696,1254544014.1975386,665.3654544442556,144081190.31593245,7 44,pass
48,14,60724740.6427779,1254544014.1975386,665.3654544442556,144081190.31593245,7 40,pass
49,14,60729758.24277789,1254544014.1975386,665.3654544442556,144081190.31593245,7 36,pass
50,14,60736030.24277789,1254544014.1975386,665.3654544442556,144081190.31593245,7 32,pass
51,14,60744094.24277788,1254544014.1975386,665.3654544442556,144081190.31593245,7 28,pass
52,14,60754846.24277789,1254544014.1975386,665.3654544442556,144081190.31593245,7 24,pass
53,14,60769899.042777866,1254544014.1975386,665.3654544442556,144081190.31593245,7 20,pass
54,14,60792478.24277789,1254544014.1975386,665.3654544442556,144081190.31593245,7 16,pass
55,29,125193735.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 48,fail
56,29,125295617.9321198,1411362015.972231,729.0602795176018,216503309.2198608,8 44,fail
57,29,125417876.55030169,1411362015.972231,729.0602795176018,216503309.2198608,8 40,fail
58,29,125567303.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 36,fail
59,29,125754087.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 32,fail
60,29,125994238.6074445,1411362015.972231,729.0602795176018,216503309.2198608,8 28,fail
61,29,126314439.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 24,fail
62,29,126762721.35030162,1411362015.972231,729.0602795176018,216503309.2198608,8 20,fail
63,29,127435143.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 16,fail
64,29,125193735.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 48,fail
65,29,125295617.9321198,1411362015.972231,729.0602795176018,216503309.2198608,9 44,fail
66,29,125417876.55030169,1411362015.972231,729.0602795176018,216503309.2198608,9 40,fail
67,29,125567303.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 36,fail
68,29,125754087.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 32,fail
69,29,125994238.6074445,1411362015.972231,729.0602795176018,216503309.2198608,9 28,fail
70,29,126314439.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 24,fail
71,29,126762721.35030162,1411362015.972231,729.0602795176018,216503309.2198608,9 20,fail
72,29,127435143.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 16,fail
73,29,125193735.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 48,fail
74,29,125295617.9321198,1411362015.972231,729.0602795176018,216503309.2198608,10 44,fail
75,29,125417876.55030169,1411362015.972231,729.0602795176018,216503309.2198608,10 40,fail
76,29,125567303.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 36,fail
77,29,125754087.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 32,fail
78,29,125994238.6074445,1411362015.972231,729.0602795176018,216503309.2198608,10 28,fail
79,29,126314439.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 24,fail
80,29,126762721.35030162,1411362015.972231,729.0602795176018,216503309.2198608,10 20,fail
81,29,127435143.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 16,fail
82,29,125193735.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 48,fail
83,29,125295617.9321198,1411362015.972231,729.0602795176018,216503309.2198608,11 44,fail
84,29,125417876.55030169,1411362015.972231,729.0602795176018,216503309.2198608,11 40,fail
85,29,125567303.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 36,fail
86,29,125754087.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 32,fail
87,29,125994238.6074445,1411362015.972231,729.0602795176018,216503309.2198608,11 28,fail
88,29,126314439.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 24,fail
89,29,126762721.35030162,1411362015.972231,729.0602795176018,216503309.2198608,11 20,fail
90,29,127435143.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 16,fail
91,1,30532341.62724248,24125846.426875744,1.132811218900592,7374669.34660134,2 48,pass
92,1,30535762.718151554,24125846.426875744,1.132811218900592,7374669.34660134,2 44,pass
93,1,30539868.02724249,24125846.426875744,1.132811218900592,7374669.34660134,2 40,pass
94,1,30544885.62724248,24125846.426875744,1.132811218900592,7374669.34660134,2 36,pass
95,1,30551157.62724248,24125846.426875744,1.132811218900592,7374669.34660134,2 32,pass
96,1,30559221.627242465,24125846.426875744,1.132811218900592,7374669.34660134,2 28,pass
97,1,30569973.62724248,24125846.426875744,1.132811218900592,7374669.34660134,2 24,pass
98,1,30585026.42724245,24125846.426875744,1.132811218900592,7374669.34660134,2 20,pass
99,1,30607605.62724248,24125846.426875744,1.132811218900592,7374669.34660134,2 16,pass
100,2,31002787.827455293,144755078.56125447,66.73557053648047,13975375.024090298,3 48,pass
101,2,31006208.91836437,144755078.56125447,66.73557053648047,13975375.024090298,3 44,pass
102,2,31010314.227455303,144755078.56125447,66.73557053648047,13975375.024090298,3 40,pass
103,2,31015331.827455293,144755078.56125447,66.73557053648047,13975375.024090298,3 36,pass
104,2,31021603.827455293,144755078.56125447,66.73557053648047,13975375.024090298,3 32,pass
105,2,31029667.82745528,144755078.56125447,66.73557053648047,13975375.024090298,3 28,pass
106,2,31040419.827455293,144755078.56125447,66.73557053648047,13975375.024090298,3 24,pass
107,2,31055472.62745527,144755078.56125447,66.73557053648047,13975375.024090298,3 20,pass
108,2,31078051.827455293,144755078.56125447,66.73557053648047,13975375.024090298,3 16,pass
109,3,31467814.027668107,373950619.6165741,191.38081323988223,26397068.357592206,4 48,pass
110,3,31471235.118577182,373950619.6165741,191.38081323988223,26397068.357592206,4 44,pass
111,3,31475340.42766812,373950619.6165741,191.38081323988223,26397068.357592206,4 40,pass
112,3,31480358.027668107,373950619.6165741,191.38081323988223,26397068.357592206,4 36,pass
113,3,31486630.027668107,373950619.6165741,191.38081323988223,26397068.357592206,4 32,pass
114,3,31494694.02766809,373950619.6165741,191.38081323988223,26397068.357592206,4 28,pass
115,3,31505446.027668107,373950619.6165741,191.38081323988223,26397068.357592206,4 24,pass
116,3,31520498.82766809,373950619.6165741,191.38081323988223,26397068.357592206,4 20,pass
117,3,31543078.027668107,373950619.6165741,191.38081323988223,26397068.357592206,4 16,pass
118,4,31938260.22788092,494579851.7509528,256.98357255746214,32997774.035081163,5 48,pass
119,4,31941681.31879,494579851.7509528,256.98357255746214,32997774.035081163,5 44,pass
120,4,31945786.62788093,494579851.7509528,256.98357255746214,32997774.035081163,5 40,pass
121,4,31950804.22788092,494579851.7509528,256.98357255746214,32997774.035081163,5 36,pass
122,4,31957076.22788092,494579851.7509528,256.98357255746214,32997774.035081163,5 32,pass
123,4,31965140.227880903,494579851.7509528,256.98357255746214,32997774.035081163,5 28,pass
124,4,31975892.22788092,494579851.7509528,256.98357255746214,32997774.035081163,5 24,pass
125,4,31990945.0278809,494579851.7509528,256.98357255746214,32997774.035081163,5 20,pass
126,4,32013524.22788092,494579851.7509528,256.98357255746214,32997774.035081163,5 16,pass
