DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,29,2159456.25,1743800.6519999998,410461000000000.0,3225770344.827586,4096 64,pass
1,24,1889553.75,1255480.7119999998,25690900000000.0,201903000.0,1024 16,pass
2,24,1889553.75,1255480.7119999998,32113400000000.0,252378000.0,1024 20,pass
3,24,1889553.75,1255480.7119999998,38536000000000.0,302853000.0,1024 24,pass
4,24,1889553.75,1255480.7119999998,44958600000000.0,353328000.0,1024 28,pass
5,24,1889553.75,1255480.7119999998,51381200000000.0,403803625.0,1024 32,pass
6,24,1889553.75,1255480.7119999998,57803700000000.0,454279000.0,1024 36,pass
7,24,1889553.75,1255480.7119999998,64226300000000.0,504754000.0,1024 40,pass
8,24,1889553.75,1255480.7119999998,70648900000000.0,555229000.0,1024 44,pass
9,24,1889553.75,1255480.7119999998,77071500000000.0,605704000.0,1024 48,pass
10,21,1341993.75,980357.3119999998,25690900000000.0,201903000.0,1024 16,pass
11,21,1341993.75,980357.3119999998,32113400000000.0,252378000.0,1024 20,pass
12,21,1341993.75,980357.3119999998,38536000000000.0,302853000.0,1024 24,pass
13,21,1341993.75,980357.3119999998,44958600000000.0,353328000.0,1024 28,pass
14,21,1341993.75,980357.3119999998,51381200000000.0,403803571.4285714,1024 32,pass
15,21,1341993.75,980357.3119999998,57803700000000.0,454279000.0,1024 36,pass
16,21,1341993.75,980357.3119999998,64226300000000.0,504754000.0,1024 40,pass
17,21,1341993.75,980357.3119999998,70648900000000.0,555229000.0,1024 44,pass
18,21,1341993.75,980357.3119999998,77071500000000.0,605704000.0,1024 48,pass
19,19,1030953.75,872894.7119999999,25690900000000.0,201903000.0,1024 16,pass
20,19,1030953.75,872894.7119999999,32113400000000.0,252378000.0,1024 20,pass
21,19,1030953.75,872894.7119999999,38536000000000.0,302853000.0,1024 24,pass
22,19,1030953.75,872894.7119999999,44958600000000.0,353328000.0,1024 28,pass
23,19,1030953.75,872894.7119999999,51381200000000.0,403803526.3157895,1024 32,pass
24,19,1030953.75,872894.7119999999,57803700000000.0,454279000.0,1024 36,pass
25,19,1030953.75,872894.7119999999,64226300000000.0,504754000.0,1024 40,pass
26,19,1030953.75,872894.7119999999,70648900000000.0,555229000.0,1024 44,pass
27,19,1030953.75,872894.7119999999,77071500000000.0,605704000.0,1024 48,pass
28,18,875433.75,725902.7119999998,25690900000000.0,201903000.0,1024 16,pass
29,18,875433.75,725902.7119999998,32113400000000.0,252378000.0,1024 20,pass
30,18,875433.75,725902.7119999998,38536000000000.0,302853000.0,1024 24,pass
31,18,875433.75,725902.7119999998,44958600000000.0,353328000.0,1024 28,pass
32,18,875433.75,725902.7119999998,51381200000000.0,403803500.0,1024 32,pass
33,18,875433.75,725902.7119999998,57803700000000.0,454279000.0,1024 36,pass
