latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
13508752.078205,3241900.684,102762000000000.0,807605018.8679246,0,53,1024 64,pass
11989554.466089996,1997525.509,6459620000000.0,50766482.60869565,1,23,256 16,pass
11989554.466089996,1997525.509,8074520000000.0,63457982.60869565,2,23,256 20,pass
11989554.466089996,1997525.509,9689420000000.0,76149500.0,3,23,256 24,pass
11989554.466089996,1997525.509,11304300000000.0,88841000.0,4,23,256 28,pass
11989554.466089996,1997525.509,12919200000000.0,101532826.08695652,5,23,256 32,pass
11989554.466089996,1997525.509,14534100000000.0,114224000.0,6,23,256 36,pass
11989554.466089996,1997525.509,16149000000000.0,126916000.0,7,23,256 40,pass
11989554.466089996,1997525.509,17763900000000.0,139607000.0,8,23,256 44,pass
11989554.466089996,1997525.509,19378800000000.0,152299000.0,9,23,256 48,pass
11989554.466089996,1997525.509,20993700000000.0,164990000.0,10,23,256 52,pass
11989554.466089996,1997525.509,22608600000000.0,177682000.0,11,23,256 56,pass
11943028.151819998,2145656.106,6459620000000.0,50766486.36363637,12,22,256 16,pass
11943028.151819998,2145656.106,8074520000000.0,63457986.36363637,13,22,256 20,pass
11943028.151819998,2145656.106,9689420000000.0,76149500.0,14,22,256 24,pass
11943028.151819998,2145656.106,11304300000000.0,88841000.0,15,22,256 28,pass
11943028.151819998,2145656.106,12919200000000.0,101532863.63636364,16,22,256 32,pass
11943028.151819998,2145656.106,14534100000000.0,114224000.0,17,22,256 36,pass
11943028.151819998,2145656.106,16149000000000.0,126916000.0,18,22,256 40,pass
11943028.151819998,2145656.106,17763900000000.0,139607000.0,19,22,256 44,pass
11943028.151819998,2145656.106,19378800000000.0,152299000.0,20,22,256 48,pass
11943028.151819998,2145656.106,20993700000000.0,164990000.0,21,22,256 52,pass
11943028.151819998,2145656.106,22608600000000.0,177682000.0,22,22,256 56,pass
10945409.408559998,1801878.7,6459620000000.0,50766494.44444445,23,18,256 16,pass
10945409.408559998,1801878.7,8074520000000.0,63457994.44444445,24,18,256 20,pass
10945409.408559998,1801878.7,9689420000000.0,76149500.0,25,18,256 24,pass
10945409.408559998,1801878.7,11304300000000.0,88841000.0,26,18,256 28,pass
10945409.408559998,1801878.7,12919200000000.0,101532944.44444443,27,18,256 32,pass
10945409.408559998,1801878.7,14534100000000.0,114224000.0,28,18,256 36,pass
10945409.408559998,1801878.7,16149000000000.0,126916000.0,29,18,256 40,pass
10945409.408559998,1801878.7,17763900000000.0,139607000.0,30,18,256 44,pass
10945409.408559998,1801878.7,19378800000000.0,152299000.0,31,18,256 48,pass
10945409.408559998,1801878.7,20993700000000.0,164990000.0,32,18,256 52,pass
10945409.408559998,1801878.7,22608600000000.0,177682000.0,33,18,256 56,pass
22733088.67439,3694308.384,6459620000000.0,50766476.92307692,34,39,256 16,pass
22733088.67439,3694308.384,8074520000000.0,63457976.92307692,35,39,256 20,pass
22733088.67439,3694308.384,9689420000000.0,76149500.0,36,39,256 24,pass
22733088.67439,3694308.384,11304300000000.0,88841000.0,37,39,256 28,pass
22733088.67439,3694308.384,12919200000000.0,101532769.23076925,38,39,256 32,pass
22733088.67439,3694308.384,14534100000000.0,114224000.0,39,39,256 36,pass
22733088.67439,3694308.384,16149000000000.0,126916000.0,40,39,256 40,pass
22733088.67439,3694308.384,17763900000000.0,139607000.0,41,39,256 44,pass
22733088.67439,3694308.384,19378800000000.0,152299000.0,42,39,256 48,pass
22733088.67439,3694308.384,20993700000000.0,164990000.0,43,39,256 52,pass
22733088.67439,3694308.384,22608600000000.0,177682000.0,44,39,256 56,pass
6896709.740079999,1227679.3,6459620000000.0,50766491.66666666,45,12,256 16,pass
6896709.740079999,1227679.3,8074520000000.0,63457991.66666666,46,12,256 20,pass
6896709.740079999,1227679.3,9689420000000.0,76149500.0,47,12,256 24,pass
6896709.740079999,1227679.3,11304300000000.0,88841000.0,48,12,256 28,pass
6896709.740079999,1227679.3,12919200000000.0,101532916.66666669,49,12,256 32,pass
6896709.740079999,1227679.3,14534100000000.0,114224000.0,50,12,256 36,pass
6896709.740079999,1227679.3,16149000000000.0,126916000.0,51,12,256 40,pass
6896709.740079999,1227679.3,17763900000000.0,139607000.0,52,12,256 44,pass
6896709.740079999,1227679.3,19378800000000.0,152299000.0,53,12,256 48,pass
6896709.740079999,1227679.3,20993700000000.0,164990000.0,54,12,256 52,pass
6896709.740079999,1227679.3,22608600000000.0,177682000.0,55,12,256 56,pass
1199589.0523099997,365635.984,6459620000000.0,50766425.0,56,12,256 16,fail
1199589.0523099997,365635.984,8074520000000.0,63457925.0,57,12,256 20,fail
1199589.0523099997,365635.984,9689420000000.0,76149500.0,58,12,256 24,fail
1199589.0523099997,365635.984,11304300000000.0,88841000.0,59,12,256 28,fail
1199589.0523099997,365635.984,12919200000000.0,101532250.0,60,12,256 32,fail
1199589.0523099997,365635.984,14534100000000.0,114224000.0,61,12,256 36,fail
1199589.0523099997,365635.984,16149000000000.0,126916000.0,62,12,256 40,fail
1199589.0523099997,365635.984,17763900000000.0,139607000.0,63,12,256 44,fail
1199589.0523099997,365635.984,19378800000000.0,152299000.0,64,12,256 48,fail
1199589.0523099997,365635.984,20993700000000.0,164990000.0,65,12,256 52,fail
1199589.0523099997,365635.984,22608600000000.0,177682000.0,66,12,256 56,fail
221.92051,375.203,6459620000000.0,50766400.0,67,1,256 16,fail
221.92051,375.203,8074520000000.0,63457900.0,68,1,256 20,fail
221.92051,375.203,9689420000000.0,76149500.0,69,1,256 24,fail
221.92051,375.203,11304300000000.0,88841000.0,70,1,256 28,fail
221.92051,375.203,12919200000000.0,101532000.0,71,1,256 32,fail
221.92051,375.203,14534100000000.0,114224000.0,72,1,256 36,fail
221.92051,375.203,16149000000000.0,126916000.0,73,1,256 40,fail
221.92051,375.203,17763900000000.0,139607000.0,74,1,256 44,fail
221.92051,375.203,19378800000000.0,152299000.0,75,1,256 48,fail
221.92051,375.203,20993700000000.0,164990000.0,76,1,256 52,fail
221.92051,375.203,22608600000000.0,177682000.0,77,1,256 56,fail
221.92051,375.203,6459620000000.0,50766400.0,78,1,256 16,fail
221.92051,375.203,8074520000000.0,63457900.0,79,1,256 20,fail
221.92051,375.203,9689420000000.0,76149500.0,80,1,256 24,fail
221.92051,375.203,11304300000000.0,88841000.0,81,1,256 28,fail
221.92051,375.203,12919200000000.0,101532000.0,82,1,256 32,fail
221.92051,375.203,14534100000000.0,114224000.0,83,1,256 36,fail
221.92051,375.203,16149000000000.0,126916000.0,84,1,256 40,fail
221.92051,375.203,17763900000000.0,139607000.0,85,1,256 44,fail
221.92051,375.203,19378800000000.0,152299000.0,86,1,256 48,fail
221.92051,375.203,20993700000000.0,164990000.0,87,1,256 52,fail
221.92051,375.203,22608600000000.0,177682000.0,88,1,256 56,fail
221.92051,375.203,6459620000000.0,50766400.0,89,1,256 16,fail
221.92051,375.203,8074520000000.0,63457900.0,90,1,256 20,fail
221.92051,375.203,9689420000000.0,76149500.0,91,1,256 24,fail
221.92051,375.203,11304300000000.0,88841000.0,92,1,256 28,fail
221.92051,375.203,12919200000000.0,101532000.0,93,1,256 32,fail
221.92051,375.203,14534100000000.0,114224000.0,94,1,256 36,fail
221.92051,375.203,16149000000000.0,126916000.0,95,1,256 40,fail
221.92051,375.203,17763900000000.0,139607000.0,96,1,256 44,fail
221.92051,375.203,19378800000000.0,152299000.0,97,1,256 48,fail
221.92051,375.203,20993700000000.0,164990000.0,98,1,256 52,fail
221.92051,375.203,22608600000000.0,177682000.0,99,1,256 56,fail
221.92051,375.203,6459620000000.0,50766400.0,100,1,256 16,fail
221.92051,375.203,8074520000000.0,63457900.0,101,1,256 20,fail
221.92051,375.203,9689420000000.0,76149500.0,102,1,256 24,fail
221.92051,375.203,11304300000000.0,88841000.0,103,1,256 28,fail
221.92051,375.203,12919200000000.0,101532000.0,104,1,256 32,fail
221.92051,375.203,14534100000000.0,114224000.0,105,1,256 36,fail
221.92051,375.203,16149000000000.0,126916000.0,106,1,256 40,fail
221.92051,375.203,17763900000000.0,139607000.0,107,1,256 44,fail
221.92051,375.203,19378800000000.0,152299000.0,108,1,256 48,fail
221.92051,375.203,20993700000000.0,164990000.0,109,1,256 52,fail
221.92051,375.203,22608600000000.0,177682000.0,110,1,256 56,fail
221.92051,375.203,6459620000000.0,50766400.0,111,1,256 16,fail
221.92051,375.203,8074520000000.0,63457900.0,112,1,256 20,fail
221.92051,375.203,9689420000000.0,76149500.0,113,1,256 24,fail
221.92051,375.203,11304300000000.0,88841000.0,114,1,256 28,fail
221.92051,375.203,12919200000000.0,101532000.0,115,1,256 32,fail
221.92051,375.203,14534100000000.0,114224000.0,116,1,256 36,fail
221.92051,375.203,16149000000000.0,126916000.0,117,1,256 40,fail
221.92051,375.203,17763900000000.0,139607000.0,118,1,256 44,fail
221.92051,375.203,19378800000000.0,152299000.0,119,1,256 48,fail
221.92051,375.203,20993700000000.0,164990000.0,120,1,256 52,fail
221.92051,375.203,22608600000000.0,177682000.0,121,1,256 56,fail
221.92051,375.203,6459620000000.0,50766400.0,122,1,256 16,fail
221.92051,375.203,8074520000000.0,63457900.0,123,1,256 20,fail
221.92051,375.203,9689420000000.0,76149500.0,124,1,256 24,fail
221.92051,375.203,11304300000000.0,88841000.0,125,1,256 28,fail
221.92051,375.203,12919200000000.0,101532000.0,126,1,256 32,fail
221.92051,375.203,14534100000000.0,114224000.0,127,1,256 36,fail
221.92051,375.203,16149000000000.0,126916000.0,128,1,256 40,fail
221.92051,375.203,17763900000000.0,139607000.0,129,1,256 44,fail
221.92051,375.203,19378800000000.0,152299000.0,130,1,256 48,fail
221.92051,375.203,20993700000000.0,164990000.0,131,1,256 52,fail
221.92051,375.203,22608600000000.0,177682000.0,132,1,256 56,fail
221.92051,375.203,6459620000000.0,50766400.0,133,1,256 16,fail
221.92051,375.203,8074520000000.0,63457900.0,134,1,256 20,fail
221.92051,375.203,9689420000000.0,76149500.0,135,1,256 24,fail
221.92051,375.203,11304300000000.0,88841000.0,136,1,256 28,fail
221.92051,375.203,12919200000000.0,101532000.0,137,1,256 32,fail
221.92051,375.203,14534100000000.0,114224000.0,138,1,256 36,fail
221.92051,375.203,16149000000000.0,126916000.0,139,1,256 40,fail
221.92051,375.203,17763900000000.0,139607000.0,140,1,256 44,fail
221.92051,375.203,19378800000000.0,152299000.0,141,1,256 48,fail
221.92051,375.203,20993700000000.0,164990000.0,142,1,256 52,fail
221.92051,375.203,22608600000000.0,177682000.0,143,1,256 56,fail
6713512.094579999,1738185.343,9664790000000.0,75955789.4736842,144,19,384 16,pass
6713512.094579999,1738185.343,12081000000000.0,94944589.4736842,145,19,384 20,pass
6713512.094579999,1738185.343,14497100000000.0,113933000.0,146,19,384 24,pass
6713512.094579999,1738185.343,16913300000000.0,132922000.0,147,19,384 28,pass
6713512.094579999,1738185.343,19329500000000.0,151911000.0,148,19,384 32,pass
6713512.094579999,1738185.343,21745700000000.0,170900000.0,149,19,384 36,pass
6713512.094579999,1738185.343,24161900000000.0,189889000.0,150,19,384 40,pass
6713512.094579999,1738185.343,26578000000000.0,208877000.0,151,19,384 44,pass
6713512.094579999,1738185.343,28994200000000.0,227866000.0,152,19,384 48,pass
6713512.094579999,1738185.343,31410400000000.0,246855000.0,153,19,384 52,pass
6713512.094579999,1738185.343,33826600000000.0,265844000.0,154,19,384 56,pass
4575869.57549,1168418.9399999997,9664790000000.0,75955792.3076923,155,13,384 16,pass
4575869.57549,1168418.9399999997,12081000000000.0,94944592.3076923,156,13,384 20,pass
4575869.57549,1168418.9399999997,14497100000000.0,113933000.0,157,13,384 24,pass
4575869.57549,1168418.9399999997,16913300000000.0,132922000.0,158,13,384 28,pass
4575869.57549,1168418.9399999997,19329500000000.0,151911000.0,159,13,384 32,pass
4575869.57549,1168418.9399999997,21745700000000.0,170900000.0,160,13,384 36,pass
4575869.57549,1168418.9399999997,24161900000000.0,189889000.0,161,13,384 40,pass
4575869.57549,1168418.9399999997,26578000000000.0,208877000.0,162,13,384 44,pass
4575869.57549,1168418.9399999997,28994200000000.0,227866000.0,163,13,384 48,pass
4575869.57549,1168418.9399999997,31410400000000.0,246855000.0,164,13,384 52,pass
4575869.57549,1168418.9399999997,33826600000000.0,265844000.0,165,13,384 56,pass
2260749.52527,621504.343,9664790000000.0,75955777.77777778,166,9,384 16,fail
2260749.52527,621504.343,12081000000000.0,94944577.77777778,167,9,384 20,fail
2260749.52527,621504.343,14497100000000.0,113933000.0,168,9,384 24,fail
2260749.52527,621504.343,16913300000000.0,132922000.0,169,9,384 28,fail
2260749.52527,621504.343,19329500000000.0,151911000.0,170,9,384 32,fail
2260749.52527,621504.343,21745700000000.0,170900000.0,171,9,384 36,fail
2260749.52527,621504.343,24161900000000.0,189889000.0,172,9,384 40,fail
2260749.52527,621504.343,26578000000000.0,208877000.0,173,9,384 44,fail
2260749.52527,621504.343,28994200000000.0,227866000.0,174,9,384 48,fail
2260749.52527,621504.343,31410400000000.0,246855000.0,175,9,384 52,fail
2260749.52527,621504.343,33826600000000.0,265844000.0,176,9,384 56,fail
1907180.33395,508327.703,9664790000000.0,75955785.71428572,177,7,384 16,fail
1907180.33395,508327.703,12081000000000.0,94944585.71428572,178,7,384 20,fail
1907180.33395,508327.703,14497100000000.0,113933000.0,179,7,384 24,fail
1907180.33395,508327.703,16913300000000.0,132922000.0,180,7,384 28,fail
1907180.33395,508327.703,19329500000000.0,151911000.0,181,7,384 32,fail
1907180.33395,508327.703,21745700000000.0,170900000.0,182,7,384 36,fail
1907180.33395,508327.703,24161900000000.0,189889000.0,183,7,384 40,fail
1907180.33395,508327.703,26578000000000.0,208877000.0,184,7,384 44,fail
1907180.33395,508327.703,28994200000000.0,227866000.0,185,7,384 48,fail
1907180.33395,508327.703,31410400000000.0,246855000.0,186,7,384 52,fail
1907180.33395,508327.703,33826600000000.0,265844000.0,187,7,384 56,fail
1209118.04727,338580.243,9664790000000.0,75955766.66666667,188,6,384 16,fail
1209118.04727,338580.243,12081000000000.0,94944566.66666669,189,6,384 20,fail
1209118.04727,338580.243,14497100000000.0,113933000.0,190,6,384 24,fail
1209118.04727,338580.243,16913300000000.0,132922000.0,191,6,384 28,fail
1209118.04727,338580.243,19329500000000.0,151911000.0,192,6,384 32,fail
1209118.04727,338580.243,21745700000000.0,170900000.0,193,6,384 36,fail
1209118.04727,338580.243,24161900000000.0,189889000.0,194,6,384 40,fail
1209118.04727,338580.243,26578000000000.0,208877000.0,195,6,384 44,fail
1209118.04727,338580.243,28994200000000.0,227866000.0,196,6,384 48,fail
1209118.04727,338580.243,31410400000000.0,246855000.0,197,6,384 52,fail
1209118.04727,338580.243,33826600000000.0,265844000.0,198,6,384 56,fail
806902.9743599999,330174.0339999999,9664790000000.0,75955725.0,199,12,384 16,fail
806902.9743599999,330174.0339999999,12081000000000.0,94944525.0,200,12,384 20,fail
806902.9743599999,330174.0339999999,14497100000000.0,113933000.0,201,12,384 24,fail
806902.9743599999,330174.0339999999,16913300000000.0,132922000.0,202,12,384 28,fail
806902.9743599999,330174.0339999999,19329500000000.0,151911000.0,203,12,384 32,fail
806902.9743599999,330174.0339999999,21745700000000.0,170900000.0,204,12,384 36,fail
806902.9743599999,330174.0339999999,24161900000000.0,189889000.0,205,12,384 40,fail
