DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,4 48,35,18,17330694005420.92,3.931030919660302e+16,8684066,156158517,1995688,251733365,6459620000000,506642774,pass
2,256 20,4 44,35,18,17330694005420.92,3.9311170399330936e+16,8684066,156161938,1995688,251733365,8074520000000,506642774,pass
3,256 24,4 40,35,18,17330694005420.92,3.931220384260443e+16,8684066,156166044,1995688,251733365,9689420000000,506642774,pass
4,256 28,4 36,35,18,17330694005420.92,3.93134669399387e+16,8684066,156171061,1995688,251733365,11304300000000,506642774,pass
5,256 32,4 32,35,18,17330694005420.92,3.931504581160654e+16,8684066,156177333,1995688,251733365,12919200000000,506642774,pass
6,256 36,4 28,35,18,17330694005420.92,3.93170757894652e+16,8684066,156185397,1995688,251733365,14534100000000,506642774,pass
7,256 40,4 24,35,18,17330694005420.92,3.931978242661006e+16,8684066,156196149,1995688,251733365,16149000000000,506642774,pass
8,256 44,4 20,35,18,17330694005420.92,3.932357171861288e+16,8684066,156211202,1995688,251733365,17763900000000,506642774,pass
9,256 48,4 16,35,18,17330694005420.92,3.93292556566171e+16,8684066,156233781,1995688,251733365,19378800000000,506642774,pass
10,256 16,5 48,31,22,9676501803135.64,4.972859642797434e+16,6195746,163589976,1561797,303983149,6459620000000,747901239,pass
11,256 20,5 44,31,22,9676501803135.64,4.9729636381964104e+16,6195746,163593397,1561797,303983149,8074520000000,747901239,pass
12,256 24,5 40,31,22,9676501803135.64,4.973088432675182e+16,6195746,163597503,1561797,303983149,9689420000000,747901239,pass
13,256 28,5 36,31,22,9676501803135.64,4.973240959260348e+16,6195746,163602520,1561797,303983149,11304300000000,747901239,pass
14,256 32,5 32,31,22,9676501803135.64,4.973431617491805e+16,6195746,163608792,1561797,303983149,12919200000000,747901239,pass
15,256 36,5 28,31,22,9676501803135.64,4.973676749503678e+16,6195746,163616856,1561797,303983149,14534100000000,747901239,pass
