DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,53,196969606.1847773,2472899258.754764,1298.8420596044275,444698396.982121,16 64,pass
1,18,156158517.69534257,506642774.9643905,240.9763427655893,251733365.4081903,4 48,pass
2,18,156161938.78625166,506642774.9643905,240.9763427655893,251733365.4081903,4 44,pass
3,18,156166044.09534258,506642774.9643905,240.9763427655893,251733365.4081903,4 40,pass
4,18,156171061.69534257,506642774.9643905,240.9763427655893,251733365.4081903,4 36,pass
5,18,156177333.69534257,506642774.9643905,240.9763427655893,251733365.4081903,4 32,pass
6,18,156185397.69534257,506642774.9643905,240.9763427655893,251733365.4081903,4 28,pass
7,18,156196149.69534257,506642774.9643905,240.9763427655893,251733365.4081903,4 24,pass
8,18,156211202.49534255,506642774.9643905,240.9763427655893,251733365.4081903,4 20,pass
9,18,156233781.69534257,506642774.9643905,240.9763427655893,251733365.4081903,4 16,pass
10,22,163589976.8987476,747901239.2331479,372.181861400749,303983149.6446348,5 48,pass
11,22,163593397.9896567,747901239.2331479,372.181861400749,303983149.6446348,5 44,pass
12,22,163597503.2987476,747901239.2331479,372.181861400749,303983149.6446348,5 40,pass
13,22,163602520.8987476,747901239.2331479,372.181861400749,303983149.6446348,5 36,pass
14,22,163608792.8987476,747901239.2331479,372.181861400749,303983149.6446348,5 32,pass
15,22,163616856.8987476,747901239.2331479,372.181861400749,303983149.6446348,5 28,pass
16,22,163627608.8987476,747901239.2331479,372.181861400749,303983149.6446348,5 24,pass
17,22,163642661.69874758,747901239.2331479,372.181861400749,303983149.6446348,5 20,pass
18,22,163665240.8987476,747901239.2331479,372.181861400749,303983149.6446348,5 16,pass
19,25,169163571.30130136,928845087.434716,470.5860003771188,343170487.82196814,6 48,pass
20,25,169166992.39221045,928845087.434716,470.5860003771188,343170487.82196814,6 44,pass
21,25,169171097.70130137,928845087.434716,470.5860003771188,343170487.82196814,6 40,pass
22,25,169176115.30130136,928845087.434716,470.5860003771188,343170487.82196814,6 36,pass
23,25,169182387.30130136,928845087.434716,470.5860003771188,343170487.82196814,6 32,pass
24,25,169190451.30130136,928845087.434716,470.5860003771188,343170487.82196814,6 28,pass
25,25,169201203.30130136,928845087.434716,470.5860003771188,343170487.82196814,6 24,pass
26,25,169216256.10130134,928845087.434716,470.5860003771188,343170487.82196814,6 20,pass
27,25,169238835.30130136,928845087.434716,470.5860003771188,343170487.82196814,6 16,pass
28,26,169628597.50151417,1158040628.4900355,595.2312430805206,355592181.1554701,7 48,pass
29,26,169632018.59242326,1158040628.4900355,595.2312430805206,355592181.1554701,7 44,pass
30,26,169636123.90151417,1158040628.4900355,595.2312430805206,355592181.1554701,7 40,pass
31,26,169641141.50151417,1158040628.4900355,595.2312430805206,355592181.1554701,7 36,pass
32,26,169647413.50151417,1158040628.4900355,595.2312430805206,355592181.1554701,7 32,pass
33,26,169655477.50151417,1158040628.4900355,595.2312430805206,355592181.1554701,7 28,pass
34,26,169666229.50151417,1158040628.4900355,595.2312430805206,355592181.1554701,7 24,pass
35,26,169681282.30151415,1158040628.4900355,595.2312430805206,355592181.1554701,7 20,pass
36,26,169703861.50151417,1158040628.4900355,595.2312430805206,355592181.1554701,7 16,pass
37,28,170558649.90193978,1616431710.6006746,844.5217284873241,380435567.82247394,8 48,pass
38,28,170562070.99284887,1616431710.6006746,844.5217284873241,380435567.82247394,8 44,pass
39,28,170566176.3019398,1616431710.6006746,844.5217284873241,380435567.82247394,8 40,pass
40,28,170571193.90193978,1616431710.6006746,844.5217284873241,380435567.82247394,8 36,pass
41,28,170577465.90193978,1616431710.6006746,844.5217284873241,380435567.82247394,8 32,pass
42,28,170585529.90193978,1616431710.6006746,844.5217284873241,380435567.82247394,8 28,pass
43,28,170596281.90193978,1616431710.6006746,844.5217284873241,380435567.82247394,8 24,pass
44,28,170611334.70193976,1616431710.6006746,844.5217284873241,380435567.82247394,8 20,pass
45,28,170633913.90193978,1616431710.6006746,844.5217284873241,380435567.82247394,8 16,pass
46,33,184456525.5100267,2135137408.7785032,1121.6980917389578,423525765.225284,9 48,fail
47,33,184459946.6009358,2135137408.7785032,1121.6980917389578,423525765.225284,9 44,fail
48,33,184464051.9100267,2135137408.7785032,1121.6980917389578,423525765.225284,9 40,fail
49,33,184469069.5100267,2135137408.7785032,1121.6980917389578,423525765.225284,9 36,fail
50,33,184475341.5100267,2135137408.7785032,1121.6980917389578,423525765.225284,9 32,fail
51,33,184483405.5100267,2135137408.7785032,1121.6980917389578,423525765.225284,9 28,fail
52,33,184494157.5100267,2135137408.7785032,1121.6980917389578,423525765.225284,9 24,fail
53,33,184509210.31002668,2135137408.7785032,1121.6980917389578,423525765.225284,9 20,fail
54,33,184531789.5100267,2135137408.7785032,1121.6980917389578,423525765.225284,9 16,fail
55,53,197550838.1847773,2472899258.754764,1298.8420596044275,444698396.982121,10 48,fail
56,53,197762195.2756864,2472899258.754764,1298.8420596044275,444698396.982121,10 44,fail
57,53,198015823.78477743,2472899258.754764,1298.8420596044275,444698396.982121,10 40,fail
58,53,198325814.1847773,2472899258.754764,1298.8420596044275,444698396.982121,10 36,fail
59,53,198713302.1847773,2472899258.754764,1298.8420596044275,444698396.982121,10 32,fail
60,53,199211501.04192016,2472899258.754764,1298.8420596044275,444698396.982121,10 28,fail
61,53,199875766.1847773,2472899258.754764,1298.8420596044275,444698396.982121,10 24,fail
62,53,200805737.3847773,2472899258.754764,1298.8420596044275,444698396.982121,10 20,fail
63,53,202200694.1847773,2472899258.754764,1298.8420596044275,444698396.982121,10 16,fail
64,53,197550838.1847773,2472899258.754764,1298.8420596044275,444698396.982121,11 48,fail
