DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,4 48,38,15,2504232227467915.5,8127410800136465.0,372210224,78911196,6728004,102994393,6459620000000,446492001,pass
2,256 20,4 44,38,15,2504232227467915.5,8141857280581777.0,372210224,79051461,6728004,102994393,8074520000000,446492001,pass
3,256 24,4 40,38,15,2504232227467915.5,8159193057116157.0,372210224,79219779,6728004,102994393,9689420000000,446492001,pass
4,256 28,4 36,38,15,2504232227467915.5,8180381228435948.0,372210224,79425500,6728004,102994393,11304300000000,446492001,pass
5,256 32,4 32,38,15,2504232227467915.5,8206866442585689.0,372210224,79682652,6728004,102994393,12919200000000,446492001,pass
6,256 36,4 28,38,15,2504232227467915.5,8240918860778211.0,372210224,80013276,6728004,102994393,14534100000000,446492001,pass
7,256 40,4 24,38,15,2504232227467915.5,8286322085034913.0,372210224,80454108,6728004,102994393,16149000000000,446492001,pass
8,256 44,4 20,38,15,2504232227467915.5,8349886598994294.0,372210224,81071273,6728004,102994393,17763900000000,446492001,pass
9,256 48,4 16,38,15,2504232227467915.5,8445233369933362.0,372210224,81997020,6728004,102994393,19378800000000,446492001,pass
10,256 52,4 12,38,15,2504232227467915.5,8604144654831810.0,372210224,83539932,6728004,102994393,20993700000000,446492001,pass
11,256 56,4 8,38,15,2504232227467915.5,8921967224628708.0,372210224,86625756,6728004,102994393,22608600000000,446492001,pass
12,256 16,5 48,36,17,2512835634229054.5,5847603035004976.0,354488467,58404810,7088624,100121942,6459620000000,651561695,pass
13,256 20,5 44,36,17,2512835634229054.5,5863873032709022.0,354488467,58567311,7088624,100121942,8074520000000,651561695,pass
14,256 24,5 40,36,17,2512835634229054.5,5883397029953877.0,354488467,58762314,7088624,100121942,9689420000000,651561695,pass
