latency,area,power,energy,DSE index,layers,"HW (tiles, bw)",restraint
196969606.1847773,2473063101.0817647,1298.883411829428,444698396.9821209,0,55,16 64,pass
78911196.64958784,446492001.2242013,223.26131914755328,102994393.00390986,1,15,4 48,pass
79051461.37686056,446492001.2242013,223.26131914755328,102994393.00390986,2,15,4 44,pass
79219779.04958786,446492001.2242013,223.26131914755328,102994393.00390986,3,15,4 40,pass
79425500.64958784,446492001.2242013,223.26131914755328,102994393.00390986,4,15,4 36,pass
79682652.64958784,446492001.2242013,223.26131914755328,102994393.00390986,5,15,4 32,pass
80013276.64958781,446492001.2242013,223.26131914755328,102994393.00390986,6,15,4 28,pass
80454108.64958784,446492001.2242013,223.26131914755328,102994393.00390986,7,15,4 24,pass
81071273.44958785,446492001.2242013,223.26131914755328,102994393.00390986,8,15,4 20,pass
81997020.64958784,446492001.2242013,223.26131914755328,102994393.00390986,9,15,4 16,pass
83539932.64958784,446492001.2242013,223.26131914755328,102994393.00390986,10,15,4 12,pass
86625756.64958784,446492001.2242013,223.26131914755328,102994393.00390986,11,15,4 8,pass
58404810.036180645,651561695.8526453,342.30851189531603,100121942.54861028,12,17,5 48,pass
58567311.85436247,651561695.8526453,342.30851189531603,100121942.54861028,13,17,5 44,pass
58762314.03618067,651561695.8526453,342.30851189531603,100121942.54861028,14,17,5 40,pass
59000650.036180645,651561695.8526453,342.30851189531603,100121942.54861028,15,17,5 36,pass
59298570.036180645,651561695.8526453,342.30851189531603,100121942.54861028,16,17,5 32,pass
59681610.036180615,651561695.8526453,342.30851189531603,100121942.54861028,17,17,5 28,pass
60192330.036180645,651561695.8526453,342.30851189531603,100121942.54861028,18,17,5 24,pass
60907338.03618066,651561695.8526453,342.30851189531603,100121942.54861028,19,17,5 20,pass
61979850.036180645,651561695.8526453,342.30851189531603,100121942.54861028,20,17,5 16,pass
63767370.036180645,651561695.8526453,342.30851189531603,100121942.54861028,21,17,5 12,pass
67342410.03618065,651561695.8526453,342.30851189531603,100121942.54861028,22,17,5 8,pass
21671172.20659723,892820160.1214026,485.5017711750912,97341915.38623051,23,14,6 48,pass
21808015.842960883,892820160.1214026,485.5017711750912,97341915.38623051,24,14,6 44,pass
21972228.206597246,892820160.1214026,485.5017711750912,97341915.38623051,25,14,6 40,pass
22172932.20659723,892820160.1214026,485.5017711750912,97341915.38623051,26,14,6 36,pass
