latency,area,power,energy,DSE index,layers,"HW (tiles, bw)",restraint
196969606.1847773,2473063101.0817647,1298.883411829428,444698396.9821209,0,55,16 64,pass
58592624.438734375,434429078.01076347,218.00454326275388,47125737.3660543,1,17,4 48,pass
58755981.52964347,434429078.01076347,218.00454326275388,47125737.3660543,2,17,4 44,pass
58952010.038734406,434429078.01076347,218.00454326275388,47125737.3660543,3,17,4 40,pass
59191600.438734375,434429078.01076347,218.00454326275388,47125737.3660543,4,17,4 36,pass
59491088.438734375,434429078.01076347,218.00454326275388,47125737.3660543,5,17,4 32,pass
59876144.43873435,434429078.01076347,218.00454326275388,47125737.3660543,6,17,4 28,pass
60389552.438734375,434429078.01076347,218.00454326275388,47125737.3660543,7,17,4 24,pass
61108323.63873439,434429078.01076347,218.00454326275388,47125737.3660543,8,17,4 20,pass
62186480.438734375,434429078.01076347,218.00454326275388,47125737.3660543,9,17,4 16,pass
63983408.438734375,434429078.01076347,218.00454326275388,47125737.3660543,10,17,4 12,pass
67577264.43873438,434429078.01076347,218.00454326275388,47125737.3660543,11,17,4 8,pass
61807176.24064974,675687542.2795209,350.5135619448722,93112911.53070644,12,15,5 48,pass
61911519.51337701,675687542.2795209,350.5135619448722,93112911.53070644,13,15,5 44,pass
62036731.44064976,675687542.2795209,350.5135619448722,93112911.53070644,14,15,5 40,pass
62189768.24064974,675687542.2795209,350.5135619448722,93112911.53070644,15,15,5 36,pass
62381064.24064974,675687542.2795209,350.5135619448722,93112911.53070644,16,15,5 32,pass
62627016.24064972,675687542.2795209,350.5135619448722,93112911.53070644,17,15,5 28,pass
62954952.24064974,675687542.2795209,350.5135619448722,93112911.53070644,18,15,5 24,pass
63414062.640649736,675687542.2795209,350.5135619448722,93112911.53070644,19,15,5 20,pass
64102728.24064974,675687542.2795209,350.5135619448722,93112911.53070644,20,15,5 16,pass
65250504.24064974,675687542.2795209,350.5135619448722,93112911.53070644,21,15,5 12,pass
67546056.24064973,675687542.2795209,350.5135619448722,93112911.53070644,22,15,5 8,pass
63733515.241713785,941071852.975154,493.5361323965894,100189411.98758392,23,18,6 48,pass
63873779.96898652,941071852.975154,493.5361323965894,100189411.98758392,24,18,6 44,pass
64042097.64171381,941071852.975154,493.5361323965894,100189411.98758392,25,18,6 40,pass
64247819.241713785,941071852.975154,493.5361323965894,100189411.98758392,26,18,6 36,pass
64504971.241713785,941071852.975154,493.5361323965894,100189411.98758392,27,18,6 32,pass
