Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
resnet34,L0,1024,1363968,182413,111,608510,8.99166e+13,7.06656e+08,112,27.691,112,1,112,14776,384,1,1,155952,12288,8.29988e+11,151400448,1251.64,1356.6,50.9772,7.06653e+08,151400448, 37747648, 37747648, 155952, 4.01086, 151400448, 12288, 12288, 12288, 12321, 151400448, 151400448, 3125824, 4688640, 1, 0, 0, 0, 0, 0, 0, 64, 64, 64, 111, 4
resnet34,L1,1024,258048,433461,324,747472,8.99166e+13,7.06655e+08,145,130.528,145,1,145,3258,54,1,1,200704,36864,1.92884e+11,83607552,1251.64,190.771,11.2401,7.06653e+08,83607552, 33625872, 33625872, 200704, 2.48641, 83607552, 36864, 36864, 36864, 2268, 83607552, 83607552, 186624, 9289728, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
resnet34,L2,1024,258048,327097,324,990531,8.99166e+13,7.06655e+08,145,130.528,145,1,145,3258,54,1,1,200704,36864,2.55604e+11,83607552,1251.64,190.771,11.2401,7.06653e+08,83607552, 33625872, 33625872, 200704, 2.48641, 83607552, 36864, 36864, 36864, 2268, 83607552, 83607552, 186624, 9289728, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
resnet34,L3,1024,3584,2965.26,56,1.88854e+07,8.99166e+13,7.06655e+08,57,56.0003,57,1,57,226,6,1,1,200704,64,6.76852e+10,200704,1251.64,21.1968,0.7797,7.06653e+08,200704, 200641, 200641, 200704, 1.00031, 200704, 64, 64, 64, 3136, 200704, 200704, 200704, 200704, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1
resnet34,L4,1024,258048,185254,324,1.74895e+06,8.99166e+13,7.06655e+08,145,130.528,145,1,145,3258,54,1,1,200704,36864,4.51313e+11,83607552,1251.64,190.771,11.2401,7.06653e+08,83607552, 33625872, 33625872, 200704, 2.48641, 83607552, 36864, 36864, 36864, 2268, 83607552, 83607552, 186624, 9289728, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
resnet34,L5,1024,258048,327097,324,990531,8.99166e+13,7.06655e+08,145,130.528,145,1,145,3258,54,1,1,200704,36864,2.55604e+11,83607552,1251.64,190.771,11.2401,7.06653e+08,83607552, 33625872, 33625872, 200704, 2.48641, 83607552, 36864, 36864, 36864, 2268, 83607552, 83607552, 186624, 9289728, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
resnet34,L6,1024,3584,2965.26,56,1.88854e+07,8.99166e+13,7.06655e+08,57,56.0003,57,1,57,226,6,1,1,200704,64,6.76852e+10,200704,1251.64,21.1968,0.7797,7.06653e+08,200704, 200641, 200641, 200704, 1.00031, 200704, 64, 64, 64, 3136, 200704, 200704, 200704, 200704, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1
resnet34,L7,1024,258048,185254,324,1.74895e+06,8.99166e+13,7.06655e+08,145,130.528,145,1,145,3258,54,1,1,200704,36864,4.51313e+11,83607552,1251.64,190.771,11.2401,7.06653e+08,83607552, 33625872, 33625872, 200704, 2.48641, 83607552, 36864, 36864, 36864, 2268, 83607552, 83607552, 186624, 9289728, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
resnet34,L8,1024,258048,327097,324,990531,8.99166e+13,7.06655e+08,145,130.528,145,1,145,3258,54,1,1,200704,36864,2.55604e+11,83607552,1251.64,190.771,11.2401,7.06653e+08,83607552, 33625872, 33625872, 200704, 2.48641, 83607552, 36864, 36864, 36864, 2268, 83607552, 83607552, 186624, 9289728, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
resnet34,L9,1024,3584,2965.26,56,1.88854e+07,8.99166e+13,7.06655e+08,57,56.0003,57,1,57,226,6,1,1,200704,64,6.76852e+10,200704,1251.64,21.1968,0.7797,7.06653e+08,200704, 200641, 200641, 200704, 1.00031, 200704, 64, 64, 64, 3136, 200704, 200704, 200704, 200704, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1
resnet34,L10,1024,663552,238735,135,565481,8.99166e+13,7.06655e+08,65,54.11,65,1,65,1710,54,1,1,200704,73728,3.75226e+11,89579520,1251.64,190.771,5.8995,7.06653e+08,89579520, 35798597, 35798597, 200704, 2.50232, 89579520, 73728, 73728, 73728, 1215, 89579520, 89579520, 373248, 19537920, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 84, 2.43976
resnet34,L11,1024,589824,336786,130,386001,8.99166e+13,7.06655e+08,70,58.2358,70,1,70,1578,54,1,1,100352,147456,2.27673e+11,76677120,1251.64,190.771,5.4441,7.06653e+08,76677120, 34182768, 34182768, 100352, 2.24315, 76677120, 147456, 147456, 147456, 520, 76677120, 76677120, 86528, 8519680, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
resnet34,L12,1024,663552,370124,135,364742,8.99166e+13,7.06655e+08,65,54.11,65,1,65,1710,54,1,1,200704,73728,2.42025e+11,89579520,1251.64,190.771,5.8995,7.06653e+08,89579520, 35798597, 35798597, 200704, 2.50232, 89579520, 73728, 73728, 73728, 1215, 89579520, 89579520, 373248, 19537920, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 84, 2.43976
resnet34,L13,1024,3584,1483.04,28,1.88801e+07,8.99166e+13,7.06655e+08,29,28.0003,29,1,29,114,6,1,1,100352,128,6.76663e+10,100352,1251.64,21.1968,0.3933,7.06653e+08,100352, 100225, 100225, 100352, 1.00127, 100352, 128, 128, 128, 784, 100352, 100352, 100352, 100352, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 28, 1
resnet34,L14,1024,589824,184665,130,703977,8.99166e+13,7.06655e+08,70,58.2358,70,1,70,1578,54,1,1,100352,147456,4.15223e+11,76677120,1251.64,190.771,5.4441,7.06653e+08,76677120, 34182768, 34182768, 100352, 2.24315, 76677120, 147456, 147456, 147456, 520, 76677120, 76677120, 86528, 8519680, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
resnet34,L15,1024,589824,316248,130,411069,8.99166e+13,7.06655e+08,70,58.2358,70,1,70,1578,54,1,1,100352,147456,2.42458e+11,76677120,1251.64,190.771,5.4441,7.06653e+08,76677120, 34182768, 34182768, 100352, 2.24315, 76677120, 147456, 147456, 147456, 520, 76677120, 76677120, 86528, 8519680, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
resnet34,L16,1024,3584,1483.04,28,1.88801e+07,8.99166e+13,7.06655e+08,29,28.0003,29,1,29,114,6,1,1,100352,128,6.76663e+10,100352,1251.64,21.1968,0.3933,7.06653e+08,100352, 100225, 100225, 100352, 1.00127, 100352, 128, 128, 128, 784, 100352, 100352, 100352, 100352, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 28, 1
resnet34,L17,1024,589824,184665,130,703977,8.99166e+13,7.06655e+08,70,58.2358,70,1,70,1578,54,1,1,100352,147456,4.15223e+11,76677120,1251.64,190.771,5.4441,7.06653e+08,76677120, 34182768, 34182768, 100352, 2.24315, 76677120, 147456, 147456, 147456, 520, 76677120, 76677120, 86528, 8519680, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
resnet34,L18,1024,589824,316248,130,411069,8.99166e+13,7.06655e+08,70,58.2358,70,1,70,1578,54,1,1,100352,147456,2.42458e+11,76677120,1251.64,190.771,5.4441,7.06653e+08,76677120, 34182768, 34182768, 100352, 2.24315, 76677120, 147456, 147456, 147456, 520, 76677120, 76677120, 86528, 8519680, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
resnet34,L19,1024,3584,1483.04,28,1.88801e+07,8.99166e+13,7.06655e+08,29,28.0003,29,1,29,114,6,1,1,100352,128,6.76663e+10,100352,1251.64,21.1968,0.3933,7.06653e+08,100352, 100225, 100225, 100352, 1.00127, 100352, 128, 128, 128, 784, 100352, 100352, 100352, 100352, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 28, 1
resnet34,L20,1024,589824,184665,130,703977,8.99166e+13,7.06655e+08,70,58.2358,70,1,70,1578,54,1,1,100352,147456,4.15223e+11,76677120,1251.64,190.771,5.4441,7.06653e+08,76677120, 34182768, 34182768, 100352, 2.24315, 76677120, 147456, 147456, 147456, 520, 76677120, 76677120, 86528, 8519680, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
resnet34,L21,1024,589824,316248,130,411069,8.99166e+13,7.06655e+08,70,58.2358,70,1,70,1578,54,1,1,100352,147456,2.42458e+11,76677120,1251.64,190.771,5.4441,7.06653e+08,76677120, 34182768, 34182768, 100352, 2.24315, 76677120, 147456, 147456, 147456, 520, 76677120, 76677120, 86528, 8519680, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
resnet34,L22,1024,3584,1483.04,28,1.88801e+07,8.99166e+13,7.06655e+08,29,28.0003,29,1,29,114,6,1,1,100352,128,6.76663e+10,100352,1251.64,21.1968,0.3933,7.06653e+08,100352, 100225, 100225, 100352, 1.00127, 100352, 128, 128, 128, 784, 100352, 100352, 100352, 100352, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 28, 1
resnet34,L23,1024,1474560,245579,57.2,232919,8.99166e+13,7.06655e+08,32,26.4084,32,1,32,842,54,1,1,100352,294912,3.43453e+11,84344832,1251.64,190.771,2.9049,7.06653e+08,84344832, 38616351, 38616351, 100352, 2.18417, 84344832, 294912, 294912, 294912, 286, 84344832, 84344832, 173056, 18022400, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 42, 0.95122
resnet34,L24,1024,1179648,294173,60,203962,8.99166e+13,7.06655e+08,33,22.2691,33,1,33,738,54,1,1,50176,589824,2.40603e+11,70778880,1251.64,190.771,2.5461,7.06653e+08,70778880, 25663776, 25663776, 50176, 2.75793, 70778880, 589824, 589824, 589824, 120, 70778880, 70778880, 36864, 7864320, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 72, 1.5
resnet34,L25,1024,1474560,364925,57.2,156744,8.99166e+13,7.06655e+08,32,26.4084,32,1,32,842,54,1,1,100352,294912,2.31129e+11,84344832,1251.64,190.771,2.9049,7.06653e+08,84344832, 38616351, 38616351, 100352, 2.18417, 84344832, 294912, 294912, 294912, 286, 84344832, 84344832, 173056, 18022400, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 42, 0.95122
resnet34,L26,1024,3584,742.345,14,1.88591e+07,8.99166e+13,7.06655e+08,15,14.0003,15,1,15,58,6,1,1,50176,256,6.75912e+10,50176,1251.64,21.1968,0.2001,7.06653e+08,50176, 49921, 49921, 50176, 1.00511, 50176, 256, 256, 256, 196, 50176, 50176, 50176, 50176, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 14, 1
resnet34,L27,1024,1179648,148871,60,403033,8.99166e+13,7.06655e+08,33,22.2691,33,1,33,738,54,1,1,50176,589824,4.75437e+11,70778880,1251.64,190.771,2.5461,7.06653e+08,70778880, 25663776, 25663776, 50176, 2.75793, 70778880, 589824, 589824, 589824, 120, 70778880, 70778880, 36864, 7864320, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 72, 1.5
resnet34,L28,1024,1179648,268315,60,223618,8.99166e+13,7.06655e+08,33,22.2691,33,1,33,738,54,1,1,50176,589824,2.63791e+11,70778880,1251.64,190.771,2.5461,7.06653e+08,70778880, 25663776, 25663776, 50176, 2.75793, 70778880, 589824, 589824, 589824, 120, 70778880, 70778880, 36864, 7864320, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 72, 1.5
resnet34,L29,1024,3584,742.345,14,1.88591e+07,8.99166e+13,7.06655e+08,15,14.0003,15,1,15,58,6,1,1,50176,256,6.75912e+10,50176,1251.64,21.1968,0.2001,7.06653e+08,50176, 49921, 49921, 50176, 1.00511, 50176, 256, 256, 256, 196, 50176, 50176, 50176, 50176, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 14, 1
resnet34,L30,1024,1179648,148871,60,403033,8.99166e+13,7.06655e+08,33,22.2691,33,1,33,738,54,1,1,50176,589824,4.75437e+11,70778880,1251.64,190.771,2.5461,7.06653e+08,70778880, 25663776, 25663776, 50176, 2.75793, 70778880, 589824, 589824, 589824, 120, 70778880, 70778880, 36864, 7864320, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 72, 1.5
resnet34,L31,1024,1179648,268315,60,223618,8.99166e+13,7.06655e+08,33,22.2691,33,1,33,738,54,1,1,50176,589824,2.63791e+11,70778880,1251.64,190.771,2.5461,7.06653e+08,70778880, 25663776, 25663776, 50176, 2.75793, 70778880, 589824, 589824, 589824, 120, 70778880, 70778880, 36864, 7864320, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 72, 1.5
resnet34,L32,1024,3584,742.345,14,1.88591e+07,8.99166e+13,7.06655e+08,15,14.0003,15,1,15,58,6,1,1,50176,256,6.75912e+10,50176,1251.64,21.1968,0.2001,7.06653e+08,50176, 49921, 49921, 50176, 1.00511, 50176, 256, 256, 256, 196, 50176, 50176, 50176, 50176, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 14, 1
resnet34,L33,1024,1179648,148871,60,403033,8.99166e+13,7.06655e+08,33,22.2691,33,1,33,738,54,1,1,50176,589824,4.75437e+11,70778880,1251.64,190.771,2.5461,7.06653e+08,70778880, 25663776, 25663776, 50176, 2.75793, 70778880, 589824, 589824, 589824, 120, 70778880, 70778880, 36864, 7864320, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 72, 1.5
resnet34,L34,1024,1179648,268315,60,223618,8.99166e+13,7.06655e+08,33,22.2691,33,1,33,738,54,1,1,50176,589824,2.63791e+11,70778880,1251.64,190.771,2.5461,7.06653e+08,70778880, 25663776, 25663776, 50176, 2.75793, 70778880, 589824, 589824, 589824, 120, 70778880, 70778880, 36864, 7864320, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 72, 1.5
resnet34,L35,1024,3584,742.345,14,1.88591e+07,8.99166e+13,7.06655e+08,15,14.0003,15,1,15,58,6,1,1,50176,256,6.75912e+10,50176,1251.64,21.1968,0.2001,7.06653e+08,50176, 49921, 49921, 50176, 1.00511, 50176, 256, 256, 256, 196, 50176, 50176, 50176, 50176, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 14, 1
resnet34,L36,1024,1179648,148871,60,403033,8.99166e+13,7.06655e+08,33,22.2691,33,1,33,738,54,1,1,50176,589824,4.75437e+11,70778880,1251.64,190.771,2.5461,7.06653e+08,70778880, 25663776, 25663776, 50176, 2.75793, 70778880, 589824, 589824, 589824, 120, 70778880, 70778880, 36864, 7864320, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 72, 1.5
