Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
resnet34,L0,704,4731264,19742.7,32,1.62085e+06,8.83901e+12,6.9466e+07,36,0.772651,36,1,36,4630,384,1,1,155952,12288,7.66867e+12,151400448,860.499,932.659,15.9735,6.94642e+07,151400448, 3643392, 3643392, 155952, 41.5548, 151400448, 12288, 12288, 12288, 12321, 151400448, 151400448, 3125824, 788544, 1, 0, 0, 0, 0, 0, 0, 64, 64, 64, 32, 44
resnet34,L1,704,157464,252289,682.667,2.70589e+06,8.83901e+12,6.94653e+07,768,22.3391,768,1,768,13846,54,1,1,200704,36864,4.2608e+11,107495424,860.499,131.155,47.7687,6.94642e+07,107495424, 3480768, 3480768, 200704, 30.8827, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 682.667, 33
resnet34,L2,704,157464,184376,682.667,3.70257e+06,8.83901e+12,6.94653e+07,768,22.3391,768,1,768,13846,54,1,1,200704,36864,5.83022e+11,107495424,860.499,131.155,47.7687,6.94642e+07,107495424, 3480768, 3480768, 200704, 30.8827, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 682.667, 33
resnet34,L3,704,3136,2952.13,64,2.16793e+07,8.83901e+12,6.94651e+07,128,64.0204,128,1,128,382,6,1,1,200704,64,6.79862e+10,200704,860.499,14.5728,1.3179,6.94642e+07,200704, 200704, 200704, 200704, 1, 200704, 64, 64, 64, 3136, 200704, 200704, 200704, 197568, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 64, 1
resnet34,L4,704,157464,17260,682.667,3.9552e+07,8.83901e+12,6.94653e+07,768,22.3391,768,1,768,13846,54,1,1,200704,36864,6.22802e+12,107495424,860.499,131.155,47.7687,6.94642e+07,107495424, 3480768, 3480768, 200704, 30.8827, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 682.667, 33
resnet34,L5,704,157464,184376,682.667,3.70257e+06,8.83901e+12,6.94653e+07,768,22.3391,768,1,768,13846,54,1,1,200704,36864,5.83022e+11,107495424,860.499,131.155,47.7687,6.94642e+07,107495424, 3480768, 3480768, 200704, 30.8827, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 682.667, 33
resnet34,L6,704,3136,2952.13,64,2.16793e+07,8.83901e+12,6.94651e+07,128,64.0204,128,1,128,382,6,1,1,200704,64,6.79862e+10,200704,860.499,14.5728,1.3179,6.94642e+07,200704, 200704, 200704, 200704, 1, 200704, 64, 64, 64, 3136, 200704, 200704, 200704, 197568, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 64, 1
resnet34,L7,704,157464,17260,682.667,3.9552e+07,8.83901e+12,6.94653e+07,768,22.3391,768,1,768,13846,54,1,1,200704,36864,6.22802e+12,107495424,860.499,131.155,47.7687,6.94642e+07,107495424, 3480768, 3480768, 200704, 30.8827, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 682.667, 33
resnet34,L8,704,157464,184376,682.667,3.70257e+06,8.83901e+12,6.94653e+07,768,22.3391,768,1,768,13846,54,1,1,200704,36864,5.83022e+11,107495424,860.499,131.155,47.7687,6.94642e+07,107495424, 3480768, 3480768, 200704, 30.8827, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 682.667, 33
resnet34,L9,704,3136,2952.13,64,2.16793e+07,8.83901e+12,6.94651e+07,128,64.0204,128,1,128,382,6,1,1,200704,64,6.79862e+10,200704,860.499,14.5728,1.3179,6.94642e+07,200704, 200704, 200704, 200704, 1, 200704, 64, 64, 64, 3136, 200704, 200704, 200704, 197568, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 64, 1
