DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,53,2815813.125,2986494.344,410461000000000.0,3225770188.679245,4096 64,pass
1,42,3360095.625,2131717.584,25690900000000.0,201903000.0,1024 16,pass
2,42,3360095.625,2131717.584,32113400000000.0,252378000.0,1024 20,pass
3,42,3360095.625,2131717.584,38536000000000.0,302853000.0,1024 24,pass
4,42,3360095.625,2131717.584,44958600000000.0,353328000.0,1024 28,pass
5,42,3360095.625,2131717.584,51381200000000.0,403803595.2380952,1024 32,pass
6,42,3360095.625,2131717.584,57803700000000.0,454279000.0,1024 36,pass
7,42,3360095.625,2131717.584,64226300000000.0,504754000.0,1024 40,pass
8,42,3360095.625,2131717.584,70648900000000.0,555229000.0,1024 44,pass
9,42,3360095.625,2131717.584,77071500000000.0,605704000.0,1024 48,pass
10,38,2657015.625,1692918.5839999998,25690900000000.0,201903000.0,1024 16,pass
11,38,2657015.625,1692918.5839999998,32113400000000.0,252378000.0,1024 20,pass
12,38,2657015.625,1692918.5839999998,38536000000000.0,302853000.0,1024 24,pass
13,38,2657015.625,1692918.5839999998,44958600000000.0,353328000.0,1024 28,pass
14,38,2657015.625,1692918.5839999998,51381200000000.0,403803552.6315789,1024 32,pass
15,38,2657015.625,1692918.5839999998,57803700000000.0,454279000.0,1024 36,pass
16,38,2657015.625,1692918.5839999998,64226300000000.0,504754000.0,1024 40,pass
17,38,2657015.625,1692918.5839999998,70648900000000.0,555229000.0,1024 44,pass
18,38,2657015.625,1692918.5839999998,77071500000000.0,605704000.0,1024 48,pass
19,35,2190455.625,1516343.784,25690900000000.0,201903000.0,1024 16,pass
20,35,2190455.625,1516343.784,32113400000000.0,252378000.0,1024 20,pass
21,35,2190455.625,1516343.784,38536000000000.0,302853000.0,1024 24,pass
22,35,2190455.625,1516343.784,44958600000000.0,353328000.0,1024 28,pass
23,35,2190455.625,1516343.784,51381200000000.0,403803514.2857143,1024 32,pass
24,35,2190455.625,1516343.784,57803700000000.0,454279000.0,1024 36,pass
25,35,2190455.625,1516343.784,64226300000000.0,504754000.0,1024 40,pass
26,35,2190455.625,1516343.784,70648900000000.0,555229000.0,1024 44,pass
27,35,2190455.625,1516343.784,77071500000000.0,605704000.0,1024 48,pass
28,31,1568375.625,1192776.9839999997,25690900000000.0,201903000.0,1024 16,pass
29,31,1568375.625,1192776.9839999997,32113400000000.0,252378000.0,1024 20,pass
30,31,1568375.625,1192776.9839999997,38536000000000.0,302853000.0,1024 24,pass
31,31,1568375.625,1192776.9839999997,44958600000000.0,353328000.0,1024 28,pass
32,31,1568375.625,1192776.9839999997,51381200000000.0,403803451.6129032,1024 32,pass
33,31,1568375.625,1192776.9839999997,57803700000000.0,454279000.0,1024 36,pass
34,31,1568375.625,1192776.9839999997,64226300000000.0,504754000.0,1024 40,pass
35,31,1568375.625,1192776.9839999997,70648900000000.0,555229000.0,1024 44,pass
36,31,1568375.625,1192776.9839999997,77071500000000.0,605704000.0,1024 48,pass
37,28,1101815.625,884001.5839999999,25690900000000.0,201903000.0,1024 16,pass
38,28,1101815.625,884001.5839999999,32113400000000.0,252378000.0,1024 20,pass
39,28,1101815.625,884001.5839999999,38536000000000.0,302853000.0,1024 24,pass
40,28,1101815.625,884001.5839999999,44958600000000.0,353328000.0,1024 28,pass
41,28,1101815.625,884001.5839999999,51381200000000.0,403803392.85714287,1024 32,pass
42,28,1101815.625,884001.5839999999,57803700000000.0,454279000.0,1024 36,pass
43,28,1101815.625,884001.5839999999,64226300000000.0,504754000.0,1024 40,pass
44,28,1101815.625,884001.5839999999,70648900000000.0,555229000.0,1024 44,pass
45,28,1101815.625,884001.5839999999,77071500000000.0,605704000.0,1024 48,pass
46,27,993815.625,789144.6839999999,25690900000000.0,201903000.0,1024 16,pass
47,27,993815.625,789144.6839999999,32113400000000.0,252378000.0,1024 20,pass
48,27,993815.625,789144.6839999999,38536000000000.0,302853000.0,1024 24,pass
49,27,993815.625,789144.6839999999,44958600000000.0,353328000.0,1024 28,pass
50,27,993815.625,789144.6839999999,51381200000000.0,403803370.3703704,1024 32,pass
51,27,993815.625,789144.6839999999,57803700000000.0,454279000.0,1024 36,pass
52,27,993815.625,789144.6839999999,64226300000000.0,504754000.0,1024 40,pass
53,27,993815.625,789144.6839999999,70648900000000.0,555229000.0,1024 44,pass
54,27,993815.625,789144.6839999999,77071500000000.0,605704000.0,1024 48,pass
55,25,777815.625,640304.284,25690900000000.0,201903000.0,1024 16,pass
56,25,777815.625,640304.284,32113400000000.0,252378000.0,1024 20,pass
57,25,777815.625,640304.284,38536000000000.0,302853000.0,1024 24,pass
58,25,777815.625,640304.284,44958600000000.0,353328000.0,1024 28,pass
59,25,777815.625,640304.284,51381200000000.0,403803320.0,1024 32,pass
60,25,777815.625,640304.284,57803700000000.0,454279000.0,1024 36,pass
61,25,777815.625,640304.284,64226300000000.0,504754000.0,1024 40,pass
62,25,777815.625,640304.284,70648900000000.0,555229000.0,1024 44,pass
63,25,777815.625,640304.284,77071500000000.0,605704000.0,1024 48,pass
64,20,273725.625,300107.3840000001,25690900000000.0,201903000.0,1024 16,fail
65,20,273725.625,300107.3840000001,32113400000000.0,252378000.0,1024 20,fail
66,20,273725.625,300107.3840000001,38536000000000.0,302853000.0,1024 24,fail
67,20,273725.625,300107.3840000001,44958600000000.0,353328000.0,1024 28,fail
68,20,273725.625,300107.3840000001,51381200000000.0,403803150.0,1024 32,fail
69,20,273725.625,300107.3840000001,57803700000000.0,454279000.0,1024 36,fail
70,20,273725.625,300107.3840000001,64226300000000.0,504754000.0,1024 40,fail
71,20,273725.625,300107.3840000001,70648900000000.0,555229000.0,1024 44,fail
72,20,273725.625,300107.3840000001,77071500000000.0,605704000.0,1024 48,fail
73,0,0.0,0.0,25690900000000.0,,1024 16,fail
74,0,0.0,0.0,32113400000000.0,,1024 20,fail
75,0,0.0,0.0,38536000000000.0,,1024 24,fail
76,0,0.0,0.0,44958600000000.0,,1024 28,fail
77,0,0.0,0.0,51381200000000.0,,1024 32,fail
78,0,0.0,0.0,57803700000000.0,,1024 36,fail
