DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,53,11185235.625,3241900.684,102762000000000.0,807605018.8679246,1024 64,pass
1,35,8684066.25,1995688.829,6459620000000.0,50766451.42857143,256 16,pass
2,35,8684066.25,1995688.829,8074520000000.0,63457951.42857143,256 20,pass
3,35,8684066.25,1995688.829,9689420000000.0,76149500.0,256 24,pass
4,35,8684066.25,1995688.829,11304300000000.0,88841000.0,256 28,pass
5,35,8684066.25,1995688.829,12919200000000.0,101532514.28571428,256 32,pass
6,35,8684066.25,1995688.829,14534100000000.0,114224000.0,256 36,pass
7,35,8684066.25,1995688.829,16149000000000.0,126916000.0,256 40,pass
8,35,8684066.25,1995688.829,17763900000000.0,139607000.0,256 44,pass
9,35,8684066.25,1995688.829,19378800000000.0,152299000.0,256 48,pass
10,31,6195746.25,1561797.629,6459620000000.0,50766445.161290325,256 16,pass
11,31,6195746.25,1561797.629,8074520000000.0,63457945.161290325,256 20,pass
12,31,6195746.25,1561797.629,9689420000000.0,76149500.0,256 24,pass
13,31,6195746.25,1561797.629,11304300000000.0,88841000.0,256 28,pass
14,31,6195746.25,1561797.629,12919200000000.0,101532451.61290322,256 32,pass
15,31,6195746.25,1561797.629,14534100000000.0,114224000.0,256 36,pass
16,31,6195746.25,1561797.629,16149000000000.0,126916000.0,256 40,pass
17,31,6195746.25,1561797.629,17763900000000.0,139607000.0,256 44,pass
18,31,6195746.25,1561797.629,19378800000000.0,152299000.0,256 48,pass
19,28,4329506.25,1169088.029,6459620000000.0,50766439.28571428,256 16,pass
20,28,4329506.25,1169088.029,8074520000000.0,63457939.28571428,256 20,pass
21,28,4329506.25,1169088.029,9689420000000.0,76149500.0,256 24,pass
22,28,4329506.25,1169088.029,11304300000000.0,88841000.0,256 28,pass
23,28,4329506.25,1169088.029,12919200000000.0,101532392.85714284,256 32,pass
24,28,4329506.25,1169088.029,14534100000000.0,114224000.0,256 36,pass
25,28,4329506.25,1169088.029,16149000000000.0,126916000.0,256 40,pass
26,28,4329506.25,1169088.029,17763900000000.0,139607000.0,256 44,pass
27,28,4329506.25,1169088.029,19378800000000.0,152299000.0,256 48,pass
28,27,3897506.25,1050177.029,6459620000000.0,50766437.03703704,256 16,pass
29,27,3897506.25,1050177.029,8074520000000.0,63457937.03703704,256 20,pass
30,27,3897506.25,1050177.029,9689420000000.0,76149500.0,256 24,pass
31,27,3897506.25,1050177.029,11304300000000.0,88841000.0,256 28,pass
32,27,3897506.25,1050177.029,12919200000000.0,101532370.37037036,256 32,pass
33,27,3897506.25,1050177.029,14534100000000.0,114224000.0,256 36,pass
34,27,3897506.25,1050177.029,16149000000000.0,126916000.0,256 40,pass
35,27,3897506.25,1050177.029,17763900000000.0,139607000.0,256 44,pass
36,27,3897506.25,1050177.029,19378800000000.0,152299000.0,256 48,pass
37,25,3033506.25,855655.829,6459620000000.0,50766432.0,256 16,pass
38,25,3033506.25,855655.829,8074520000000.0,63457932.0,256 20,pass
39,25,3033506.25,855655.829,9689420000000.0,76149500.0,256 24,pass
40,25,3033506.25,855655.829,11304300000000.0,88841000.0,256 28,pass
41,25,3033506.25,855655.829,12919200000000.0,101532320.0,256 32,pass
42,25,3033506.25,855655.829,14534100000000.0,114224000.0,256 36,pass
43,25,3033506.25,855655.829,16149000000000.0,126916000.0,256 40,pass
44,25,3033506.25,855655.829,17763900000000.0,139607000.0,256 44,pass
45,25,3033506.25,855655.829,19378800000000.0,152299000.0,256 48,pass
46,20,1017146.25,381157.0289999999,6459620000000.0,50766415.0,256 16,fail
47,20,1017146.25,381157.0289999999,8074520000000.0,63457915.0,256 20,fail
48,20,1017146.25,381157.0289999999,9689420000000.0,76149500.0,256 24,fail
49,20,1017146.25,381157.0289999999,11304300000000.0,88841000.0,256 28,fail
50,20,1017146.25,381157.0289999999,12919200000000.0,101532150.0,256 32,fail
51,20,1017146.25,381157.0289999999,14534100000000.0,114224000.0,256 36,fail
52,20,1017146.25,381157.0289999999,16149000000000.0,126916000.0,256 40,fail
53,20,1017146.25,381157.0289999999,17763900000000.0,139607000.0,256 44,fail
