DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,4 48,50,3,563592887343091.2,830658037952354.0,69081600,31467814,8158364,26397068,6459620000000,373950619,pass
2,256 20,4 44,50,3,563592887343091.2,830748344722938.4,69081600,31471235,8158364,26397068,8074520000000,373950619,pass
3,256 24,4 40,50,3,563592887343091.2,830856712847640.9,69081600,31475340,8158364,26397068,9689420000000,373950619,pass
4,256 28,4 36,50,3,563592887343091.2,830989162777831.6,69081600,31480358,8158364,26397068,11304300000000,373950619,pass
5,256 32,4 32,50,3,563592887343091.2,831154725190570.4,69081600,31486630,8158364,26397068,12919200000000,373950619,pass
6,256 36,4 28,50,3,563592887343091.2,831367591149805.5,69081600,31494694,8158364,26397068,14534100000000,373950619,pass
7,256 40,4 24,50,3,563592887343091.2,831651412428786.9,69081600,31505446,8158364,26397068,16149000000000,373950619,pass
8,256 44,4 20,50,3,563592887343091.2,832048762219359.5,69081600,31520498,8158364,26397068,17763900000000,373950619,pass
9,256 48,4 16,50,3,563592887343091.2,832644786905219.8,69081600,31543078,8158364,26397068,19378800000000,373950619,pass
10,256 16,5 48,49,4,508723840244989.4,1053891494073234.5,64657920,31938260,7867927,32997774,6459620000000,494579851,pass
11,256 20,5 44,49,4,508723840244989.4,1054004382458005.8,64657920,31941681,7867927,32997774,8074520000000,494579851,pass
12,256 24,5 40,49,4,508723840244989.4,1054139848519732.4,64657920,31945786,7867927,32997774,9689420000000,494579851,pass
13,256 28,5 36,49,4,508723840244989.4,1054305418150730.5,64657920,31950804,7867927,32997774,11304300000000,494579851,pass
14,256 32,5 32,49,4,508723840244989.4,1054512380189478.5,64657920,31957076,7867927,32997774,12919200000000,494579851,pass
15,256 36,5 28,49,4,508723840244989.4,1054778474239296.9,64657920,31965140,7867927,32997774,14534100000000,494579851,pass
16,256 40,5 24,49,4,508723840244989.4,1055133266305722.6,64657920,31975892,7867927,32997774,16149000000000,494579851,pass
17,256 44,5 20,49,4,508723840244989.4,1055629975198717.1,64657920,31990945,7867927,32997774,17763900000000,494579851,pass
18,256 48,5 16,49,4,508723840244989.4,1056375038538210.8,64657920,32013524,7867927,32997774,19378800000000,494579851,pass
19,256 16,6 48,48,5,468169956198151.7,1471740010555653.8,60234240,32403286,7772488,45419467,6459620000000,723775392,pass
20,256 20,6 44,48,5,468169956198151.7,1471895394682563.8,60234240,32406707,7772488,45419467,8074520000000,723775392,pass
21,256 24,6 40,48,5,468169956198151.7,1472081855634857.2,60234240,32410812,7772488,45419467,9689420000000,723775392,pass
22,256 28,6 36,48,5,468169956198151.7,1472309752354325.2,60234240,32415830,7772488,45419467,11304300000000,723775392,pass
23,256 32,6 32,48,5,468169956198151.7,1472594623253661.0,60234240,32422102,7772488,45419467,12919200000000,723775392,pass
24,256 36,6 28,48,5,468169956198151.7,1472960885838520.8,60234240,32430166,7772488,45419467,14534100000000,723775392,pass
25,256 40,6 24,48,5,468169956198151.7,1473449235951668.2,60234240,32440918,7772488,45419467,16149000000000,723775392,pass
26,256 44,6 20,48,5,468169956198151.7,1474132926110073.5,60234240,32455971,7772488,45419467,17763900000000,723775392,pass
27,256 48,6 16,48,5,468169956198151.7,1475158461347683.0,60234240,32478550,7772488,45419467,19378800000000,723775392,pass
28,256 16,7 48,46,7,384648212173340.2,2342095520627016.5,51386880,33333338,7485338,70262854,6459620000000,1182166474,pass
29,256 20,7 44,46,7,384648212173340.2,2342335896238203.5,51386880,33336759,7485338,70262854,8074520000000,1182166474,pass
30,256 24,7 40,46,7,384648212173340.2,2342624346971630.5,51386880,33340865,7485338,70262854,9689420000000,1182166474,pass
31,256 28,7 36,46,7,384648212173340.2,2342976897868039.0,51386880,33345882,7485338,70262854,11304300000000,1182166474,pass
32,256 32,7 32,46,7,384648212173340.2,2343417586488550.0,51386880,33352154,7485338,70262854,12919200000000,1182166474,pass
33,256 36,7 28,46,7,384648212173340.2,2343984186143492.0,51386880,33360218,7485338,70262854,14534100000000,1182166474,pass
34,256 40,7 24,46,7,384648212173340.2,2344739652350083.5,51386880,33370970,7485338,70262854,16149000000000,1182166474,pass
35,256 44,7 20,46,7,384648212173340.2,2345797305039309.0,51386880,33386023,7485338,70262854,17763900000000,1182166474,pass
36,256 48,7 16,46,7,384648212173340.2,2347383784073151.0,51386880,33408602,7485338,70262854,19378800000000,1182166474,pass
37,256 16,8 48,41,12,230944858151677.47,5144620063853062.0,37009920,41275104,6240079,124642206,6459620000000,1604368787,pass
38,256 20,8 44,41,12,230944858151677.47,5145046476172509.0,37009920,41278525,6240079,124642206,8074520000000,1604368787,pass
39,256 24,8 40,41,12,230944858151677.47,5145558170955853.0,37009920,41282630,6240079,124642206,9689420000000,1604368787,pass
40,256 28,8 36,41,12,230944858151677.47,5146183575691046.0,37009920,41287648,6240079,124642206,11304300000000,1604368787,pass
41,256 32,8 32,41,12,230944858151677.47,5146965331610038.0,37009920,41293920,6240079,124642206,12919200000000,1604368787,pass
42,256 36,8 28,41,12,230944858151677.47,5147970446363026.0,37009920,41301984,6240079,124642206,14534100000000,1604368787,pass
43,256 40,8 24,41,12,230944858151677.47,5149310599367014.0,37009920,41312736,6240079,124642206,16149000000000,1604368787,pass
