DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,53,197156590.1847773,2472899258.754764,1298.8420596044275,444698396.982121,18 64,pass
1,11,126446120.88172252,193006771.41500595,70.40916853988166,136815089.54657155,2 48,pass
2,11,126449541.9726316,193006771.41500595,70.40916853988166,136815089.54657155,2 44,pass
3,11,126453647.28172252,193006771.41500595,70.40916853988166,136815089.54657155,2 40,pass
4,11,126458664.88172252,193006771.41500595,70.40916853988166,136815089.54657155,2 36,pass
5,11,126464936.88172252,193006771.41500595,70.40916853988166,136815089.54657155,2 32,pass
6,11,126473000.8817225,193006771.41500595,70.40916853988166,136815089.54657155,2 28,pass
7,11,126483752.88172252,193006771.41500595,70.40916853988166,136815089.54657155,2 24,pass
8,11,126498805.68172248,193006771.41500595,70.40916853988166,136815089.54657155,2 20,pass
9,11,126521384.88172252,193006771.41500595,70.40916853988166,136815089.54657155,2 16,pass
10,15,150584923.2927888,325698926.7628225,142.57220378921954,212546027.23085696,3 48,pass
11,15,150588344.3836979,325698926.7628225,142.57220378921954,212546027.23085696,3 44,pass
12,15,150592449.6927888,325698926.7628225,142.57220378921954,212546027.23085696,3 40,pass
13,15,150597467.2927888,325698926.7628225,142.57220378921954,212546027.23085696,3 36,pass
14,15,150603739.2927888,325698926.7628225,142.57220378921954,212546027.23085696,3 32,pass
15,15,150611803.2927888,325698926.7628225,142.57220378921954,212546027.23085696,3 28,pass
16,15,150622555.2927888,325698926.7628225,142.57220378921954,212546027.23085696,3 24,pass
17,15,150637608.0927888,325698926.7628225,142.57220378921954,212546027.23085696,3 20,pass
18,15,150660187.2927888,325698926.7628225,142.57220378921954,212546027.23085696,3 16,pass
19,18,156158517.69534257,506642774.9643905,240.9763427655893,251733365.4081903,4 48,pass
20,18,156161938.78625166,506642774.9643905,240.9763427655893,251733365.4081903,4 44,pass
21,18,156166044.09534258,506642774.9643905,240.9763427655893,251733365.4081903,4 40,pass
22,18,156171061.69534257,506642774.9643905,240.9763427655893,251733365.4081903,4 36,pass
23,18,156177333.69534257,506642774.9643905,240.9763427655893,251733365.4081903,4 32,pass
24,18,156185397.69534257,506642774.9643905,240.9763427655893,251733365.4081903,4 28,pass
25,18,156196149.69534257,506642774.9643905,240.9763427655893,251733365.4081903,4 24,pass
26,18,156211202.49534255,506642774.9643905,240.9763427655893,251733365.4081903,4 20,pass
