DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA area,restraint
1,1024 16,2 48,53,0,674523580394968.9,0.0,25690900000000.0,pass
2,1024 20,2 44,53,0,674523580394968.9,0.0,32113400000000.0,pass
3,1024 24,2 40,53,0,674523580394968.9,0.0,38536000000000.0,pass
4,1024 28,2 36,53,0,674523580394968.9,0.0,44958600000000.0,pass
5,1024 32,2 32,53,0,674523580394968.9,0.0,51381200000000.0,pass
6,1024 36,2 28,53,0,674523580394968.9,0.0,57803700000000.0,pass
7,1024 40,2 24,53,0,674523580394968.9,0.0,64226300000000.0,pass
8,1024 44,2 20,53,0,674523580394968.9,0.0,70648900000000.0,pass
9,1024 48,2 16,53,0,674523580394968.9,0.0,77071500000000.0,pass
10,1024 16,3 48,53,0,674523580394968.9,0.0,25690900000000.0,pass
11,1024 20,3 44,53,0,674523580394968.9,0.0,32113400000000.0,pass
12,1024 24,3 40,53,0,674523580394968.9,0.0,38536000000000.0,pass
13,1024 28,3 36,53,0,674523580394968.9,0.0,44958600000000.0,pass
14,1024 32,3 32,53,0,674523580394968.9,0.0,51381200000000.0,pass
15,1024 36,3 28,53,0,674523580394968.9,0.0,57803700000000.0,pass
16,1024 40,3 24,53,0,674523580394968.9,0.0,64226300000000.0,pass
17,1024 44,3 20,53,0,674523580394968.9,0.0,70648900000000.0,pass
18,1024 48,3 16,53,0,674523580394968.9,0.0,77071500000000.0,pass
19,1024 16,4 48,52,1,616536734976195.6,5776412851087.242,25690900000000.0,pass
20,1024 20,4 44,52,1,616536734976195.6,5776412851087.242,32113400000000.0,pass
21,1024 24,4 40,52,1,616536734976195.6,5776412851087.242,38536000000000.0,pass
22,1024 28,4 36,52,1,616536734976195.6,5776412851087.242,44958600000000.0,pass
23,1024 32,4 32,52,1,616536734976195.6,5776412851087.242,51381200000000.0,pass
24,1024 36,4 28,52,1,616536734976195.6,5776412851087.242,57803700000000.0,pass
25,1024 40,4 24,52,1,616536734976195.6,5776412851087.242,64226300000000.0,pass
26,1024 44,4 20,52,1,616536734976195.6,5776412851087.242,70648900000000.0,pass
27,1024 48,4 16,52,1,616536734976195.6,5776412851087.242,77071500000000.0,pass
28,1024 16,5 48,51,2,568562042245826.8,23105651404348.973,25690900000000.0,pass
29,1024 20,5 44,51,2,568562042245826.8,23105651404348.973,32113400000000.0,pass
30,1024 24,5 40,51,2,568562042245826.8,23105651404348.973,38536000000000.0,pass
31,1024 28,5 36,51,2,568562042245826.8,23105651404348.973,44958600000000.0,pass
32,1024 32,5 32,51,2,568562042245826.8,23105651404348.973,51381200000000.0,pass
33,1024 36,5 28,51,2,568562042245826.8,23105651404348.973,57803700000000.0,pass
34,1024 40,5 24,51,2,568562042245826.8,23105651404348.973,64226300000000.0,pass
35,1024 44,5 20,51,2,568562042245826.8,23105651404348.973,70648900000000.0,pass
36,1024 48,5 16,51,2,568562042245826.8,23105651404348.973,77071500000000.0,pass
37,1024 16,6 48,50,3,511845498616194.9,51987715659785.19,25690900000000.0,pass
38,1024 20,6 44,50,3,511845498616194.9,51987715659785.19,32113400000000.0,pass
39,1024 24,6 40,50,3,511845498616194.9,51987715659785.19,38536000000000.0,pass
40,1024 28,6 36,50,3,511845498616194.9,51987715659785.19,44958600000000.0,pass
41,1024 32,6 32,50,3,511845498616194.9,51987715659785.19,51381200000000.0,pass
42,1024 36,6 28,50,3,511845498616194.9,51987715659785.19,57803700000000.0,pass
43,1024 40,6 24,50,3,511845498616194.9,51987715659785.19,64226300000000.0,pass
44,1024 44,6 20,50,3,511845498616194.9,51987715659785.19,70648900000000.0,pass
45,1024 48,6 16,50,3,511845498616194.9,51987715659785.19,77071500000000.0,pass
46,1024 16,7 48,48,5,415243550960194.06,144410321277181.06,25690900000000.0,pass
47,1024 20,7 44,48,5,415243550960194.06,144410321277181.06,32113400000000.0,pass
48,1024 24,7 40,48,5,415243550960194.06,144410321277181.06,38536000000000.0,pass
49,1024 28,7 36,48,5,415243550960194.06,144410321277181.06,44958600000000.0,pass
50,1024 32,7 32,48,5,415243550960194.06,144410321277181.06,51381200000000.0,pass
51,1024 36,7 28,48,5,415243550960194.06,144410321277181.06,57803700000000.0,pass
52,1024 40,7 24,48,5,415243550960194.06,144410321277181.06,64226300000000.0,pass
53,1024 44,7 20,48,5,415243550960194.06,144410321277181.06,70648900000000.0,pass
54,1024 48,7 16,48,5,415243550960194.06,144410321277181.06,77071500000000.0,pass
55,1024 16,8 48,41,12,213228303038783.25,2353882226210213.5,25690900000000.0,pass
56,1024 20,8 44,41,12,213228303038783.25,2353882226210213.5,32113400000000.0,pass
57,1024 24,8 40,41,12,213228303038783.25,2353882226210213.5,38536000000000.0,pass
58,1024 28,8 36,41,12,213228303038783.25,2353882226210213.5,44958600000000.0,pass
59,1024 32,8 32,41,12,213228303038783.25,2353882226210213.5,51381200000000.0,pass
60,1024 36,8 28,41,12,213228303038783.25,2353882226210213.5,57803700000000.0,pass
61,1024 40,8 24,41,12,213228303038783.25,2353882226210213.5,64226300000000.0,pass
62,1024 44,8 20,41,12,213228303038783.25,2353882226210213.5,70648900000000.0,pass
63,1024 48,8 16,41,12,213228303038783.25,2353882226210213.5,77071500000000.0,pass
64,1024 16,9 48,36,17,109917540587586.31,4934404825124131.0,25690900000000.0,pass
65,1024 20,9 44,36,17,109917540587586.31,4934404825124131.0,32113400000000.0,pass
66,1024 24,9 40,36,17,109917540587586.31,4934404825124131.0,38536000000000.0,pass
67,1024 28,9 36,36,17,109917540587586.31,4934404825124131.0,44958600000000.0,pass
68,1024 32,9 32,36,17,109917540587586.31,4934404825124131.0,51381200000000.0,pass
69,1024 36,9 28,36,17,109917540587586.31,4934404825124131.0,57803700000000.0,pass
70,1024 40,9 24,36,17,109917540587586.31,4934404825124131.0,64226300000000.0,pass
71,1024 44,9 20,36,17,109917540587586.31,4934404825124131.0,70648900000000.0,pass
72,1024 48,9 16,36,17,109917540587586.31,4934404825124131.0,77071500000000.0,pass
73,1024 16,10 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
74,1024 20,10 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
75,1024 24,10 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
76,1024 28,10 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
77,1024 32,10 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
78,1024 36,10 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
79,1024 40,10 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
80,1024 44,10 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
81,1024 48,10 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
82,1024 16,11 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
83,1024 20,11 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
84,1024 24,11 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
85,1024 28,11 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
86,1024 32,11 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
87,1024 36,11 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
88,1024 40,11 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
89,1024 44,11 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
90,1024 48,11 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
91,1024 16,12 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
92,1024 20,12 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
93,1024 24,12 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
94,1024 28,12 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
95,1024 32,12 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
96,1024 36,12 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
97,1024 40,12 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
98,1024 44,12 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
99,1024 48,12 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
100,1024 16,13 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
101,1024 20,13 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
102,1024 24,13 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
103,1024 28,13 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
104,1024 32,13 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
105,1024 36,13 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
106,1024 40,13 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
107,1024 44,13 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
108,1024 48,13 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
109,1024 16,14 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
110,1024 20,14 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
111,1024 24,14 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
112,1024 28,14 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
113,1024 32,14 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
114,1024 36,14 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
115,1024 40,14 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
116,1024 44,14 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
117,1024 48,14 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
118,1024 16,15 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
119,1024 20,15 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
120,1024 24,15 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
121,1024 28,15 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
122,1024 32,15 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
123,1024 36,15 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
124,1024 40,15 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
125,1024 44,15 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
126,1024 48,15 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
