DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,53,381296640.0,8777076.068999998,410461000000000.0,3225770188.679245,4096 64,pass
1,53,381296640.0,8777076.068999998,25690900000000.0,201903018.8679245,1024 16,pass
2,53,381296640.0,8777076.068999998,32113400000000.0,252378018.8679245,1024 20,pass
3,53,381296640.0,8777076.068999998,38536000000000.0,302853018.8679245,1024 24,pass
4,53,381296640.0,8777076.068999998,44958600000000.0,353328037.7358491,1024 28,pass
5,53,381296640.0,8777076.068999998,51381200000000.0,403803698.1132075,1024 32,pass
6,53,381296640.0,8777076.068999998,57803700000000.0,454279018.8679245,1024 36,pass
7,53,381296640.0,8777076.068999998,64226300000000.0,504754018.8679245,1024 40,pass
8,53,381296640.0,8777076.068999998,70648900000000.0,555229018.8679246,1024 44,pass
9,53,381296640.0,8777076.068999998,77071500000000.0,605704037.735849,1024 48,pass
10,53,381296640.0,8777076.068999998,25690900000000.0,201903018.8679245,1024 16,pass
11,53,381296640.0,8777076.068999998,32113400000000.0,252378018.8679245,1024 20,pass
12,53,381296640.0,8777076.068999998,38536000000000.0,302853018.8679245,1024 24,pass
13,53,381296640.0,8777076.068999998,44958600000000.0,353328037.7358491,1024 28,pass
14,53,381296640.0,8777076.068999998,51381200000000.0,403803698.1132075,1024 32,pass
15,53,381296640.0,8777076.068999998,57803700000000.0,454279018.8679245,1024 36,pass
16,53,381296640.0,8777076.068999998,64226300000000.0,504754018.8679245,1024 40,pass
17,53,381296640.0,8777076.068999998,70648900000000.0,555229018.8679246,1024 44,pass
18,53,381296640.0,8777076.068999998,77071500000000.0,605704037.735849,1024 48,pass
19,52,359178240.0,8585308.068999998,25690900000000.0,201903019.2307692,1024 16,pass
20,52,359178240.0,8585308.068999998,32113400000000.0,252378019.2307692,1024 20,pass
21,52,359178240.0,8585308.068999998,38536000000000.0,302853019.2307692,1024 24,pass
22,52,359178240.0,8585308.068999998,44958600000000.0,353328038.46153843,1024 28,pass
23,52,359178240.0,8585308.068999998,51381200000000.0,403803692.3076923,1024 32,pass
24,52,359178240.0,8585308.068999998,57803700000000.0,454279019.2307692,1024 36,pass
25,52,359178240.0,8585308.068999998,64226300000000.0,504754019.2307692,1024 40,pass
26,52,359178240.0,8585308.068999998,70648900000000.0,555229019.2307693,1024 44,pass
27,52,359178240.0,8585308.068999998,77071500000000.0,605704038.4615384,1024 48,pass
28,51,337059840.0,8393540.069,25690900000000.0,201903019.6078432,1024 16,pass
29,51,337059840.0,8393540.069,32113400000000.0,252378019.6078432,1024 20,pass
30,51,337059840.0,8393540.069,38536000000000.0,302853019.6078432,1024 24,pass
31,51,337059840.0,8393540.069,44958600000000.0,353328039.21568626,1024 28,pass
32,51,337059840.0,8393540.069,51381200000000.0,403803686.2745098,1024 32,pass
33,51,337059840.0,8393540.069,57803700000000.0,454279019.6078432,1024 36,pass
34,51,337059840.0,8393540.069,64226300000000.0,504754019.6078432,1024 40,pass
35,51,337059840.0,8393540.069,70648900000000.0,555229019.6078432,1024 44,pass
36,51,337059840.0,8393540.069,77071500000000.0,605704039.2156863,1024 48,pass
37,50,314941440.0,8201772.068999999,25690900000000.0,201903020.0,1024 16,pass
38,50,314941440.0,8201772.068999999,32113400000000.0,252378020.0,1024 20,pass
39,50,314941440.0,8201772.068999999,38536000000000.0,302853020.0,1024 24,pass
40,50,314941440.0,8201772.068999999,44958600000000.0,353328040.0,1024 28,pass
41,50,314941440.0,8201772.068999999,51381200000000.0,403803680.0,1024 32,pass
42,50,314941440.0,8201772.068999999,57803700000000.0,454279020.0,1024 36,pass
43,50,314941440.0,8201772.068999999,64226300000000.0,504754020.0,1024 40,pass
44,50,314941440.0,8201772.068999999,70648900000000.0,555229020.0,1024 44,pass
45,50,314941440.0,8201772.068999999,77071500000000.0,605704040.0,1024 48,pass
46,48,270704640.0,7818236.069,25690900000000.0,201903020.8333333,1024 16,pass
47,48,270704640.0,7818236.069,32113400000000.0,252378020.8333333,1024 20,pass
48,48,270704640.0,7818236.069,38536000000000.0,302853020.8333333,1024 24,pass
49,48,270704640.0,7818236.069,44958600000000.0,353328041.6666667,1024 28,pass
50,48,270704640.0,7818236.069,51381200000000.0,403803666.6666667,1024 32,pass
51,48,270704640.0,7818236.069,57803700000000.0,454279020.8333333,1024 36,pass
52,48,270704640.0,7818236.069,64226300000000.0,504754020.8333333,1024 40,pass
53,48,270704640.0,7818236.069,70648900000000.0,555229020.8333334,1024 44,pass
54,48,270704640.0,7818236.069,77071500000000.0,605704041.6666666,1024 48,pass
55,41,177807360.0,6188797.069,25690900000000.0,201903024.3902439,1024 16,pass
56,41,177807360.0,6188797.069,32113400000000.0,252378024.3902439,1024 20,pass
57,41,177807360.0,6188797.069,38536000000000.0,302853024.3902439,1024 24,pass
58,41,177807360.0,6188797.069,44958600000000.0,353328048.7804878,1024 28,pass
59,41,177807360.0,6188797.069,51381200000000.0,403803609.7560976,1024 32,pass
60,41,177807360.0,6188797.069,57803700000000.0,454279024.3902439,1024 36,pass
61,41,177807360.0,6188797.069,64226300000000.0,504754024.3902439,1024 40,pass
62,41,177807360.0,6188797.069,70648900000000.0,555229024.3902439,1024 44,pass
63,41,177807360.0,6188797.069,77071500000000.0,605704048.7804878,1024 48,pass
64,36,111452160.0,5033030.068999999,25690900000000.0,201903027.7777778,1024 16,pass
65,36,111452160.0,5033030.068999999,32113400000000.0,252378027.7777778,1024 20,pass
66,36,111452160.0,5033030.068999999,38536000000000.0,302853027.7777778,1024 24,pass
67,36,111452160.0,5033030.068999999,44958600000000.0,353328055.5555556,1024 28,pass
68,36,111452160.0,5033030.068999999,51381200000000.0,403803555.5555556,1024 32,pass
69,36,111452160.0,5033030.068999999,57803700000000.0,454279027.7777778,1024 36,pass
70,36,111452160.0,5033030.068999999,64226300000000.0,504754027.7777778,1024 40,pass
71,36,111452160.0,5033030.068999999,70648900000000.0,555229027.7777778,1024 44,pass
72,36,111452160.0,5033030.068999999,77071500000000.0,605704055.5555556,1024 48,pass
73,0,0.0,0.0,25690900000000.0,,1024 16,fail
74,0,0.0,0.0,32113400000000.0,,1024 20,fail
75,0,0.0,0.0,38536000000000.0,,1024 24,fail
