DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,53,198673630.1847773,2472899258.754764,1298.8420596044275,444698396.982121,34 64,pass
1,0,0.0,0.0,0.0,0.0,2 48,pass
2,0,0.0,0.0,0.0,0.0,2 44,pass
3,0,0.0,0.0,0.0,0.0,2 40,pass
4,0,0.0,0.0,0.0,0.0,2 36,pass
5,0,0.0,0.0,0.0,0.0,2 32,pass
6,0,0.0,0.0,0.0,0.0,2 28,pass
7,0,0.0,0.0,0.0,0.0,2 24,pass
8,0,0.0,0.0,0.0,0.0,2 20,pass
9,0,0.0,0.0,0.0,0.0,2 16,pass
10,0,0.0,0.0,0.0,0.0,3 48,pass
11,0,0.0,0.0,0.0,0.0,3 44,pass
12,0,0.0,0.0,0.0,0.0,3 40,pass
13,0,0.0,0.0,0.0,0.0,3 36,pass
14,0,0.0,0.0,0.0,0.0,3 32,pass
15,0,0.0,0.0,0.0,0.0,3 28,pass
16,0,0.0,0.0,0.0,0.0,3 24,pass
17,0,0.0,0.0,0.0,0.0,3 20,pass
18,0,0.0,0.0,0.0,0.0,3 16,pass
19,1,465026.20021281455,229195541.0553196,124.6452427034018,12421693.333501909,4 48,pass
20,1,465026.20021281455,229195541.0553196,124.6452427034018,12421693.333501909,4 44,pass
21,1,465026.20021281455,229195541.0553196,124.6452427034018,12421693.333501909,4 40,pass
22,1,465026.20021281455,229195541.0553196,124.6452427034018,12421693.333501909,4 36,pass
23,1,465026.20021281455,229195541.0553196,124.6452427034018,12421693.333501909,4 32,pass
24,1,465026.20021281455,229195541.0553196,124.6452427034018,12421693.333501909,4 28,pass
25,1,465026.20021281455,229195541.0553196,124.6452427034018,12421693.333501909,4 24,pass
26,1,465026.20021281455,229195541.0553196,124.6452427034018,12421693.333501909,4 20,pass
27,1,465026.20021281455,229195541.0553196,124.6452427034018,12421693.333501909,4 16,pass
28,2,930052.4004256292,458391082.1106392,249.2904854068036,24843386.667003818,5 48,pass
29,2,930052.4004256292,458391082.1106392,249.2904854068036,24843386.667003818,5 44,pass
30,2,930052.4004256292,458391082.1106392,249.2904854068036,24843386.667003818,5 40,pass
31,2,930052.4004256292,458391082.1106392,249.2904854068036,24843386.667003818,5 36,pass
32,2,930052.4004256292,458391082.1106392,249.2904854068036,24843386.667003818,5 32,pass
33,2,930052.4004256292,458391082.1106392,249.2904854068036,24843386.667003818,5 28,pass
34,2,930052.4004256292,458391082.1106392,249.2904854068036,24843386.667003818,5 24,pass
35,2,930052.4004256292,458391082.1106392,249.2904854068036,24843386.667003818,5 20,pass
36,2,930052.4004256292,458391082.1106392,249.2904854068036,24843386.667003818,5 16,pass
37,3,1395078.6006384436,687586623.1659588,373.9357281102054,37265080.00050573,6 48,pass
38,3,1395078.6006384436,687586623.1659588,373.9357281102054,37265080.00050573,6 44,pass
39,3,1395078.6006384436,687586623.1659588,373.9357281102054,37265080.00050573,6 40,pass
40,3,1395078.6006384436,687586623.1659588,373.9357281102054,37265080.00050573,6 36,pass
41,3,1395078.6006384436,687586623.1659588,373.9357281102054,37265080.00050573,6 32,pass
42,3,1395078.6006384436,687586623.1659588,373.9357281102054,37265080.00050573,6 28,pass
43,3,1395078.6006384436,687586623.1659588,373.9357281102054,37265080.00050573,6 24,pass
44,3,1395078.6006384436,687586623.1659588,373.9357281102054,37265080.00050573,6 20,pass
45,3,1395078.6006384436,687586623.1659588,373.9357281102054,37265080.00050573,6 16,pass
