DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,53,77583360.0,8711090.707,410461000000000.0,3225770188.679245,4096 64,pass
1,53,77583360.0,8711090.707,25690900000000.0,201903018.8679245,1024 16,pass
2,53,77583360.0,8711090.707,32113400000000.0,252378018.8679245,1024 20,pass
3,53,77583360.0,8711090.707,38536000000000.0,302853018.8679245,1024 24,pass
4,53,77583360.0,8711090.707,44958600000000.0,353328037.7358491,1024 28,pass
5,53,77583360.0,8711090.707,51381200000000.0,403803698.1132075,1024 32,pass
6,53,77583360.0,8711090.707,57803700000000.0,454279018.8679245,1024 36,pass
7,53,77583360.0,8711090.707,64226300000000.0,504754018.8679245,1024 40,pass
8,53,77583360.0,8711090.707,70648900000000.0,555229018.8679246,1024 44,pass
9,53,77583360.0,8711090.707,77071500000000.0,605704037.735849,1024 48,pass
10,52,73159680.0,8516877.707,25690900000000.0,201903019.2307692,1024 16,pass
11,52,73159680.0,8516877.707,32113400000000.0,252378019.2307692,1024 20,pass
12,52,73159680.0,8516877.707,38536000000000.0,302853019.2307692,1024 24,pass
13,52,73159680.0,8516877.707,44958600000000.0,353328038.46153843,1024 28,pass
14,52,73159680.0,8516877.707,51381200000000.0,403803692.3076923,1024 32,pass
15,52,73159680.0,8516877.707,57803700000000.0,454279019.2307692,1024 36,pass
16,52,73159680.0,8516877.707,64226300000000.0,504754019.2307692,1024 40,pass
17,52,73159680.0,8516877.707,70648900000000.0,555229019.2307693,1024 44,pass
18,52,73159680.0,8516877.707,77071500000000.0,605704038.4615384,1024 48,pass
19,51,68736000.0,8300613.707000001,25690900000000.0,201903019.6078432,1024 16,pass
20,51,68736000.0,8300613.707000001,32113400000000.0,252378019.6078432,1024 20,pass
21,51,68736000.0,8300613.707000001,38536000000000.0,302853019.6078432,1024 24,pass
22,51,68736000.0,8300613.707000001,44958600000000.0,353328039.21568626,1024 28,pass
23,51,68736000.0,8300613.707000001,51381200000000.0,403803686.2745098,1024 32,pass
24,51,68736000.0,8300613.707000001,57803700000000.0,454279019.6078432,1024 36,pass
25,51,68736000.0,8300613.707000001,64226300000000.0,504754019.6078432,1024 40,pass
26,51,68736000.0,8300613.707000001,70648900000000.0,555229019.6078432,1024 44,pass
27,51,68736000.0,8300613.707000001,77071500000000.0,605704039.2156863,1024 48,pass
28,50,64312320.0,8010176.707,25690900000000.0,201903020.0,1024 16,pass
29,50,64312320.0,8010176.707,32113400000000.0,252378020.0,1024 20,pass
30,50,64312320.0,8010176.707,38536000000000.0,302853020.0,1024 24,pass
31,50,64312320.0,8010176.707,44958600000000.0,353328040.0,1024 28,pass
32,50,64312320.0,8010176.707,51381200000000.0,403803680.0,1024 32,pass
33,50,64312320.0,8010176.707,57803700000000.0,454279020.0,1024 36,pass
34,50,64312320.0,8010176.707,64226300000000.0,504754020.0,1024 40,pass
35,50,64312320.0,8010176.707,70648900000000.0,555229020.0,1024 44,pass
36,50,64312320.0,8010176.707,77071500000000.0,605704040.0,1024 48,pass
37,49,59888640.0,7914737.807000001,25690900000000.0,201903020.40816328,1024 16,pass
38,49,59888640.0,7914737.807000001,32113400000000.0,252378020.40816328,1024 20,pass
39,49,59888640.0,7914737.807000001,38536000000000.0,302853020.40816325,1024 24,pass
40,49,59888640.0,7914737.807000001,44958600000000.0,353328040.81632656,1024 28,pass
41,49,59888640.0,7914737.807000001,51381200000000.0,403803673.46938777,1024 32,pass
42,49,59888640.0,7914737.807000001,57803700000000.0,454279020.4081633,1024 36,pass
43,49,59888640.0,7914737.807000001,64226300000000.0,504754020.4081633,1024 40,pass
44,49,59888640.0,7914737.807000001,70648900000000.0,555229020.4081633,1024 44,pass
45,49,59888640.0,7914737.807000001,77071500000000.0,605704040.8163265,1024 48,pass
46,47,51041280.0,7627587.907000001,25690900000000.0,201903021.2765957,1024 16,pass
47,47,51041280.0,7627587.907000001,32113400000000.0,252378021.2765957,1024 20,pass
48,47,51041280.0,7627587.907000001,38536000000000.0,302853021.2765958,1024 24,pass
49,47,51041280.0,7627587.907000001,44958600000000.0,353328042.5531915,1024 28,pass
50,47,51041280.0,7627587.907000001,51381200000000.0,403803659.5744681,1024 32,pass
51,47,51041280.0,7627587.907000001,57803700000000.0,454279021.2765958,1024 36,pass
52,47,51041280.0,7627587.907000001,64226300000000.0,504754021.2765958,1024 40,pass
53,47,51041280.0,7627587.907000001,70648900000000.0,555229021.2765957,1024 44,pass
54,47,51041280.0,7627587.907000001,77071500000000.0,605704042.5531915,1024 48,pass
55,41,34106880.0,6199915.907000001,25690900000000.0,201903000.0,1024 16,pass
56,41,34106880.0,6199915.907000001,32113400000000.0,252378000.0,1024 20,pass
57,41,34106880.0,6199915.907000001,38536000000000.0,302853000.0,1024 24,pass
58,41,34106880.0,6199915.907000001,44958600000000.0,353328000.0,1024 28,pass
59,41,34106880.0,6199915.907000001,51381200000000.0,403803585.36585367,1024 32,pass
60,41,34106880.0,6199915.907000001,57803700000000.0,454279000.0,1024 36,pass
61,41,34106880.0,6199915.907000001,64226300000000.0,504754000.0,1024 40,pass
62,41,34106880.0,6199915.907000001,70648900000000.0,555229000.0,1024 44,pass
63,41,34106880.0,6199915.907000001,77071500000000.0,605704000.0,1024 48,pass
64,34,18624000.0,4680042.907000001,25690900000000.0,201903000.0,1024 16,pass
65,34,18624000.0,4680042.907000001,32113400000000.0,252378000.0,1024 20,pass
66,34,18624000.0,4680042.907000001,38536000000000.0,302853000.0,1024 24,pass
67,34,18624000.0,4680042.907000001,44958600000000.0,353328000.0,1024 28,pass
68,34,18624000.0,4680042.907000001,51381200000000.0,403803500.0,1024 32,pass
69,34,18624000.0,4680042.907000001,57803700000000.0,454279000.0,1024 36,pass
70,34,18624000.0,4680042.907000001,64226300000000.0,504754000.0,1024 40,pass
71,34,18624000.0,4680042.907000001,70648900000000.0,555229000.0,1024 44,pass
72,34,18624000.0,4680042.907000001,77071500000000.0,605704000.0,1024 48,pass
73,0,0.0,0.0,25690900000000.0,,1024 16,fail
74,0,0.0,0.0,32113400000000.0,,1024 20,fail
75,0,0.0,0.0,38536000000000.0,,1024 24,fail
76,0,0.0,0.0,44958600000000.0,,1024 28,fail
77,0,0.0,0.0,51381200000000.0,,1024 32,fail
78,0,0.0,0.0,57803700000000.0,,1024 36,fail
79,0,0.0,0.0,64226300000000.0,,1024 40,fail
80,0,0.0,0.0,70648900000000.0,,1024 44,fail
81,0,0.0,0.0,77071500000000.0,,1024 48,fail
82,0,0.0,0.0,25690900000000.0,,1024 16,fail
83,0,0.0,0.0,32113400000000.0,,1024 20,fail
84,0,0.0,0.0,38536000000000.0,,1024 24,fail
85,0,0.0,0.0,44958600000000.0,,1024 28,fail
86,0,0.0,0.0,51381200000000.0,,1024 32,fail
87,0,0.0,0.0,57803700000000.0,,1024 36,fail
88,0,0.0,0.0,64226300000000.0,,1024 40,fail
89,0,0.0,0.0,70648900000000.0,,1024 44,fail
90,0,0.0,0.0,77071500000000.0,,1024 48,fail
91,0,0.0,0.0,25690900000000.0,,1024 16,fail
92,0,0.0,0.0,32113400000000.0,,1024 20,fail
93,0,0.0,0.0,38536000000000.0,,1024 24,fail
94,0,0.0,0.0,44958600000000.0,,1024 28,fail
95,0,0.0,0.0,51381200000000.0,,1024 32,fail
96,0,0.0,0.0,57803700000000.0,,1024 36,fail
97,0,0.0,0.0,64226300000000.0,,1024 40,fail
98,0,0.0,0.0,70648900000000.0,,1024 44,fail
99,0,0.0,0.0,77071500000000.0,,1024 48,fail
100,0,0.0,0.0,25690900000000.0,,1024 16,fail
101,0,0.0,0.0,32113400000000.0,,1024 20,fail
102,0,0.0,0.0,38536000000000.0,,1024 24,fail
103,0,0.0,0.0,44958600000000.0,,1024 28,fail
104,0,0.0,0.0,51381200000000.0,,1024 32,fail
105,0,0.0,0.0,57803700000000.0,,1024 36,fail
106,0,0.0,0.0,64226300000000.0,,1024 40,fail
107,0,0.0,0.0,70648900000000.0,,1024 44,fail
108,0,0.0,0.0,77071500000000.0,,1024 48,fail
109,0,0.0,0.0,25690900000000.0,,1024 16,fail
110,0,0.0,0.0,32113400000000.0,,1024 20,fail
111,0,0.0,0.0,38536000000000.0,,1024 24,fail
112,0,0.0,0.0,44958600000000.0,,1024 28,fail
113,0,0.0,0.0,51381200000000.0,,1024 32,fail
114,0,0.0,0.0,57803700000000.0,,1024 36,fail
115,0,0.0,0.0,64226300000000.0,,1024 40,fail
116,0,0.0,0.0,70648900000000.0,,1024 44,fail
117,0,0.0,0.0,77071500000000.0,,1024 48,fail
118,0,0.0,0.0,25690900000000.0,,1024 16,fail
119,0,0.0,0.0,32113400000000.0,,1024 20,fail
120,0,0.0,0.0,38536000000000.0,,1024 24,fail
121,0,0.0,0.0,44958600000000.0,,1024 28,fail
122,0,0.0,0.0,51381200000000.0,,1024 32,fail
123,0,0.0,0.0,57803700000000.0,,1024 36,fail
124,0,0.0,0.0,64226300000000.0,,1024 40,fail
125,0,0.0,0.0,70648900000000.0,,1024 44,fail
126,0,0.0,0.0,77071500000000.0,,1024 48,fail
127,0,0.0,0.0,25690900000000.0,,1024 16,fail
128,0,0.0,0.0,32113400000000.0,,1024 20,fail
