DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,70,34993166.25,18156370.65,25690900000000.0,201903014.2857143,1024 16,pass
1,66,131965100.625,23982963.96,1214280000000.0,9543169.545454543,192 4,pass
2,66,131965100.625,23982963.96,2428530000000.0,19086074.24242424,192 8,pass
3,65,125316620.625,23558945.96,1214280000000.0,9543169.384615384,192 4,pass
4,65,125316620.625,23558945.96,2428530000000.0,19086073.846153848,192 8,pass
5,65,125316620.625,23558945.96,1214280000000.0,9543169.384615384,192 4,pass
6,65,125316620.625,23558945.96,2428530000000.0,19086073.846153848,192 8,pass
7,65,125316620.625,23558945.96,1214280000000.0,9543169.384615384,192 4,pass
8,65,125316620.625,23558945.96,2428530000000.0,19086073.846153848,192 8,pass
9,65,125316620.625,23558945.96,1214280000000.0,9543169.384615384,192 4,pass
10,65,125316620.625,23558945.96,2428530000000.0,19086073.846153848,192 8,pass
11,59,97321805.625,20171539.96,1214280000000.0,9543168.305084746,192 4,pass
12,59,97321805.625,20171539.96,2428530000000.0,19086071.18644068,192 8,pass
13,51,65711960.625,17630884.96,1214280000000.0,9543166.470588235,192 4,pass
14,51,65711960.625,17630884.96,2428530000000.0,19086066.666666668,192 8,pass
15,48,55680920.625,16989673.96,1214280000000.0,9543165.625,192 4,pass
16,48,55680920.625,16989673.96,2428530000000.0,19086064.58333333,192 8,pass
17,45,45669320.625,16187997.96,1214280000000.0,9543164.666666666,192 4,pass
18,45,45669320.625,16187997.96,2428530000000.0,19086062.222222224,192 8,pass
19,42,35696600.625,15147774.96,1214280000000.0,9543163.57142857,192 4,pass
20,42,35696600.625,15147774.96,2428530000000.0,19086059.52380952,192 8,pass
21,40,29048120.625,14454292.96,1214280000000.0,9543162.75,192 4,pass
22,40,29048120.625,14454292.96,2428530000000.0,19086057.5,192 8,pass
23,39,26739620.625,14214151.96,1214280000000.0,9543162.307692308,192 4,pass
24,39,26739620.625,14214151.96,2428530000000.0,19086056.41025641,192 8,pass
25,38,24431120.625,13974010.96,1214280000000.0,9543161.842105264,192 4,pass
26,38,24431120.625,13974010.96,2428530000000.0,19086055.263157893,192 8,pass
27,37,22125995.625,13595813.96,1214280000000.0,9543161.35135135,192 4,pass
28,37,22125995.625,13595813.96,2428530000000.0,19086054.05405405,192 8,pass
29,36,19820870.625,13262092.96,1214280000000.0,9543160.833333334,192 4,pass
30,36,19820870.625,13262092.96,2428530000000.0,19086052.777777776,192 8,pass
31,24,5416741.875,4563609.959999999,1214280000000.0,9543151.25,192 4,pass
32,24,5416741.875,4563609.959999999,2428530000000.0,19086029.166666668,192 8,pass
33,17,87751.875,99413.96,1214280000000.0,9543139.411764706,192 4,fail
34,17,87751.875,99413.96,2428530000000.0,19086000.0,192 8,fail
35,0,0.0,0.0,1214280000000.0,,192 4,fail
36,0,0.0,0.0,2428530000000.0,,192 8,fail
37,0,0.0,0.0,1214280000000.0,,192 4,fail
38,0,0.0,0.0,2428530000000.0,,192 8,fail
39,66,36469299.375,17974932.95,4419630000000.0,34733248.484848484,704 4,pass
40,66,36469299.375,17974932.95,8839010000000.0,69465248.48484848,704 8,pass
41,65,34641939.375,17824530.950000003,4419630000000.0,34733247.692307696,704 4,pass
42,65,34641939.375,17824530.950000003,8839010000000.0,69465247.6923077,704 8,pass
43,65,34641939.375,17824530.950000003,4419630000000.0,34733247.692307696,704 4,pass
44,65,34641939.375,17824530.950000003,8839010000000.0,69465247.6923077,704 8,pass
45,65,34641939.375,17824530.950000003,4419630000000.0,34733247.692307696,704 4,pass
46,65,34641939.375,17824530.950000003,8839010000000.0,69465247.6923077,704 8,pass
47,65,34641939.375,17824530.950000003,4419630000000.0,34733247.692307696,704 4,pass
48,65,34641939.375,17824530.950000003,8839010000000.0,69465247.6923077,704 8,pass
49,59,26919399.375,15755680.15,4419630000000.0,34733242.37288135,704 4,pass
50,59,26919399.375,15755680.15,8839010000000.0,69465242.37288135,704 8,pass
51,51,18163839.375,14426558.75,4419630000000.0,34733233.333333336,704 4,pass
52,51,18163839.375,14426558.75,8839010000000.0,69465233.33333333,704 8,pass
53,48,15364479.375,14195771.15,4419630000000.0,34733229.166666664,704 4,pass
54,48,15364479.375,14195771.15,8839010000000.0,69465229.16666667,704 8,pass
