latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
2498889435.4176,47890880.24,102762000000000.0,807605014.2857143,0,70,1024 64,pass
2140767341.0304,35803042.24,6459620000000.0,50766477.41935484,1,62,256 16,pass
2140767341.0304,35803042.24,8074520000000.0,63457977.41935484,2,62,256 20,pass
2140767341.0304,35803042.24,9689420000000.0,76149504.83870968,3,62,256 24,pass
2140767341.0304,35803042.24,11304300000000.0,88841006.4516129,4,62,256 28,pass
2140767341.0304,35803042.24,12919200000000.0,101532725.80645162,5,62,256 32,pass
2140767341.0304,35803042.24,14534100000000.0,114224000.0,6,62,256 36,pass
2140767341.0304,35803042.24,16149000000000.0,126916000.0,7,62,256 40,pass
2140767341.0304,35803042.24,17763900000000.0,139607000.0,8,62,256 44,pass
2140767341.0304,35803042.24,19378800000000.0,152299000.0,9,62,256 48,pass
2140767341.0304,35803042.24,20993700000000.0,164990000.0,10,62,256 52,pass
2140767341.0304,35803042.24,22608600000000.0,177682000.0,11,62,256 56,pass
2035538251.136,34334933.7,6459620000000.0,50766477.5862069,12,58,256 16,pass
2035538251.136,34334933.7,8074520000000.0,63457977.5862069,13,58,256 20,pass
2035538251.136,34334933.7,9689420000000.0,76149500.0,14,58,256 24,pass
2035538251.136,34334933.7,11304300000000.0,88841000.0,15,58,256 28,pass
2035538251.136,34334933.7,12919200000000.0,101532775.86206897,16,58,256 32,pass
2035538251.136,34334933.7,14534100000000.0,114224000.0,17,58,256 36,pass
2035538251.136,34334933.7,16149000000000.0,126916000.0,18,58,256 40,pass
2035538251.136,34334933.7,17763900000000.0,139607000.0,19,58,256 44,pass
2035538251.136,34334933.7,19378800000000.0,152299000.0,20,58,256 48,pass
2035538251.136,34334933.7,20993700000000.0,164990000.0,21,58,256 52,pass
2035538251.136,34334933.7,22608600000000.0,177682000.0,22,58,256 56,pass
1949819905.23392,32925503.94,6459620000000.0,50766472.4137931,23,58,256 16,pass
1949819905.23392,32925503.94,8074520000000.0,63457972.4137931,24,58,256 20,pass
1949819905.23392,32925503.94,9689420000000.0,76149500.0,25,58,256 24,pass
1949819905.23392,32925503.94,11304300000000.0,88841000.0,26,58,256 28,pass
1949819905.23392,32925503.94,12919200000000.0,101532724.13793103,27,58,256 32,pass
1949819905.23392,32925503.94,14534100000000.0,114224000.0,28,58,256 36,pass
1949819905.23392,32925503.94,16149000000000.0,126916000.0,29,58,256 40,pass
1949819905.23392,32925503.94,17763900000000.0,139607000.0,30,58,256 44,pass
1949819905.23392,32925503.94,19378800000000.0,152299000.0,31,58,256 48,pass
1949819905.23392,32925503.94,20993700000000.0,164990000.0,32,58,256 52,pass
1949819905.23392,32925503.94,22608600000000.0,177682000.0,33,58,256 56,pass
2106759191.35232,38020053.940000005,6459620000000.0,50766474.19354839,34,62,256 16,pass
2106759191.35232,38020053.940000005,8074520000000.0,63457974.19354839,35,62,256 20,pass
2106759191.35232,38020053.940000005,9689420000000.0,76149500.0,36,62,256 24,pass
2106759191.35232,38020053.940000005,11304300000000.0,88841000.0,37,62,256 28,pass
2106759191.35232,38020053.940000005,12919200000000.0,101532741.93548387,38,62,256 32,pass
2106759191.35232,38020053.940000005,14534100000000.0,114224000.0,39,62,256 36,pass
2106759191.35232,38020053.940000005,16149000000000.0,126916000.0,40,62,256 40,pass
2106759191.35232,38020053.940000005,17763900000000.0,139607000.0,41,62,256 44,pass
2106759191.35232,38020053.940000005,19378800000000.0,152299000.0,42,62,256 48,pass
2106759191.35232,38020053.940000005,20993700000000.0,164990000.0,43,62,256 52,pass
2106759191.35232,38020053.940000005,22608600000000.0,177682000.0,44,62,256 56,pass
1954230344.39168,33303499.700000003,6459620000000.0,50766477.5862069,45,58,256 16,pass
1954230344.39168,33303499.700000003,8074520000000.0,63457977.5862069,46,58,256 20,pass
1954230344.39168,33303499.700000003,9689420000000.0,76149500.0,47,58,256 24,pass
1954230344.39168,33303499.700000003,11304300000000.0,88841000.0,48,58,256 28,pass
1954230344.39168,33303499.700000003,12919200000000.0,101532775.86206897,49,58,256 32,pass
1954230344.39168,33303499.700000003,14534100000000.0,114224000.0,50,58,256 36,pass
1954230344.39168,33303499.700000003,16149000000000.0,126916000.0,51,58,256 40,pass
1954230344.39168,33303499.700000003,17763900000000.0,139607000.0,52,58,256 44,pass
1954230344.39168,33303499.700000003,19378800000000.0,152299000.0,53,58,256 48,pass
1954230344.39168,33303499.700000003,20993700000000.0,164990000.0,54,58,256 52,pass
1954230344.39168,33303499.700000003,22608600000000.0,177682000.0,55,58,256 56,pass
1791345545.12896,30416912.64,6459620000000.0,50766474.13793104,56,58,256 16,pass
1791345545.12896,30416912.64,8074520000000.0,63457974.13793104,57,58,256 20,pass
1791345545.12896,30416912.64,9689420000000.0,76149500.0,58,58,256 24,pass
1791345545.12896,30416912.64,11304300000000.0,88841000.0,59,58,256 28,pass
1791345545.12896,30416912.64,12919200000000.0,101532741.37931034,60,58,256 32,pass
1791345545.12896,30416912.64,14534100000000.0,114224000.0,61,58,256 36,pass
1791345545.12896,30416912.64,16149000000000.0,126916000.0,62,58,256 40,pass
1791345545.12896,30416912.64,17763900000000.0,139607000.0,63,58,256 44,pass
1791345545.12896,30416912.64,19378800000000.0,152299000.0,64,58,256 48,pass
1791345545.12896,30416912.64,20993700000000.0,164990000.0,65,58,256 52,pass
1791345545.12896,30416912.64,22608600000000.0,177682000.0,66,58,256 56,pass
1708903724.2163198,33386823.52,6459620000000.0,50766482.75862069,67,58,256 16,pass
1708903724.2163198,33386823.52,8074520000000.0,63457982.75862069,68,58,256 20,pass
1708903724.2163198,33386823.52,9689420000000.0,76149505.1724138,69,58,256 24,pass
