latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
156847691.82463998,33532421.06,102762000000000.0,807605014.2857143,0,70,1024 64,pass
164526540.02176,28728643.06,6459620000000.0,50766480.35714286,1,56,256 16,pass
164526540.02176,28728643.06,8074520000000.0,63457980.35714286,2,56,256 20,pass
164526540.02176,28728643.06,9689420000000.0,76149500.0,3,56,256 24,pass
164526540.02176,28728643.06,11304300000000.0,88841000.0,4,56,256 28,pass
164526540.02176,28728643.06,12919200000000.0,101532803.57142857,5,56,256 32,pass
164526540.02176,28728643.06,14534100000000.0,114224000.0,6,56,256 36,pass
164526540.02176,28728643.06,16149000000000.0,126916000.0,7,56,256 40,pass
164526540.02176,28728643.06,17763900000000.0,139607000.0,8,56,256 44,pass
164526540.02176,28728643.06,19378800000000.0,152299000.0,9,56,256 48,pass
164526540.02176,28728643.06,20993700000000.0,164990000.0,10,56,256 52,pass
164526540.02176,28728643.06,22608600000000.0,177682000.0,11,56,256 56,pass
141345067.75039998,23007493.98,6459620000000.0,50766477.083333336,12,48,256 16,pass
141345067.75039998,23007493.98,8074520000000.0,63457977.083333336,13,48,256 20,pass
141345067.75039998,23007493.98,9689420000000.0,76149500.0,14,48,256 24,pass
141345067.75039998,23007493.98,11304300000000.0,88841000.0,15,48,256 28,pass
141345067.75039998,23007493.98,12919200000000.0,101532770.83333331,16,48,256 32,pass
141345067.75039998,23007493.98,14534100000000.0,114224000.0,17,48,256 36,pass
141345067.75039998,23007493.98,16149000000000.0,126916000.0,18,48,256 40,pass
141345067.75039998,23007493.98,17763900000000.0,139607000.0,19,48,256 44,pass
141345067.75039998,23007493.98,19378800000000.0,152299000.0,20,48,256 48,pass
141345067.75039998,23007493.98,20993700000000.0,164990000.0,21,48,256 52,pass
141345067.75039998,23007493.98,22608600000000.0,177682000.0,22,48,256 56,pass
154824501.41184,27407284.380000003,6459620000000.0,50766476.36363637,23,55,256 16,pass
154824501.41184,27407284.380000003,8074520000000.0,63457976.36363637,24,55,256 20,pass
154824501.41184,27407284.380000003,9689420000000.0,76149500.0,25,55,256 24,pass
154824501.41184,27407284.380000003,11304300000000.0,88841000.0,26,55,256 28,pass
154824501.41184,27407284.380000003,12919200000000.0,101532763.63636364,27,55,256 32,pass
154824501.41184,27407284.380000003,14534100000000.0,114224000.0,28,55,256 36,pass
154824501.41184,27407284.380000003,16149000000000.0,126916000.0,29,55,256 40,pass
154824501.41184,27407284.380000003,17763900000000.0,139607000.0,30,55,256 44,pass
154824501.41184,27407284.380000003,19378800000000.0,152299000.0,31,55,256 48,pass
154824501.41184,27407284.380000003,20993700000000.0,164990000.0,32,55,256 52,pass
154824501.41184,27407284.380000003,22608600000000.0,177682000.0,33,55,256 56,pass
168030311.61343998,30281817.46,6459620000000.0,50766476.66666666,34,60,256 16,pass
168030311.61343998,30281817.46,8074520000000.0,63457976.66666666,35,60,256 20,pass
168030311.61343998,30281817.46,9689420000000.0,76149500.0,36,60,256 24,pass
168030311.61343998,30281817.46,11304300000000.0,88841000.0,37,60,256 28,pass
168030311.61343998,30281817.46,12919200000000.0,101532766.66666669,38,60,256 32,pass
168030311.61343998,30281817.46,14534100000000.0,114224000.0,39,60,256 36,pass
168030311.61343998,30281817.46,16149000000000.0,126916000.0,40,60,256 40,pass
168030311.61343998,30281817.46,17763900000000.0,139607000.0,41,60,256 44,pass
168030311.61343998,30281817.46,19378800000000.0,152299000.0,42,60,256 48,pass
168030311.61343998,30281817.46,20993700000000.0,164990000.0,43,60,256 52,pass
168030311.61343998,30281817.46,22608600000000.0,177682000.0,44,60,256 56,pass
155870299.55071998,27626168.98,6459620000000.0,50766480.35714286,45,56,256 16,pass
155870299.55071998,27626168.98,8074520000000.0,63457980.35714286,46,56,256 20,pass
155870299.55071998,27626168.98,9689420000000.0,76149500.0,47,56,256 24,pass
155870299.55071998,27626168.98,11304300000000.0,88841000.0,48,56,256 28,pass
155870299.55071998,27626168.98,12919200000000.0,101532803.57142857,49,56,256 32,pass
155870299.55071998,27626168.98,14534100000000.0,114224000.0,50,56,256 36,pass
155870299.55071998,27626168.98,16149000000000.0,126916000.0,51,56,256 40,pass
155870299.55071998,27626168.98,17763900000000.0,139607000.0,52,56,256 44,pass
155870299.55071998,27626168.98,19378800000000.0,152299000.0,53,56,256 48,pass
155870299.55071998,27626168.98,20993700000000.0,164990000.0,54,56,256 52,pass
155870299.55071998,27626168.98,22608600000000.0,177682000.0,55,56,256 56,pass
133205929.2416,25022588.98,6459620000000.0,50766478.43137255,56,51,256 16,pass
133205929.2416,25022588.98,8074520000000.0,63457978.43137255,57,51,256 20,pass
133205929.2416,25022588.98,9689420000000.0,76149500.0,58,51,256 24,pass
133205929.2416,25022588.98,11304300000000.0,88841000.0,59,51,256 28,pass
133205929.2416,25022588.98,12919200000000.0,101532784.31372549,60,51,256 32,pass
133205929.2416,25022588.98,14534100000000.0,114224000.0,61,51,256 36,pass
133205929.2416,25022588.98,16149000000000.0,126916000.0,62,51,256 40,pass
133205929.2416,25022588.98,17763900000000.0,139607000.0,63,51,256 44,pass
133205929.2416,25022588.98,19378800000000.0,152299000.0,64,51,256 48,pass
133205929.2416,25022588.98,20993700000000.0,164990000.0,65,51,256 52,pass
133205929.2416,25022588.98,22608600000000.0,177682000.0,66,51,256 56,pass
149676670.21823996,28023505.000000004,6459620000000.0,50766483.333333336,67,54,256 16,pass
149676670.21823996,28023505.000000004,8074520000000.0,63457983.333333336,68,54,256 20,pass
149676670.21823996,28023505.000000004,9689420000000.0,76149500.0,69,54,256 24,pass
149676670.21823996,28023505.000000004,11304300000000.0,88841000.0,70,54,256 28,pass
149676670.21823996,28023505.000000004,12919200000000.0,101532833.33333331,71,54,256 32,pass
149676670.21823996,28023505.000000004,14534100000000.0,114224000.0,72,54,256 36,pass
149676670.21823996,28023505.000000004,16149000000000.0,126916000.0,73,54,256 40,pass
149676670.21823996,28023505.000000004,17763900000000.0,139607000.0,74,54,256 44,pass
149676670.21823996,28023505.000000004,19378800000000.0,152299000.0,75,54,256 48,pass
149676670.21823996,28023505.000000004,20993700000000.0,164990000.0,76,54,256 52,pass
149676670.21823996,28023505.000000004,22608600000000.0,177682000.0,77,54,256 56,pass
116243593.57439998,22412269.0,6459620000000.0,50766480.0,78,45,256 16,pass
116243593.57439998,22412269.0,8074520000000.0,63457980.0,79,45,256 20,pass
116243593.57439998,22412269.0,9689420000000.0,76149500.0,80,45,256 24,pass
116243593.57439998,22412269.0,11304300000000.0,88841000.0,81,45,256 28,pass
116243593.57439998,22412269.0,12919200000000.0,101532800.0,82,45,256 32,pass
116243593.57439998,22412269.0,14534100000000.0,114224000.0,83,45,256 36,pass
116243593.57439998,22412269.0,16149000000000.0,126916000.0,84,45,256 40,pass
116243593.57439998,22412269.0,17763900000000.0,139607000.0,85,45,256 44,pass
116243593.57439998,22412269.0,19378800000000.0,152299000.0,86,45,256 48,pass
116243593.57439998,22412269.0,20993700000000.0,164990000.0,87,45,256 52,pass
116243593.57439998,22412269.0,22608600000000.0,177682000.0,88,45,256 56,pass
114376925.056,22660762.46,6459620000000.0,50766469.23076923,89,52,256 16,pass
114376925.056,22660762.46,8074520000000.0,63457969.23076923,90,52,256 20,pass
114376925.056,22660762.46,9689420000000.0,76149500.0,91,52,256 24,pass
114376925.056,22660762.46,11304300000000.0,88841000.0,92,52,256 28,pass
114376925.056,22660762.46,12919200000000.0,101532692.3076923,93,52,256 32,pass
114376925.056,22660762.46,14534100000000.0,114224000.0,94,52,256 36,pass
