DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,6 48,56,14,4726624242181947.0,1.070250424715197e+17,164526540,177809767,28728643,601907556,6459620000000,941388611,pass
2,256 20,6 44,56,14,4726624242181947.0,1.0766132923620434e+17,164526540,178866884,28728643,601907556,8074520000000,941388611,pass
3,256 24,6 40,56,14,4726624242181947.0,1.084248733538254e+17,164526540,180135424,28728643,601907556,9689420000000,941388611,pass
4,256 28,6 36,56,14,4726624242181947.0,1.0935809394202968e+17,164526540,181685863,28728643,601907556,11304300000000,941388611,pass
5,256 32,6 32,56,14,4726624242181947.0,1.1052461967728467e+17,164526540,183623911,28728643,601907556,12919200000000,941388611,pass
6,256 36,6 28,56,14,4726624242181947.0,1.1202443847975528e+17,164526540,186115687,28728643,601907556,14534100000000,941388611,pass
7,256 40,6 24,56,14,4726624242181947.0,1.1402419688304965e+17,164526540,189438055,28728643,601907556,16149000000000,941388611,pass
8,256 44,6 20,56,14,4726624242181947.0,1.1682385864766101e+17,164526540,194089370,28728643,601907556,17763900000000,941388611,pass
9,256 48,6 16,56,14,4726624242181947.0,1.2102335129457958e+17,164526540,201066343,28728643,601907556,19378800000000,941388611,pass
10,256 52,6 12,56,14,4726624242181947.0,1.2802250570610952e+17,164526540,212694631,28728643,601907556,20993700000000,941388611,pass
11,256 56,6 8,56,14,4726624242181947.0,1.4202081452916939e+17,164526540,235951207,28728643,601907556,22608600000000,941388611,pass
12,256 16,7 48,48,22,3251995795370019.5,2.7952708846705814e+17,141345067,304452044,23007493,918131751,6459620000000,1315339231,pass
13,256 20,7 44,48,22,3251995795370019.5,2.805479174280294e+17,141345067,305563898,23007493,918131751,8074520000000,1315339231,pass
14,256 24,7 40,48,22,3251995795370019.5,2.8177291218119402e+17,141345067,306898124,23007493,918131751,9689420000000,1315339231,pass
15,256 28,7 36,48,22,3251995795370019.5,2.832701279906188e+17,141345067,308528844,23007493,918131751,11304300000000,1315339231,pass
16,256 32,7 32,48,22,3251995795370019.5,2.8514164775239914e+17,141345067,310567244,23007493,918131751,12919200000000,1315339231,pass
17,256 36,7 28,48,22,3251995795370019.5,2.8754788744611664e+17,141345067,313188044,23007493,918131751,14534100000000,1315339231,pass
18,256 40,7 24,48,22,3251995795370019.5,2.907562070377401e+17,141345067,316682444,23007493,918131751,16149000000000,1315339231,pass
19,256 44,7 20,48,22,3251995795370019.5,2.952478544660119e+17,141345067,321574604,23007493,918131751,17763900000000,1315339231,pass
20,256 48,7 16,48,22,3251995795370019.5,3.019853256084221e+17,141345067,328912844,23007493,918131751,19378800000000,1315339231,pass
21,256 52,7 12,48,22,3251995795370019.5,3.1321444417910406e+17,141345067,341143244,23007493,918131751,20993700000000,1315339231,pass
22,256 56,7 8,48,22,3251995795370019.5,3.3567268132046803e+17,141345067,365604044,23007493,918131751,22608600000000,1315339231,pass
23,256 16,8 48,55,15,4243319139186010.5,1.296493944320183e+17,154824501,181819007,27407284,713068431,6459620000000,1604849388,pass
24,256 20,8 44,55,15,4243319139186010.5,1.3025682294264282e+17,154824501,182670858,27407284,713068431,8074520000000,1604849388,pass
25,256 24,8 40,55,15,4243319139186010.5,1.3098573715539154e+17,154824501,183693080,27407284,713068431,9689420000000,1604849388,pass
26,256 28,8 36,55,15,4243319139186010.5,1.3187663230430755e+17,154824501,184942463,27407284,713068431,11304300000000,1604849388,pass
27,256 32,8 32,55,15,4243319139186010.5,1.3299025124045218e+17,154824501,186504191,27407284,713068431,12919200000000,1604849388,pass
28,256 36,8 28,55,15,4243319139186010.5,1.3442204701549518e+17,154824501,188512127,27407284,713068431,14534100000000,1604849388,pass
29,256 40,8 24,55,15,4243319139186010.5,1.3633110804888605e+17,154824501,191189375,27407284,713068431,16149000000000,1604849388,pass
30,256 44,8 20,55,15,4243319139186010.5,1.3900379349563248e+17,154824501,194937522,27407284,713068431,17763900000000,1604849388,pass
31,256 48,8 16,55,15,4243319139186010.5,1.430128216657538e+17,154824501,200559743,27407284,713068431,19378800000000,1604849388,pass
32,256 52,8 12,55,15,4243319139186010.5,1.4969453528262154e+17,154824501,209930111,27407284,713068431,20993700000000,1604849388,pass
33,256 56,8 8,55,15,4243319139186010.5,1.63057962516357e+17,154824501,228670847,27407284,713068431,22608600000000,1604849388,pass
34,256 16,9 48,60,10,5088263224025108.0,6.1335673572302104e+16,168030311,141440621,30281817,433649632,6459620000000,2014988777,pass
35,256 20,9 44,60,10,5088263224025108.0,6.164870363862553e+16,168030311,142162471,30281817,433649632,8074520000000,2014988777,pass
