latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
523791823.9487999,47910518.16,102762000000000.0,807605014.2857143,0,70,1024 64,pass
447430009.06752,36836185.92000001,6459620000000.0,50766478.94736842,1,57,256 16,pass
447430009.06752,36836185.92000001,8074520000000.0,63457978.94736842,2,57,256 20,pass
447430009.06752,36836185.92000001,9689420000000.0,76149500.0,3,57,256 24,pass
447430009.06752,36836185.92000001,11304300000000.0,88841000.0,4,57,256 28,pass
447430009.06752,36836185.92000001,12919200000000.0,101532789.4736842,5,57,256 32,pass
447430009.06752,36836185.92000001,14534100000000.0,114224000.0,6,57,256 36,pass
447430009.06752,36836185.92000001,16149000000000.0,126916000.0,7,57,256 40,pass
447430009.06752,36836185.92000001,17763900000000.0,139607000.0,8,57,256 44,pass
447430009.06752,36836185.92000001,19378800000000.0,152299000.0,9,57,256 48,pass
447430009.06752,36836185.92000001,20993700000000.0,164990000.0,10,57,256 52,pass
447430009.06752,36836185.92000001,22608600000000.0,177682000.0,11,57,256 56,pass
427529699.47136,36470607.760000005,6459620000000.0,50766480.35714286,12,56,256 16,pass
427529699.47136,36470607.760000005,8074520000000.0,63457980.35714286,13,56,256 20,pass
427529699.47136,36470607.760000005,9689420000000.0,76149500.0,14,56,256 24,pass
427529699.47136,36470607.760000005,11304300000000.0,88841000.0,15,56,256 28,pass
427529699.47136,36470607.760000005,12919200000000.0,101532803.57142857,16,56,256 32,pass
427529699.47136,36470607.760000005,14534100000000.0,114224000.0,17,56,256 36,pass
427529699.47136,36470607.760000005,16149000000000.0,126916000.0,18,56,256 40,pass
427529699.47136,36470607.760000005,17763900000000.0,139607000.0,19,56,256 44,pass
427529699.47136,36470607.760000005,19378800000000.0,152299000.0,20,56,256 48,pass
427529699.47136,36470607.760000005,20993700000000.0,164990000.0,21,56,256 52,pass
427529699.47136,36470607.760000005,22608600000000.0,177682000.0,22,56,256 56,pass
415309397.49375993,34748655.6,6459620000000.0,50766481.13207547,23,53,256 16,pass
415309397.49375993,34748655.6,8074520000000.0,63457981.13207547,24,53,256 20,pass
415309397.49375993,34748655.6,9689420000000.0,76149500.0,25,53,256 24,pass
415309397.49375993,34748655.6,11304300000000.0,88841000.0,26,53,256 28,pass
415309397.49375993,34748655.6,12919200000000.0,101532811.32075472,27,53,256 32,pass
415309397.49375993,34748655.6,14534100000000.0,114224000.0,28,53,256 36,pass
415309397.49375993,34748655.6,16149000000000.0,126916000.0,29,53,256 40,pass
415309397.49375993,34748655.6,17763900000000.0,139607000.0,30,53,256 44,pass
415309397.49375993,34748655.6,19378800000000.0,152299000.0,31,53,256 48,pass
415309397.49375993,34748655.6,20993700000000.0,164990000.0,32,53,256 52,pass
415309397.49375993,34748655.6,22608600000000.0,177682000.0,33,53,256 56,pass
436060722.42688,41378375.84,6459620000000.0,50766480.32786885,34,61,256 16,pass
436060722.42688,41378375.84,8074520000000.0,63457980.32786885,35,61,256 20,pass
436060722.42688,41378375.84,9689420000000.0,76149500.0,36,61,256 24,pass
436060722.42688,41378375.84,11304300000000.0,88841000.0,37,61,256 28,pass
436060722.42688,41378375.84,12919200000000.0,101532803.27868852,38,61,256 32,pass
436060722.42688,41378375.84,14534100000000.0,114224000.0,39,61,256 36,pass
436060722.42688,41378375.84,16149000000000.0,126916000.0,40,61,256 40,pass
436060722.42688,41378375.84,17763900000000.0,139607000.0,41,61,256 44,pass
436060722.42688,41378375.84,19378800000000.0,152299000.0,42,61,256 48,pass
436060722.42688,41378375.84,20993700000000.0,164990000.0,43,61,256 52,pass
436060722.42688,41378375.84,22608600000000.0,177682000.0,44,61,256 56,pass
378057186.62656,36095267.16,6459620000000.0,50766475.80645161,45,62,256 16,pass
378057186.62656,36095267.16,8074520000000.0,63457975.80645161,46,62,256 20,pass
378057186.62656,36095267.16,9689420000000.0,76149500.0,47,62,256 24,pass
378057186.62656,36095267.16,11304300000000.0,88841000.0,48,62,256 28,pass
378057186.62656,36095267.16,12919200000000.0,101532758.06451613,49,62,256 32,pass
378057186.62656,36095267.16,14534100000000.0,114224000.0,50,62,256 36,pass
378057186.62656,36095267.16,16149000000000.0,126916000.0,51,62,256 40,pass
378057186.62656,36095267.16,17763900000000.0,139607000.0,52,62,256 44,pass
378057186.62656,36095267.16,19378800000000.0,152299000.0,53,62,256 48,pass
378057186.62656,36095267.16,20993700000000.0,164990000.0,54,62,256 52,pass
378057186.62656,36095267.16,22608600000000.0,177682000.0,55,62,256 56,pass
354871076.66944,35072933.6,6459620000000.0,50766481.81818182,56,55,256 16,pass
354871076.66944,35072933.6,8074520000000.0,63457981.81818182,57,55,256 20,pass
354871076.66944,35072933.6,9689420000000.0,76149500.0,58,55,256 24,pass
354871076.66944,35072933.6,11304300000000.0,88841000.0,59,55,256 28,pass
354871076.66944,35072933.6,12919200000000.0,101532818.1818182,60,55,256 32,pass
354871076.66944,35072933.6,14534100000000.0,114224000.0,61,55,256 36,pass
354871076.66944,35072933.6,16149000000000.0,126916000.0,62,55,256 40,pass
354871076.66944,35072933.6,17763900000000.0,139607000.0,63,55,256 44,pass
354871076.66944,35072933.6,19378800000000.0,152299000.0,64,55,256 48,pass
354871076.66944,35072933.6,20993700000000.0,164990000.0,65,55,256 52,pass
354871076.66944,35072933.6,22608600000000.0,177682000.0,66,55,256 56,pass
313982920.1664,29950162.680000003,6459620000000.0,50766478.84615385,67,52,256 16,pass
313982920.1664,29950162.680000003,8074520000000.0,63457978.84615385,68,52,256 20,pass
313982920.1664,29950162.680000003,9689420000000.0,76149500.0,69,52,256 24,pass
313982920.1664,29950162.680000003,11304300000000.0,88841000.0,70,52,256 28,pass
313982920.1664,29950162.680000003,12919200000000.0,101532788.46153846,71,52,256 32,pass
313982920.1664,29950162.680000003,14534100000000.0,114224000.0,72,52,256 36,pass
313982920.1664,29950162.680000003,16149000000000.0,126916000.0,73,52,256 40,pass
313982920.1664,29950162.680000003,17763900000000.0,139607000.0,74,52,256 44,pass
313982920.1664,29950162.680000003,19378800000000.0,152299000.0,75,52,256 48,pass
313982920.1664,29950162.680000003,20993700000000.0,164990000.0,76,52,256 52,pass
313982920.1664,29950162.680000003,22608600000000.0,177682000.0,77,52,256 56,pass
