Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
resnet50,L0,1024,3154176,14544.7,48,3.30016e+06,7.70715e+13,6.05706e+08,51,0.773963,51,1,51,6560,384,1,1,155952,12288,1.04093e+13,151400448,1251.64,1356.6,22.632,6.05703e+08,151400448, 2428992, 2428992, 155952, 62.3306, 151400448, 12288, 12288, 12288, 12321, 151400448, 151400448, 3125824, 788544, 1, 0, 0, 0, 0, 0, 0, 64, 64, 64, 48, 64
resnet50,L1,1024,104976,246855,1024,4.14819e+06,7.70715e+13,6.05704e+08,1088,22.4581,1088,1,1088,19616,54,1,1,200704,36864,4.3546e+11,107495424,1251.64,190.771,67.6752,6.05703e+08,107495424, 2320704, 2320704, 200704, 46.3202, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1024, 48
resnet50,L2,1024,104976,178963,1024,5.72186e+06,7.70715e+13,6.05704e+08,1088,22.4581,1088,1,1088,19616,54,1,1,200704,36864,6.00658e+11,107495424,1251.64,190.771,67.6752,6.05703e+08,107495424, 2320704, 2320704, 200704, 46.3202, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1024, 48
resnet50,L3,1024,419904,212098,1024,4.82795e+06,7.70715e+13,6.05704e+08,1088,22.454,1088,1,1088,19616,54,1,1,200704,147456,2.02728e+12,429981696,1251.64,190.771,67.6752,6.05703e+08,429981696, 9281088, 9281088, 200704, 46.3288, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 746496, 746496, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1024, 48
resnet50,L4,1024,419904,713265,1024,1.43565e+06,7.70715e+13,6.05704e+08,1088,22.454,1088,1,1088,19616,54,1,1,200704,147456,6.02836e+11,429981696,1251.64,190.771,67.6752,6.05703e+08,429981696, 9281088, 9281088, 200704, 46.3288, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 746496, 746496, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1024, 48
resnet50,L5,1024,3136,11848.8,256,2.16056e+07,7.70715e+13,6.05704e+08,512,256.082,512,1,512,1534,6,1,1,802816,256,6.77551e+10,802816,1251.64,21.1968,5.2923,6.05703e+08,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 799680, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 256, 1
resnet50,L6,1024,419904,49200.4,1024,2.08128e+07,7.70715e+13,6.05704e+08,1088,22.4705,1088,1,1088,19616,54,1,1,802816,147456,8.73939e+12,429981696,1251.64,190.771,67.6752,6.05703e+08,429981696, 9288000, 9288000, 802816, 46.2943, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 186624, 746496, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1024, 48
resnet50,L7,1024,104976,680132,1024,1.50559e+06,7.70715e+13,6.05704e+08,1088,22.4581,1088,1,1088,19616,54,1,1,200704,36864,1.58051e+11,107495424,1251.64,190.771,67.6752,6.05703e+08,107495424, 2320704, 2320704, 200704, 46.3202, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1024, 48
resnet50,L8,1024,419904,212098,1024,4.82795e+06,7.70715e+13,6.05704e+08,1088,22.454,1088,1,1088,19616,54,1,1,200704,147456,2.02728e+12,429981696,1251.64,190.771,67.6752,6.05703e+08,429981696, 9281088, 9281088, 200704, 46.3288, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 746496, 746496, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1024, 48
resnet50,L9,1024,3136,11848.8,256,2.16056e+07,7.70715e+13,6.05704e+08,512,256.082,512,1,512,1534,6,1,1,802816,256,6.77551e+10,802816,1251.64,21.1968,5.2923,6.05703e+08,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 799680, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 256, 1
