Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
resnet50,L0,3584,85248,65109.8,1776,2.7277e+07,2.69385e+14,2.11706e+09,127,121.553,127,1,127,23296,384,1,1,155952,12288,2.32531e+12,151400448,4380.72,4748.08,80.3712,2.11706e+09,151400448, 9441216, 9441216, 155952, 16.0361, 151400448, 913408, 913408, 12288, 165.753, 151400448, 151400448, 3125824, 4688640, 1, 0, 0, 0, 0, 0, 0, 64, 64, 64, 1776, 13.9843
resnet50,L1,3584,124416,327287,864,2.63989e+06,2.69385e+14,2.11706e+09,96,96,96,1,96,2988,54,1,1,200704,36864,3.28444e+11,107495424,4380.72,667.699,10.3086,2.11706e+09,107495424, 6717006, 6717006, 200704, 16.0035, 107495424, 1960128, 1960128, 36864, 54.841, 107495424, 107495424, 186624, 11943936, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 864, 12.3429
resnet50,L2,3584,124416,258779,864,3.33876e+06,2.69385e+14,2.11706e+09,96,96,96,1,96,2988,54,1,1,200704,36864,4.15395e+11,107495424,4380.72,667.699,10.3086,2.11706e+09,107495424, 6717006, 6717006, 200704, 16.0035, 107495424, 1960128, 1960128, 36864, 54.841, 107495424, 107495424, 186624, 11943936, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 864, 12.3429
resnet50,L3,3584,497664,524039,864,1.64873e+06,2.69385e+14,2.11706e+09,96,96,96,1,96,2988,54,1,1,200704,147456,8.20514e+11,429981696,4380.72,667.699,10.3086,2.11706e+09,429981696, 26866566, 26866566, 200704, 16.0043, 429981696, 7840512, 7840512, 147456, 54.841, 429981696, 429981696, 746496, 47775744, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 864, 12.3429
resnet50,L4,3584,497664,1.03253e+06,864,836778,2.69385e+14,2.11706e+09,96,96,96,1,96,2988,54,1,1,200704,147456,4.16434e+11,429981696,4380.72,667.699,10.3086,2.11706e+09,429981696, 26866566, 26866566, 200704, 16.0043, 429981696, 7840512, 7840512, 147456, 54.841, 429981696, 429981696, 746496, 47775744, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 864, 12.3429
resnet50,L5,3584,14336,11861,56,4.72135e+06,2.69385e+14,2.11706e+09,57,56.0001,57,1,57,226,6,1,1,802816,256,6.76852e+10,802816,4380.72,74.1888,0.7797,2.11706e+09,802816, 802561, 802561, 802816, 1.00032, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1
resnet50,L6,3584,497664,359087,864,2.4061e+06,2.69385e+14,2.11706e+09,96,96,96,1,96,2988,54,1,1,802816,147456,1.19743e+12,429981696,4380.72,667.699,10.3086,2.11706e+09,429981696, 26872398, 26872398, 802816, 16.0009, 429981696, 7932096, 7932096, 147456, 54.2078, 429981696, 429981696, 186624, 47775744, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 864, 12.3429
resnet50,L7,3584,124416,767309,864,1.12601e+06,2.69385e+14,2.11706e+09,96,96,96,1,96,2988,54,1,1,200704,36864,1.40094e+11,107495424,4380.72,667.699,10.3086,2.11706e+09,107495424, 6717006, 6717006, 200704, 16.0035, 107495424, 1960128, 1960128, 36864, 54.841, 107495424, 107495424, 186624, 11943936, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 864, 12.3429
resnet50,L8,3584,497664,524039,864,1.64873e+06,2.69385e+14,2.11706e+09,96,96,96,1,96,2988,54,1,1,200704,147456,8.20514e+11,429981696,4380.72,667.699,10.3086,2.11706e+09,429981696, 26866566, 26866566, 200704, 16.0043, 429981696, 7840512, 7840512, 147456, 54.841, 429981696, 429981696, 746496, 47775744, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 864, 12.3429
resnet50,L9,3584,14336,11861,56,4.72135e+06,2.69385e+14,2.11706e+09,57,56.0001,57,1,57,226,6,1,1,802816,256,6.76852e+10,802816,4380.72,74.1888,0.7797,2.11706e+09,802816, 802561, 802561, 802816, 1.00032, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1
