DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,70,691638116.25,29307912.25,102762000000000.0,807605771.4285715,1024 64,pass
1,70,692609835.0,29325287.46,6459620000000.0,50766557.14285714,256 16,pass
2,70,692609835.0,29325287.46,8074520000000.0,63458057.14285714,256 20,pass
3,70,692609835.0,29325287.46,9689420000000.0,76149580.0,256 24,pass
4,70,692609835.0,29325287.46,11304300000000.0,88841097.14285715,256 28,pass
5,70,692609835.0,29325287.46,12919200000000.0,101532771.42857143,256 32,pass
6,70,692609835.0,29325287.46,14534100000000.0,114224000.0,256 36,pass
7,70,692609835.0,29325287.46,16149000000000.0,126916000.0,256 40,pass
8,70,692609835.0,29325287.46,17763900000000.0,139607014.2857143,256 44,pass
9,70,692609835.0,29325287.46,19378800000000.0,152299000.0,256 48,pass
10,70,692609835.0,29325287.46,6459620000000.0,50766557.14285714,256 16,pass
11,70,692609835.0,29325287.46,8074520000000.0,63458057.14285714,256 20,pass
12,70,692609835.0,29325287.46,9689420000000.0,76149580.0,256 24,pass
13,70,692609835.0,29325287.46,11304300000000.0,88841097.14285715,256 28,pass
14,70,692609835.0,29325287.46,12919200000000.0,101532771.42857143,256 32,pass
15,70,692609835.0,29325287.46,14534100000000.0,114224000.0,256 36,pass
16,70,692609835.0,29325287.46,16149000000000.0,126916000.0,256 40,pass
17,70,692609835.0,29325287.46,17763900000000.0,139607014.2857143,256 44,pass
18,70,692609835.0,29325287.46,19378800000000.0,152299000.0,256 48,pass
19,70,692609835.0,29325287.46,6459620000000.0,50766557.14285714,256 16,pass
20,70,692609835.0,29325287.46,8074520000000.0,63458057.14285714,256 20,pass
21,70,692609835.0,29325287.46,9689420000000.0,76149580.0,256 24,pass
22,70,692609835.0,29325287.46,11304300000000.0,88841097.14285715,256 28,pass
23,70,692609835.0,29325287.46,12919200000000.0,101532771.42857143,256 32,pass
24,70,692609835.0,29325287.46,14534100000000.0,114224000.0,256 36,pass
25,70,692609835.0,29325287.46,16149000000000.0,126916000.0,256 40,pass
26,70,692609835.0,29325287.46,17763900000000.0,139607014.2857143,256 44,pass
27,70,692609835.0,29325287.46,19378800000000.0,152299000.0,256 48,pass
28,69,621830955.0,27781967.46,6459620000000.0,50766556.52173913,256 16,pass
29,69,621830955.0,27781967.46,8074520000000.0,63458056.52173913,256 20,pass
30,69,621830955.0,27781967.46,9689420000000.0,76149579.71014492,256 24,pass
31,69,621830955.0,27781967.46,11304300000000.0,88841097.10144928,256 28,pass
