DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,6 48,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,6459620000000,0,pass
2,256 20,6 44,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,8074520000000,0,pass
3,256 24,6 40,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,9689420000000,0,pass
4,256 28,6 36,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,11304300000000,0,pass
5,256 32,6 32,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,12919200000000,0,pass
6,256 36,6 28,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,14534100000000,0,pass
7,256 40,6 24,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,16149000000000,0,pass
8,256 44,6 20,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,17763900000000,0,pass
9,256 48,6 16,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,19378800000000,0,pass
10,256 16,7 48,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,6459620000000,0,pass
11,256 20,7 44,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,8074520000000,0,pass
12,256 24,7 40,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,9689420000000,0,pass
13,256 28,7 36,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,11304300000000,0,pass
14,256 32,7 32,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,12919200000000,0,pass
15,256 36,7 28,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,14534100000000,0,pass
16,256 40,7 24,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,16149000000000,0,pass
17,256 44,7 20,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,17763900000000,0,pass
18,256 48,7 16,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,19378800000000,0,pass
19,256 16,8 48,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,6459620000000,0,pass
20,256 20,8 44,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,8074520000000,0,pass
21,256 24,8 40,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,9689420000000,0,pass
22,256 28,8 36,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,11304300000000,0,pass
23,256 32,8 32,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,12919200000000,0,pass
24,256 36,8 28,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,14534100000000,0,pass
25,256 40,8 24,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,16149000000000,0,pass
26,256 44,8 20,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,17763900000000,0,pass
27,256 48,8 16,70,0,6119795052832492.0,0.0,173851680,0,35201241,0,19378800000000,0,pass
28,256 16,9 48,67,3,4621989411198912.0,1.231069714111513e+16,145927200,37596382,31673254,327443663,6459620000000,1942130637,pass
29,256 20,9 44,67,3,4621989411198912.0,1.231069714111513e+16,145927200,37596382,31673254,327443663,8074520000000,1942130637,pass
30,256 24,9 40,67,3,4621989411198912.0,1.231069714111513e+16,145927200,37596382,31673254,327443663,9689420000000,1942130637,pass
31,256 28,9 36,67,3,4621989411198912.0,1.231069714111513e+16,145927200,37596382,31673254,327443663,11304300000000,1942130637,pass
32,256 32,9 32,67,3,4621989411198912.0,1.231069714111513e+16,145927200,37596382,31673254,327443663,12919200000000,1942130637,pass
33,256 36,9 28,67,3,4621989411198912.0,1.231069714111513e+16,145927200,37596382,31673254,327443663,14534100000000,1942130637,pass
34,256 40,9 24,67,3,4621989411198912.0,1.231069714111513e+16,145927200,37596382,31673254,327443663,16149000000000,1942130637,pass
35,256 44,9 20,67,3,4621989411198912.0,1.231069714111513e+16,145927200,37596382,31673254,327443663,17763900000000,1942130637,pass
36,256 48,9 16,67,3,4621989411198912.0,1.231069714111513e+16,145927200,37596382,31673254,327443663,19378800000000,1942130637,pass
37,256 16,10 48,66,4,4147104974862451.5,1.678079803586917e+16,138738720,39476887,29891474,425079060,6459620000000,2388458796,pass
38,256 20,10 44,66,4,4147104974862451.5,1.678079803586917e+16,138738720,39476887,29891474,425079060,8074520000000,2388458796,pass
39,256 24,10 40,66,4,4147104974862451.5,1.678079803586917e+16,138738720,39476887,29891474,425079060,9689420000000,2388458796,pass
40,256 28,10 36,66,4,4147104974862451.5,1.678079803586917e+16,138738720,39476887,29891474,425079060,11304300000000,2388458796,pass
41,256 32,10 32,66,4,4147104974862451.5,1.678079803586917e+16,138738720,39476887,29891474,425079060,12919200000000,2388458796,pass
42,256 36,10 28,66,4,4147104974862451.5,1.678079803586917e+16,138738720,39476887,29891474,425079060,14534100000000,2388458796,pass
43,256 40,10 24,66,4,4147104974862451.5,1.678079803586917e+16,138738720,39476887,29891474,425079060,16149000000000,2388458796,pass
44,256 44,10 20,66,4,4147104974862451.5,1.678079803586917e+16,138738720,39476887,29891474,425079060,17763900000000,2388458796,pass
45,256 48,10 16,66,4,4147104974862451.5,1.678079803586917e+16,138738720,39476887,29891474,425079060,19378800000000,2388458796,pass
46,256 16,11 48,65,5,3847238053632672.0,2.1566041407928204e+16,132103200,41334751,29122973,521741161,6459620000000,2834786955,pass
47,256 20,11 44,65,5,3847238053632672.0,2.1566041407928204e+16,132103200,41334751,29122973,521741161,8074520000000,2834786955,pass
48,256 24,11 40,65,5,3847238053632672.0,2.1566041407928204e+16,132103200,41334751,29122973,521741161,9689420000000,2834786955,pass
49,256 28,11 36,65,5,3847238053632672.0,2.1566041407928204e+16,132103200,41334751,29122973,521741161,11304300000000,2834786955,pass
50,256 32,11 32,65,5,3847238053632672.0,2.1566041407928204e+16,132103200,41334751,29122973,521741161,12919200000000,2834786955,pass
51,256 36,11 28,65,5,3847238053632672.0,2.1566041407928204e+16,132103200,41334751,29122973,521741161,14534100000000,2834786955,pass
52,256 40,11 24,65,5,3847238053632672.0,2.1566041407928204e+16,132103200,41334751,29122973,521741161,16149000000000,2834786955,pass
53,256 44,11 20,65,5,3847238053632672.0,2.1566041407928204e+16,132103200,41334751,29122973,521741161,17763900000000,2834786955,pass
54,256 48,11 16,65,5,3847238053632672.0,2.1566041407928204e+16,132103200,41334751,29122973,521741161,19378800000000,2834786955,pass
55,256 16,12 48,65,5,3847238053632672.0,2.1566041407928204e+16,132103200,41334751,29122973,521741161,6459620000000,2834786955,pass
