Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
resnet50,L0,1024,1363968,182413,111,608510,7.70715e+13,6.05706e+08,112,27.691,112,1,112,14776,384,1,1,155952,12288,8.29988e+11,151400448,1251.64,1356.6,50.9772,6.05703e+08,151400448, 37747648, 37747648, 155952, 4.01086, 151400448, 12288, 12288, 12288, 12321, 151400448, 151400448, 3125824, 4688640, 1, 0, 0, 0, 0, 0, 0, 64, 64, 64, 111, 4
resnet50,L1,1024,258048,433461,324,747472,7.70715e+13,6.05704e+08,145,130.528,145,1,145,3258,54,1,1,200704,36864,1.92884e+11,83607552,1251.64,190.771,11.2401,6.05703e+08,83607552, 33625872, 33625872, 200704, 2.48641, 83607552, 36864, 36864, 36864, 2268, 83607552, 83607552, 186624, 9289728, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
resnet50,L2,1024,258048,327097,324,990531,7.70715e+13,6.05704e+08,145,130.528,145,1,145,3258,54,1,1,200704,36864,2.55604e+11,83607552,1251.64,190.771,11.2401,6.05703e+08,83607552, 33625872, 33625872, 200704, 2.48641, 83607552, 36864, 36864, 36864, 2268, 83607552, 83607552, 186624, 9289728, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
resnet50,L3,1024,1032192,879102,324,368558,7.70715e+13,6.05704e+08,145,130.526,145,1,145,3258,54,1,1,200704,147456,3.80422e+11,334430208,1251.64,190.771,11.2401,6.05703e+08,334430208, 134499600, 134499600, 200704, 2.48648, 334430208, 147456, 147456, 147456, 2268, 334430208, 334430208, 746496, 37158912, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
resnet50,L4,1024,1032192,1.30579e+06,324,248125,7.70715e+13,6.05704e+08,145,130.526,145,1,145,3258,54,1,1,200704,147456,2.56112e+11,334430208,1251.64,190.771,11.2401,6.05703e+08,334430208, 134499600, 134499600, 200704, 2.48648, 334430208, 147456, 147456, 147456, 2268, 334430208, 334430208, 746496, 37158912, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
resnet50,L5,1024,14336,11861,56,4.72135e+06,7.70715e+13,6.05704e+08,57,56.0001,57,1,57,226,6,1,1,802816,256,6.76852e+10,802816,1251.64,21.1968,0.7797,6.05703e+08,802816, 802561, 802561, 802816, 1.00032, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1
resnet50,L6,1024,1032192,741361,324,437034,7.70715e+13,6.05704e+08,145,130.549,145,1,145,3258,54,1,1,802816,147456,4.51103e+11,334430208,1251.64,190.771,11.2401,6.05703e+08,334430208, 134584080, 134584080, 802816, 2.48492, 334430208, 147456, 147456, 147456, 2268, 334430208, 334430208, 186624, 37158912, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
resnet50,L7,1024,258048,753822,324,429810,7.70715e+13,6.05704e+08,145,130.528,145,1,145,3258,54,1,1,200704,36864,1.10912e+11,83607552,1251.64,190.771,11.2401,6.05703e+08,83607552, 33625872, 33625872, 200704, 2.48641, 83607552, 36864, 36864, 36864, 2268, 83607552, 83607552, 186624, 9289728, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
resnet50,L8,1024,1032192,879102,324,368558,7.70715e+13,6.05704e+08,145,130.526,145,1,145,3258,54,1,1,200704,147456,3.80422e+11,334430208,1251.64,190.771,11.2401,6.05703e+08,334430208, 134499600, 134499600, 200704, 2.48648, 334430208, 147456, 147456, 147456, 2268, 334430208, 334430208, 746496, 37158912, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
resnet50,L9,1024,14336,11861,56,4.72135e+06,7.70715e+13,6.05704e+08,57,56.0001,57,1,57,226,6,1,1,802816,256,6.76852e+10,802816,1251.64,21.1968,0.7797,6.05703e+08,802816, 802561, 802561, 802816, 1.00032, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1
resnet50,L10,1024,1032192,741361,324,437034,7.70715e+13,6.05704e+08,145,130.549,145,1,145,3258,54,1,1,802816,147456,4.51103e+11,334430208,1251.64,190.771,11.2401,6.05703e+08,334430208, 134584080, 134584080, 802816, 2.48492, 334430208, 147456, 147456, 147456, 2268, 334430208, 334430208, 186624, 37158912, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
resnet50,L11,1024,258048,753822,324,429810,7.70715e+13,6.05704e+08,145,130.528,145,1,145,3258,54,1,1,200704,36864,1.10912e+11,83607552,1251.64,190.771,11.2401,6.05703e+08,83607552, 33625872, 33625872, 200704, 2.48641, 83607552, 36864, 36864, 36864, 2268, 83607552, 83607552, 186624, 9289728, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
resnet50,L12,1024,1032192,879102,324,368558,7.70715e+13,6.05704e+08,145,130.526,145,1,145,3258,54,1,1,200704,147456,3.80422e+11,334430208,1251.64,190.771,11.2401,6.05703e+08,334430208, 134499600, 134499600, 200704, 2.48648, 334430208, 147456, 147456, 147456, 2268, 334430208, 334430208, 746496, 37158912, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
resnet50,L13,1024,14336,11861,56,4.72135e+06,7.70715e+13,6.05704e+08,57,56.0001,57,1,57,226,6,1,1,802816,256,6.76852e+10,802816,1251.64,21.1968,0.7797,6.05703e+08,802816, 802561, 802561, 802816, 1.00032, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1
resnet50,L14,1024,2064384,1.47773e+06,324,219255,7.70715e+13,6.05704e+08,145,130.548,145,1,145,3258,54,1,1,802816,294912,4.52627e+11,668860416,1251.64,190.771,11.2401,6.05703e+08,668860416, 269166864, 269166864, 802816, 2.48493, 668860416, 294912, 294912, 294912, 2268, 668860416, 668860416, 373248, 74317824, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
resnet50,L15,1024,1327104,1.61482e+06,135,83600.8,7.70715e+13,6.05704e+08,65,54.1229,65,1,65,1710,54,1,1,401408,147456,1.10947e+11,179159040,1251.64,190.771,5.8995,6.05703e+08,179159040, 71646789, 71646789, 401408, 2.50059, 179159040, 147456, 147456, 147456, 1215, 179159040, 179159040, 373248, 39075840, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 84, 2.43976
resnet50,L16,1024,2359296,1.04124e+06,130,124851,7.70715e+13,6.05704e+08,70,58.2352,70,1,70,1578,54,1,1,100352,589824,2.94562e+11,306708480,1251.64,190.771,5.4441,6.05703e+08,306708480, 136729200, 136729200, 100352, 2.24318, 306708480, 589824, 589824, 589824, 520, 306708480, 306708480, 346112, 34078720, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
resnet50,L17,1024,5898240,1.50822e+06,57.2,37925.6,7.70715e+13,6.05704e+08,32,26.4153,32,1,32,842,54,1,1,200704,1179648,2.23694e+11,337379328,1251.64,190.771,2.9049,6.05703e+08,337379328, 154564895, 154564895, 200704, 2.18277, 337379328, 1179648, 1179648, 1179648, 286, 337379328, 337379328, 346112, 72089600, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 42, 0.95122
resnet50,L18,1024,7168,2966.08,28,9.44007e+06,7.70715e+13,6.05704e+08,29,28.0001,29,1,29,114,6,1,1,200704,256,6.76664e+10,200704,1251.64,21.1968,0.3933,6.05703e+08,200704, 200449, 200449, 200704, 1.00127, 200704, 256, 256, 256, 784, 200704, 200704, 200704, 200704, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 28, 1
resnet50,L19,1024,2359296,738619,130,176004,7.70715e+13,6.05704e+08,70,58.2464,70,1,70,1578,54,1,1,401408,589824,4.15246e+11,306708480,1251.64,190.771,5.4441,6.05703e+08,306708480, 136812144, 136812144, 401408, 2.24182, 306708480, 589824, 589824, 589824, 520, 306708480, 306708480, 86528, 34078720, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
resnet50,L20,1024,589824,711612,130,182684,7.70715e+13,6.05704e+08,70,58.2358,70,1,70,1578,54,1,1,100352,147456,1.07751e+11,76677120,1251.64,190.771,5.4441,6.05703e+08,76677120, 34182768, 34182768, 100352, 2.24315, 76677120, 147456, 147456, 147456, 520, 76677120, 76677120, 86528, 8519680, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
resnet50,L21,1024,2359296,868365,130,149707,7.70715e+13,6.05704e+08,70,58.2352,70,1,70,1578,54,1,1,100352,589824,3.53202e+11,306708480,1251.64,190.771,5.4441,6.05703e+08,306708480, 136729200, 136729200, 100352, 2.24318, 306708480, 589824, 589824, 589824, 520, 306708480, 306708480, 346112, 34078720, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
resnet50,L22,1024,14336,5932.16,28,4.72004e+06,7.70715e+13,6.05704e+08,29,28.0001,29,1,29,114,6,1,1,401408,512,6.76665e+10,401408,1251.64,21.1968,0.3933,6.05703e+08,401408, 400897, 400897, 401408, 1.00127, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 28, 1
resnet50,L23,1024,2359296,739007,130,175912,7.70715e+13,6.05704e+08,70,58.2464,70,1,70,1578,54,1,1,401408,589824,4.15028e+11,306708480,1251.64,190.771,5.4441,6.05703e+08,306708480, 136812144, 136812144, 401408, 2.24182, 306708480, 589824, 589824, 589824, 520, 306708480, 306708480, 86528, 34078720, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
resnet50,L24,1024,589824,711612,130,182684,7.70715e+13,6.05704e+08,70,58.2358,70,1,70,1578,54,1,1,100352,147456,1.07751e+11,76677120,1251.64,190.771,5.4441,6.05703e+08,76677120, 34182768, 34182768, 100352, 2.24315, 76677120, 147456, 147456, 147456, 520, 76677120, 76677120, 86528, 8519680, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
resnet50,L25,1024,2359296,868365,130,149707,7.70715e+13,6.05704e+08,70,58.2352,70,1,70,1578,54,1,1,100352,589824,3.53202e+11,306708480,1251.64,190.771,5.4441,6.05703e+08,306708480, 136729200, 136729200, 100352, 2.24318, 306708480, 589824, 589824, 589824, 520, 306708480, 306708480, 346112, 34078720, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
resnet50,L26,1024,14336,5932.16,28,4.72004e+06,7.70715e+13,6.05704e+08,29,28.0001,29,1,29,114,6,1,1,401408,512,6.76665e+10,401408,1251.64,21.1968,0.3933,6.05703e+08,401408, 400897, 400897, 401408, 1.00127, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 28, 1
resnet50,L27,1024,2359296,739007,130,175912,7.70715e+13,6.05704e+08,70,58.2464,70,1,70,1578,54,1,1,401408,589824,4.15028e+11,306708480,1251.64,190.771,5.4441,6.05703e+08,306708480, 136812144, 136812144, 401408, 2.24182, 306708480, 589824, 589824, 589824, 520, 306708480, 306708480, 86528, 34078720, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
resnet50,L28,1024,589824,711612,130,182684,7.70715e+13,6.05704e+08,70,58.2358,70,1,70,1578,54,1,1,100352,147456,1.07751e+11,76677120,1251.64,190.771,5.4441,6.05703e+08,76677120, 34182768, 34182768, 100352, 2.24315, 76677120, 147456, 147456, 147456, 520, 76677120, 76677120, 86528, 8519680, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
resnet50,L29,1024,2359296,868365,130,149707,7.70715e+13,6.05704e+08,70,58.2352,70,1,70,1578,54,1,1,100352,589824,3.53202e+11,306708480,1251.64,190.771,5.4441,6.05703e+08,306708480, 136729200, 136729200, 100352, 2.24318, 306708480, 589824, 589824, 589824, 520, 306708480, 306708480, 346112, 34078720, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
resnet50,L30,1024,14336,5932.16,28,4.72004e+06,7.70715e+13,6.05704e+08,29,28.0001,29,1,29,114,6,1,1,401408,512,6.76665e+10,401408,1251.64,21.1968,0.3933,6.05703e+08,401408, 400897, 400897, 401408, 1.00127, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 28, 1
resnet50,L31,1024,4718592,1.47552e+06,130,88104.7,7.70715e+13,6.05704e+08,70,58.2464,70,1,70,1578,54,1,1,401408,1179648,4.1573e+11,613416960,1251.64,190.771,5.4441,6.05703e+08,613416960, 273623664, 273623664, 401408, 2.24183, 613416960, 1179648, 1179648, 1179648, 520, 613416960, 613416960, 173056, 68157440, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
resnet50,L32,1024,2949120,1.54526e+06,57.2,37016.3,7.70715e+13,6.05704e+08,32,26.4153,32,1,32,842,54,1,1,200704,589824,1.09166e+11,168689664,1251.64,190.771,2.9049,6.05703e+08,168689664, 77282591, 77282591, 200704, 2.18276, 168689664, 589824, 589824, 589824, 286, 168689664, 168689664, 173056, 36044800, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 42, 0.95122
resnet50,L33,1024,4718592,885266,60,67776.2,7.70715e+13,6.05704e+08,33,22.2689,33,1,33,738,54,1,1,50176,2359296,3.19808e+11,283115520,1251.64,190.771,2.5461,6.05703e+08,283115520, 102654240, 102654240, 50176, 2.75795, 283115520, 2359296, 2359296, 2359296, 120, 283115520, 283115520, 147456, 31457280, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 72, 1.5
resnet50,L34,1024,23592960,4.40173e+06,57.2,12994.9,7.70715e+13,6.05704e+08,32,26.4188,32,1,32,842,54,1,1,401408,4718592,3.06588e+11,1349517312,1251.64,190.771,2.9049,6.05703e+08,1349517312, 618459423, 618459423, 401408, 2.18206, 1349517312, 4718592, 4718592, 4718592, 286, 1349517312, 1349517312, 692224, 288358400, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 42, 0.95122
resnet50,L35,1024,14336,2969.37,14,4.71481e+06,7.70715e+13,6.05704e+08,15,14.0001,15,1,15,58,6,1,1,200704,1024,6.75915e+10,200704,1251.64,21.1968,0.2001,6.05703e+08,200704, 199681, 199681, 200704, 1.00512, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 14, 1
