DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA area,restraint
1,1024 16,2 48,68,2,496411661640416.06,8001499016544008.0,25690900000000.0,pass
2,1024 20,2 44,68,2,496411661640416.06,8002860751706978.0,32113400000000.0,pass
3,1024 24,2 40,68,2,496411661640416.06,8004494833902553.0,38536000000000.0,pass
4,1024 28,2 36,68,2,496411661640416.06,8006492045474911.0,44958600000000.0,pass
5,1024 32,2 32,68,2,496411661640416.06,8008988559940363.0,51381200000000.0,pass
6,1024 36,2 28,68,2,496411661640416.06,8012198364253083.0,57803700000000.0,pass
7,1024 40,2 24,68,2,496411661640416.06,8016478103336719.0,64226300000000.0,pass
8,1024 44,2 20,68,2,496411661640416.06,8022469738053808.0,70648900000000.0,pass
9,1024 48,2 16,68,2,496411661640416.06,8031457190129430.0,77071500000000.0,pass
10,1024 16,3 48,67,3,467582279003653.7,1.6061511756814164e+16,25690900000000.0,pass
11,1024 20,3 44,67,3,467582279003653.7,1.6063945465012058e+16,32113400000000.0,pass
12,1024 24,3 40,67,3,467582279003653.7,1.6066865914849552e+16,38536000000000.0,pass
13,1024 28,3 36,67,3,467582279003653.7,1.6070435353539798e+16,44958600000000.0,pass
14,1024 32,3 32,67,3,467582279003653.7,1.6074897151902616e+16,51381200000000.0,pass
15,1024 36,3 28,67,3,467582279003653.7,1.608063374979766e+16,57803700000000.0,pass
16,1024 40,3 24,67,3,467582279003653.7,1.6088282546991068e+16,64226300000000.0,pass
17,1024 44,3 20,67,3,467582279003653.7,1.6098990863061838e+16,70648900000000.0,pass
18,1024 48,3 16,67,3,467582279003653.7,1.6115053337167972e+16,77071500000000.0,pass
19,1024 16,4 48,67,3,467582279003653.7,1.6061511756814164e+16,25690900000000.0,pass
20,1024 20,4 44,67,3,467582279003653.7,1.6063945465012058e+16,32113400000000.0,pass
21,1024 24,4 40,67,3,467582279003653.7,1.6066865914849552e+16,38536000000000.0,pass
22,1024 28,4 36,67,3,467582279003653.7,1.6070435353539798e+16,44958600000000.0,pass
23,1024 32,4 32,67,3,467582279003653.7,1.6074897151902616e+16,51381200000000.0,pass
24,1024 36,4 28,67,3,467582279003653.7,1.608063374979766e+16,57803700000000.0,pass
25,1024 40,4 24,67,3,467582279003653.7,1.6088282546991068e+16,64226300000000.0,pass
26,1024 44,4 20,67,3,467582279003653.7,1.6098990863061838e+16,70648900000000.0,pass
27,1024 48,4 16,67,3,467582279003653.7,1.6115053337167972e+16,77071500000000.0,pass
28,1024 16,5 48,66,4,423549894359009.44,2.330422691087529e+16,25690900000000.0,pass
29,1024 20,5 44,66,4,423549894359009.44,2.3307662677774324e+16,32113400000000.0,pass
30,1024 24,5 40,66,4,423549894359009.44,2.331178559805319e+16,38536000000000.0,pass
31,1024 28,5 36,66,4,423549894359009.44,2.3316824722838444e+16,44958600000000.0,pass
32,1024 32,5 32,66,4,423549894359009.44,2.3323123628820024e+16,51381200000000.0,pass
33,1024 36,5 28,66,4,423549894359009.44,2.33312222222249e+16,57803700000000.0,pass
34,1024 40,5 24,66,4,423549894359009.44,2.334202034676476e+16,64226300000000.0,pass
35,1024 44,5 20,66,4,423549894359009.44,2.335713772112056e+16,70648900000000.0,pass
36,1024 48,5 16,66,4,423549894359009.44,2.3379813782654228e+16,77071500000000.0,pass
