DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,70,691637840.625,29307906.58000001,410461000000000.0,3225770142.857143,4096 64,pass
1,70,691638116.25,29307912.25,25690900000000.0,201903014.2857143,1024 16,pass
2,70,691638116.25,29307912.25,32113400000000.0,252378028.57142857,1024 20,pass
3,70,691638116.25,29307912.25,38536000000000.0,302853771.4285714,1024 24,pass
4,70,691638116.25,29307912.25,44958600000000.0,353328771.4285714,1024 28,pass
5,70,691638116.25,29307912.25,51381200000000.0,403803785.7142857,1024 32,pass
6,70,691638116.25,29307912.25,57803700000000.0,454279014.2857143,1024 36,pass
7,70,691638116.25,29307912.25,64226300000000.0,504754028.5714286,1024 40,pass
8,70,691638116.25,29307912.25,70648900000000.0,555229771.4285715,1024 44,pass
9,70,691638116.25,29307912.25,77071500000000.0,605704771.4285715,1024 48,pass
10,70,691638116.25,29307912.25,25690900000000.0,201903014.2857143,1024 16,pass
11,70,691638116.25,29307912.25,32113400000000.0,252378028.57142857,1024 20,pass
12,70,691638116.25,29307912.25,38536000000000.0,302853771.4285714,1024 24,pass
13,70,691638116.25,29307912.25,44958600000000.0,353328771.4285714,1024 28,pass
14,70,691638116.25,29307912.25,51381200000000.0,403803785.7142857,1024 32,pass
15,70,691638116.25,29307912.25,57803700000000.0,454279014.2857143,1024 36,pass
16,70,691638116.25,29307912.25,64226300000000.0,504754028.5714286,1024 40,pass
17,70,691638116.25,29307912.25,70648900000000.0,555229771.4285715,1024 44,pass
18,70,691638116.25,29307912.25,77071500000000.0,605704771.4285715,1024 48,pass
19,70,691638116.25,29307912.25,25690900000000.0,201903014.2857143,1024 16,pass
20,70,691638116.25,29307912.25,32113400000000.0,252378028.57142857,1024 20,pass
21,70,691638116.25,29307912.25,38536000000000.0,302853771.4285714,1024 24,pass
22,70,691638116.25,29307912.25,44958600000000.0,353328771.4285714,1024 28,pass
23,70,691638116.25,29307912.25,51381200000000.0,403803785.7142857,1024 32,pass
24,70,691638116.25,29307912.25,57803700000000.0,454279014.2857143,1024 36,pass
25,70,691638116.25,29307912.25,64226300000000.0,504754028.5714286,1024 40,pass
26,70,691638116.25,29307912.25,70648900000000.0,555229771.4285715,1024 44,pass
27,70,691638116.25,29307912.25,77071500000000.0,605704771.4285715,1024 48,pass
28,70,691638116.25,29307912.25,25690900000000.0,201903014.2857143,1024 16,pass
29,70,691638116.25,29307912.25,32113400000000.0,252378028.57142857,1024 20,pass
30,70,691638116.25,29307912.25,38536000000000.0,302853771.4285714,1024 24,pass
