DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,70,436181330.2720314,11954356904.516932,6455.164787457324,2453594176.1278768,34 64,pass
1,0,0.0,0.0,0.0,0.0,2 48,pass
2,0,0.0,0.0,0.0,0.0,2 44,pass
3,0,0.0,0.0,0.0,0.0,2 40,pass
4,0,0.0,0.0,0.0,0.0,2 36,pass
5,0,0.0,0.0,0.0,0.0,2 32,pass
6,0,0.0,0.0,0.0,0.0,2 28,pass
7,0,0.0,0.0,0.0,0.0,2 24,pass
8,0,0.0,0.0,0.0,0.0,2 20,pass
9,0,0.0,0.0,0.0,0.0,2 16,pass
10,0,0.0,0.0,0.0,0.0,3 48,pass
11,0,0.0,0.0,0.0,0.0,3 44,pass
12,0,0.0,0.0,0.0,0.0,3 40,pass
13,0,0.0,0.0,0.0,0.0,3 36,pass
14,0,0.0,0.0,0.0,0.0,3 32,pass
15,0,0.0,0.0,0.0,0.0,3 28,pass
16,0,0.0,0.0,0.0,0.0,3 24,pass
17,0,0.0,0.0,0.0,0.0,3 20,pass
18,0,0.0,0.0,0.0,0.0,3 16,pass
19,0,0.0,0.0,0.0,0.0,4 48,pass
20,0,0.0,0.0,0.0,0.0,4 44,pass
21,0,0.0,0.0,0.0,0.0,4 40,pass
22,0,0.0,0.0,0.0,0.0,4 36,pass
23,0,0.0,0.0,0.0,0.0,4 32,pass
24,0,0.0,0.0,0.0,0.0,4 28,pass
25,0,0.0,0.0,0.0,0.0,4 24,pass
26,0,0.0,0.0,0.0,0.0,4 20,pass
27,0,0.0,0.0,0.0,0.0,4 16,pass
28,0,0.0,0.0,0.0,0.0,5 48,pass
29,0,0.0,0.0,0.0,0.0,5 44,pass
30,0,0.0,0.0,0.0,0.0,5 40,pass
31,0,0.0,0.0,0.0,0.0,5 36,pass
32,0,0.0,0.0,0.0,0.0,5 32,pass
33,0,0.0,0.0,0.0,0.0,5 28,pass
34,0,0.0,0.0,0.0,0.0,5 24,pass
35,0,0.0,0.0,0.0,0.0,5 20,pass
36,0,0.0,0.0,0.0,0.0,5 16,pass
37,0,0.0,0.0,0.0,0.0,6 48,pass
38,0,0.0,0.0,0.0,0.0,6 44,pass
39,0,0.0,0.0,0.0,0.0,6 40,pass
40,0,0.0,0.0,0.0,0.0,6 36,pass
41,0,0.0,0.0,0.0,0.0,6 32,pass
42,0,0.0,0.0,0.0,0.0,6 28,pass
43,0,0.0,0.0,0.0,0.0,6 24,pass
44,0,0.0,0.0,0.0,0.0,6 20,pass
45,0,0.0,0.0,0.0,0.0,6 16,pass
46,0,0.0,0.0,0.0,0.0,7 48,pass
47,0,0.0,0.0,0.0,0.0,7 44,pass
48,0,0.0,0.0,0.0,0.0,7 40,pass
49,0,0.0,0.0,0.0,0.0,7 36,pass
50,0,0.0,0.0,0.0,0.0,7 32,pass
51,0,0.0,0.0,0.0,0.0,7 28,pass
52,0,0.0,0.0,0.0,0.0,7 24,pass
53,0,0.0,0.0,0.0,0.0,7 20,pass
54,0,0.0,0.0,0.0,0.0,7 16,pass
55,0,0.0,0.0,0.0,0.0,8 48,pass
56,0,0.0,0.0,0.0,0.0,8 44,pass
57,0,0.0,0.0,0.0,0.0,8 40,pass
58,0,0.0,0.0,0.0,0.0,8 36,pass
59,0,0.0,0.0,0.0,0.0,8 32,pass
60,0,0.0,0.0,0.0,0.0,8 28,pass
61,0,0.0,0.0,0.0,0.0,8 24,pass
62,0,0.0,0.0,0.0,0.0,8 20,pass
63,0,0.0,0.0,0.0,0.0,8 16,pass
64,1,470446.20021281455,1785312635.588805,970.9208379001824,97690444.02683656,9 48,pass
