Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
resnet50,L0,3584,1577088,9346.74,96,1.0271e+07,2.69385e+14,2.11706e+09,171,0.839826,171,1,171,22000,384,1,1,155952,12288,1.61982e+13,151400448,4380.72,4748.08,75.9,2.11706e+09,151400448, 1214592, 1214592, 155952, 124.651, 151400448, 12288, 12288, 12288, 12321, 151400448, 151400448, 3125824, 788544, 1, 0, 0, 0, 0, 0, 0, 64, 64, 64, 96, 224
resnet50,L1,3584,52488,241420,2048,8.48314e+06,2.69385e+14,2.11706e+09,3648,22.8145,3648,1,3648,65776,54,1,1,200704,36864,4.45263e+11,107495424,4380.72,667.699,226.927,2.11706e+09,107495424, 1160640, 1160640, 200704, 92.6174, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 2048, 168
resnet50,L2,3584,52488,173549,2048,1.18007e+07,2.69385e+14,2.11706e+09,3648,22.8145,3648,1,3648,65776,54,1,1,200704,36864,6.19395e+11,107495424,4380.72,667.699,226.927,2.11706e+09,107495424, 1160640, 1160640, 200704, 92.6174, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 2048, 168
resnet50,L3,3584,131220,184340,3276.8,1.77758e+07,2.69385e+14,2.11706e+09,3648,23.2295,3648,1,3648,65776,54,1,1,200704,147456,2.33254e+12,429981696,4380.72,667.699,226.927,2.11706e+09,429981696, 2900736, 2900736, 200704, 148.232, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 746496, 746496, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 3276.8, 168
resnet50,L4,3584,131220,683490,3276.8,4.79422e+06,2.69385e+14,2.11706e+09,3648,23.2295,3648,1,3648,65776,54,1,1,200704,147456,6.29097e+11,429981696,4380.72,667.699,226.927,2.11706e+09,429981696, 2900736, 2900736, 200704, 148.232, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 746496, 746496, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 3276.8, 168
resnet50,L5,3584,3136,11848.8,256,2.16056e+07,2.69385e+14,2.11706e+09,512,256.082,512,1,512,1534,6,1,1,802816,256,6.77551e+10,802816,4380.72,74.1888,5.2923,2.11706e+09,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 799680, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 256, 1
resnet50,L6,3584,209952,29323.9,2048,6.98406e+07,2.69385e+14,2.11706e+09,3648,22.823,3648,1,3648,65776,54,1,1,802816,147456,1.46632e+13,429981696,4380.72,667.699,226.927,2.11706e+09,429981696, 4644288, 4644288, 802816, 92.5829, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 186624, 746496, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 2048, 168
resnet50,L7,3584,52488,673373,2048,3.04141e+06,2.69385e+14,2.11706e+09,3648,22.8145,3648,1,3648,65776,54,1,1,200704,36864,1.59637e+11,107495424,4380.72,667.699,226.927,2.11706e+09,107495424, 1160640, 1160640, 200704, 92.6174, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 2048, 168
resnet50,L8,3584,131220,184340,3276.8,1.77758e+07,2.69385e+14,2.11706e+09,3648,23.2295,3648,1,3648,65776,54,1,1,200704,147456,2.33254e+12,429981696,4380.72,667.699,226.927,2.11706e+09,429981696, 2900736, 2900736, 200704, 148.232, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 746496, 746496, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 3276.8, 168
resnet50,L9,3584,3136,11848.8,256,2.16056e+07,2.69385e+14,2.11706e+09,512,256.082,512,1,512,1534,6,1,1,802816,256,6.77551e+10,802816,4380.72,74.1888,5.2923,2.11706e+09,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 799680, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 256, 1
