Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
resnet50,L0,3584,170496,36270.6,888,2.44827e+07,2.69385e+14,2.11707e+09,63,35.8386,63,1,63,23296,528,1,1,155952,12288,4.17419e+12,151400448,4380.72,6528.61,80.3712,2.11706e+09,151400448, 2365632, 2365632, 155952, 64, 151400448, 1251328, 1251328, 12288, 120.992, 151400448, 151400448, 3125824, 4688640, 1, 0, 0, 0, 0, 0, 0, 128, 128, 128, 888, 111
resnet50,L1,3584,663552,303220,162,534266,2.69385e+14,2.11706e+09,18,18,18,1,18,2988,198,1,1,200704,36864,3.54513e+11,107495424,4380.72,2448.23,10.3086,2.11706e+09,107495424, 1679616, 1679616, 200704, 64, 107495424, 1983024, 1983024, 36864, 54.2078, 107495424, 107495424, 186624, 11943936, 1, 0, 0, 0, 0, 0, 0, 48, 48, 48, 162, 54
resnet50,L2,3584,663552,235378,162,688255,2.69385e+14,2.11706e+09,18,18,18,1,18,2988,198,1,1,200704,36864,4.56693e+11,107495424,4380.72,2448.23,10.3086,2.11706e+09,107495424, 1679616, 1679616, 200704, 64, 107495424, 1983024, 1983024, 36864, 54.2078, 107495424, 107495424, 186624, 11943936, 1, 0, 0, 0, 0, 0, 0, 48, 48, 48, 162, 54
resnet50,L3,3584,2654208,414784,162,390565,2.69385e+14,2.11706e+09,18,18,18,1,18,2988,198,1,1,200704,147456,1.03664e+12,429981696,4380.72,2448.23,10.3086,2.11706e+09,429981696, 1679616, 1679616, 200704, 256, 429981696, 7954992, 7954992, 147456, 54.0518, 429981696, 429981696, 746496, 47775744, 1, 0, 0, 0, 0, 0, 0, 48, 48, 48, 162, 54
resnet50,L4,3584,2654208,915526,162,176947,2.69385e+14,2.11706e+09,18,18,18,1,18,2988,198,1,1,200704,147456,4.69655e+11,429981696,4380.72,2448.23,10.3086,2.11706e+09,429981696, 1679616, 1679616, 200704, 256, 429981696, 7954992, 7954992, 147456, 54.0518, 429981696, 429981696, 746496, 47775744, 1, 0, 0, 0, 0, 0, 0, 48, 48, 48, 162, 54
resnet50,L5,3584,3136,11848.8,256,2.16056e+07,2.69385e+14,2.11706e+09,512,256.082,512,1,512,1534,6,1,1,802816,256,6.77551e+10,802816,4380.72,74.1888,5.2923,2.11706e+09,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 799680, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 256, 1
resnet50,L6,3584,2654208,272920,162,593581,2.69385e+14,2.11706e+09,18,18,18,1,18,2988,198,1,1,802816,147456,1.57549e+12,429981696,4380.72,2448.23,10.3086,2.11706e+09,429981696, 6718464, 6718464, 802816, 64, 429981696, 7954992, 7954992, 147456, 54.0518, 429981696, 429981696, 186624, 47775744, 1, 0, 0, 0, 0, 0, 0, 48, 48, 48, 162, 54
resnet50,L7,3584,663552,738067,162,219492,2.69385e+14,2.11706e+09,18,18,18,1,18,2988,198,1,1,200704,36864,1.45644e+11,107495424,4380.72,2448.23,10.3086,2.11706e+09,107495424, 1679616, 1679616, 200704, 64, 107495424, 1983024, 1983024, 36864, 54.2078, 107495424, 107495424, 186624, 11943936, 1, 0, 0, 0, 0, 0, 0, 48, 48, 48, 162, 54
resnet50,L8,3584,2654208,414784,162,390565,2.69385e+14,2.11706e+09,18,18,18,1,18,2988,198,1,1,200704,147456,1.03664e+12,429981696,4380.72,2448.23,10.3086,2.11706e+09,429981696, 1679616, 1679616, 200704, 256, 429981696, 7954992, 7954992, 147456, 54.0518, 429981696, 429981696, 746496, 47775744, 1, 0, 0, 0, 0, 0, 0, 48, 48, 48, 162, 54
resnet50,L9,3584,3136,11848.8,256,2.16056e+07,2.69385e+14,2.11706e+09,512,256.082,512,1,512,1534,6,1,1,802816,256,6.77551e+10,802816,4380.72,74.1888,5.2923,2.11706e+09,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 799680, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 256, 1
