Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
resnet50,L0,3584,1363968,300513,111,369368,2.69385e+14,2.11706e+09,112,7.1898,112,1,112,14776,384,1,1,155952,12288,5.03806e+11,151400448,4380.72,4748.08,50.9772,2.11706e+09,151400448, 9784768, 9784768, 155952, 15.4731, 151400448, 12288, 12288, 12288, 12321, 151400448, 151400448, 3125824, 4688640, 1, 0, 0, 0, 0, 0, 0, 64, 64, 64, 111, 15.7168
resnet50,L1,3584,1990656,277284,54,194746,2.69385e+14,2.11706e+09,55,6.35233,55,1,55,1098,54,1,1,200704,36864,3.87673e+11,107495424,4380.72,667.699,3.7881,2.11706e+09,107495424, 12605606, 12605606, 200704, 8.52759, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 11943936, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 54, 8.83636
resnet50,L2,3584,1990656,277284,54,194746,2.69385e+14,2.11706e+09,55,6.35233,55,1,55,1098,54,1,1,200704,36864,3.87673e+11,107495424,4380.72,667.699,3.7881,2.11706e+09,107495424, 12605606, 12605606, 200704, 8.52759, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 11943936, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 54, 8.83636
resnet50,L3,3584,7962624,1.10655e+06,54,48800.2,2.69385e+14,2.11706e+09,55,6.35216,55,1,55,1098,54,1,1,200704,147456,3.88578e+11,429981696,4380.72,667.699,3.7881,2.11706e+09,429981696, 50420966, 50420966, 200704, 8.52784, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 746496, 47775744, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 54, 8.83636
resnet50,L4,3584,7962624,1.10655e+06,54,48800.2,2.69385e+14,2.11706e+09,55,6.35216,55,1,55,1098,54,1,1,200704,147456,3.88578e+11,429981696,4380.72,667.699,3.7881,2.11706e+09,429981696, 50420966, 50420966, 200704, 8.52784, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 746496, 47775744, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 54, 8.83636
resnet50,L5,3584,14336,11795.3,56,4.74765e+06,2.69385e+14,2.11706e+09,57,56.0001,57,1,57,226,6,1,1,802816,256,6.80623e+10,802816,4380.72,74.1888,0.7797,2.11706e+09,802816, 788481, 788481, 802816, 1.01818, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1.01818
resnet50,L6,3584,7962624,1.10928e+06,54,48680.3,2.69385e+14,2.11706e+09,55,6.35506,55,1,55,1098,54,1,1,802816,147456,3.87623e+11,429981696,4380.72,667.699,3.7881,2.11706e+09,429981696, 50452646, 50452646, 802816, 8.52248, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 186624, 47775744, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 54, 8.83636
resnet50,L7,3584,1990656,277284,54,194746,2.69385e+14,2.11706e+09,55,6.35233,55,1,55,1098,54,1,1,200704,36864,3.87673e+11,107495424,4380.72,667.699,3.7881,2.11706e+09,107495424, 12605606, 12605606, 200704, 8.52759, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 11943936, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 54, 8.83636
resnet50,L8,3584,7962624,1.10655e+06,54,48800.2,2.69385e+14,2.11706e+09,55,6.35216,55,1,55,1098,54,1,1,200704,147456,3.88578e+11,429981696,4380.72,667.699,3.7881,2.11706e+09,429981696, 50420966, 50420966, 200704, 8.52784, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 746496, 47775744, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 54, 8.83636
resnet50,L9,3584,14336,11795.3,56,4.74765e+06,2.69385e+14,2.11706e+09,57,56.0001,57,1,57,226,6,1,1,802816,256,6.80623e+10,802816,4380.72,74.1888,0.7797,2.11706e+09,802816, 788481, 788481, 802816, 1.01818, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1.01818
resnet50,L10,3584,7962624,1.10928e+06,54,48680.3,2.69385e+14,2.11706e+09,55,6.35506,55,1,55,1098,54,1,1,802816,147456,3.87623e+11,429981696,4380.72,667.699,3.7881,2.11706e+09,429981696, 50452646, 50452646, 802816, 8.52248, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 186624, 47775744, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 54, 8.83636
resnet50,L11,3584,1990656,277284,54,194746,2.69385e+14,2.11706e+09,55,6.35233,55,1,55,1098,54,1,1,200704,36864,3.87673e+11,107495424,4380.72,667.699,3.7881,2.11706e+09,107495424, 12605606, 12605606, 200704, 8.52759, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 11943936, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 54, 8.83636
resnet50,L12,3584,7962624,1.10655e+06,54,48800.2,2.69385e+14,2.11706e+09,55,6.35216,55,1,55,1098,54,1,1,200704,147456,3.88578e+11,429981696,4380.72,667.699,3.7881,2.11706e+09,429981696, 50420966, 50420966, 200704, 8.52784, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 746496, 47775744, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 54, 8.83636
resnet50,L13,3584,14336,11795.3,56,4.74765e+06,2.69385e+14,2.11706e+09,57,56.0001,57,1,57,226,6,1,1,802816,256,6.80623e+10,802816,4380.72,74.1888,0.7797,2.11706e+09,802816, 788481, 788481, 802816, 1.01818, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1.01818
resnet50,L14,3584,15925248,2.21512e+06,54,24378,2.69385e+14,2.11706e+09,55,6.35503,55,1,55,1098,54,1,1,802816,294912,3.88225e+11,859963392,4380.72,667.699,3.7881,2.11706e+09,859963392, 100904806, 100904806, 802816, 8.52252, 859963392, 294912, 294912, 294912, 2916, 859963392, 859963392, 373248, 95551488, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 54, 8.83636
resnet50,L15,3584,3981312,504931,27,53472.6,2.69385e+14,2.11706e+09,28,12.708,28,1,28,622,54,1,1,401408,147456,2.12891e+11,107495424,4380.72,667.699,2.1459,2.11706e+09,107495424, 50441465, 50441465, 401408, 2.13109, 107495424, 147456, 147456, 147456, 729, 107495424, 107495424, 373248, 23445504, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 28, 2.16964
resnet50,L16,3584,15335424,1.04262e+06,26,24937.2,2.69385e+14,2.11706e+09,27,3.26711,27,1,27,538,54,1,1,100352,589824,3.82423e+11,398721024,4380.72,667.699,1.8561,2.11706e+09,398721024, 49503978, 49503978, 100352, 8.05432, 398721024, 589824, 589824, 589824, 676, 398721024, 398721024, 346112, 44302336, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 26, 8.66667
resnet50,L17,3584,15335424,964104,13,13484,2.69385e+14,2.11706e+09,14,6.5362,14,1,14,314,54,1,1,200704,1179648,2.06783e+11,199360512,4380.72,667.699,1.0833,2.11706e+09,199360512, 99047547, 99047547, 200704, 2.01278, 199360512, 1179648, 1179648, 1179648, 169, 199360512, 199360512, 346112, 42598400, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 14, 2.08929
resnet50,L18,3584,7168,2933.82,28,9.54386e+06,2.69385e+14,2.11706e+09,29,28.0001,29,1,29,114,6,1,1,200704,256,6.84104e+10,200704,4380.72,74.1888,0.3933,2.11706e+09,200704, 193537, 193537, 200704, 1.03703, 200704, 256, 256, 256, 784, 200704, 200704, 200704, 200704, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 28, 1.03704
resnet50,L19,3584,15335424,1.04405e+06,26,24903,2.69385e+14,2.11706e+09,27,3.26871,27,1,27,538,54,1,1,401408,589824,3.81898e+11,398721024,4380.72,667.699,1.8561,2.11706e+09,398721024, 49535082, 49535082, 401408, 8.04927, 398721024, 589824, 589824, 589824, 676, 398721024, 398721024, 86528, 44302336, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 26, 8.66667
resnet50,L20,3584,3833856,260977,26,99625.5,2.69385e+14,2.11706e+09,27,3.26715,27,1,27,538,54,1,1,100352,147456,3.8195e+11,99680256,4380.72,667.699,1.8561,2.11706e+09,99680256, 12376170, 12376170, 100352, 8.05421, 99680256, 147456, 147456, 147456, 676, 99680256, 99680256, 86528, 11075584, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 26, 8.66667
resnet50,L21,3584,15335424,1.04262e+06,26,24937.2,2.69385e+14,2.11706e+09,27,3.26711,27,1,27,538,54,1,1,100352,589824,3.82423e+11,398721024,4380.72,667.699,1.8561,2.11706e+09,398721024, 49503978, 49503978, 100352, 8.05432, 398721024, 589824, 589824, 589824, 676, 398721024, 398721024, 346112, 44302336, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 26, 8.66667
resnet50,L22,3584,14336,5867.64,28,4.77193e+06,2.69385e+14,2.11706e+09,29,28.0001,29,1,29,114,6,1,1,401408,512,6.84104e+10,401408,4380.72,74.1888,0.3933,2.11706e+09,401408, 387073, 387073, 401408, 1.03703, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 28, 1.03704
resnet50,L23,3584,15335424,1.04405e+06,26,24903,2.69385e+14,2.11706e+09,27,3.26871,27,1,27,538,54,1,1,401408,589824,3.81898e+11,398721024,4380.72,667.699,1.8561,2.11706e+09,398721024, 49535082, 49535082, 401408, 8.04927, 398721024, 589824, 589824, 589824, 676, 398721024, 398721024, 86528, 44302336, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 26, 8.66667
resnet50,L24,3584,3833856,260977,26,99625.5,2.69385e+14,2.11706e+09,27,3.26715,27,1,27,538,54,1,1,100352,147456,3.8195e+11,99680256,4380.72,667.699,1.8561,2.11706e+09,99680256, 12376170, 12376170, 100352, 8.05421, 99680256, 147456, 147456, 147456, 676, 99680256, 99680256, 86528, 11075584, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 26, 8.66667
resnet50,L25,3584,15335424,1.04262e+06,26,24937.2,2.69385e+14,2.11706e+09,27,3.26711,27,1,27,538,54,1,1,100352,589824,3.82423e+11,398721024,4380.72,667.699,1.8561,2.11706e+09,398721024, 49503978, 49503978, 100352, 8.05432, 398721024, 589824, 589824, 589824, 676, 398721024, 398721024, 346112, 44302336, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 26, 8.66667
