latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
433141367.1758099,420784520.93000007,102762000000000.0,807606842.8571428,0,70,1024 64,pass
655476139.3621199,316621387.63,6459620000000.0,50766700.0,1,52,256 16,pass
655476139.3621199,316621387.63,8074520000000.0,63458200.0,2,52,256 20,pass
655476139.3621199,316621387.63,9689420000000.0,76149796.15384616,3,52,256 24,pass
655476139.3621199,316621387.63,11304300000000.0,88841296.15384616,4,52,256 28,pass
655476139.3621199,316621387.63,12919200000000.0,101532442.3076923,5,52,256 32,pass
655476139.3621199,316621387.63,14534100000000.0,114224269.23076925,6,52,256 36,pass
655476139.3621199,316621387.63,16149000000000.0,126916269.23076925,7,52,256 40,pass
655476139.3621199,316621387.63,17763900000000.0,139607269.23076922,8,52,256 44,pass
655476139.3621199,316621387.63,19378800000000.0,152299269.23076922,9,52,256 48,pass
655476139.3621199,316621387.63,20993700000000.0,164990269.23076922,10,52,256 52,pass
655476139.3621199,316621387.63,22608600000000.0,177682269.23076922,11,52,256 56,pass
505682367.57844,362475962.33,6459620000000.0,50766601.72413793,12,58,256 16,pass
505682367.57844,362475962.33,8074520000000.0,63458101.72413793,13,58,256 20,pass
505682367.57844,362475962.33,9689420000000.0,76149694.8275862,14,58,256 24,pass
505682367.57844,362475962.33,11304300000000.0,88841194.8275862,15,58,256 28,pass
505682367.57844,362475962.33,12919200000000.0,101532327.5862069,16,58,256 32,pass
505682367.57844,362475962.33,14534100000000.0,114224172.4137931,17,58,256 36,pass
505682367.57844,362475962.33,16149000000000.0,126916172.4137931,18,58,256 40,pass
505682367.57844,362475962.33,17763900000000.0,139607172.41379312,19,58,256 44,pass
505682367.57844,362475962.33,19378800000000.0,152299172.41379312,20,58,256 48,pass
505682367.57844,362475962.33,20993700000000.0,164990172.41379312,21,58,256 52,pass
505682367.57844,362475962.33,22608600000000.0,177682172.41379312,22,58,256 56,pass
367656723.41076,306659394.63000005,6459620000000.0,50766583.67346939,23,49,256 16,pass
367656723.41076,306659394.63000005,8074520000000.0,63458083.67346939,24,49,256 20,pass
367656723.41076,306659394.63000005,9689420000000.0,76149679.59183674,25,49,256 24,pass
367656723.41076,306659394.63000005,11304300000000.0,88841179.59183674,26,49,256 28,pass
367656723.41076,306659394.63000005,12919200000000.0,101532285.71428572,27,49,256 32,pass
367656723.41076,306659394.63000005,14534100000000.0,114224163.26530612,28,49,256 36,pass
367656723.41076,306659394.63000005,16149000000000.0,126916163.26530612,29,49,256 40,pass
367656723.41076,306659394.63000005,17763900000000.0,139607163.26530612,30,49,256 44,pass
367656723.41076,306659394.63000005,19378800000000.0,152299163.26530612,31,49,256 48,pass
367656723.41076,306659394.63000005,20993700000000.0,164990163.26530612,32,49,256 52,pass
367656723.41076,306659394.63000005,22608600000000.0,177682163.26530612,33,49,256 56,pass
262829445.50916,252472110.61,6459620000000.0,50766578.94736842,34,38,256 16,pass
262829445.50916,252472110.61,8074520000000.0,63458078.94736842,35,38,256 20,pass
262829445.50916,252472110.61,9689420000000.0,76149673.68421052,36,38,256 24,pass
262829445.50916,252472110.61,11304300000000.0,88841173.68421052,37,38,256 28,pass
262829445.50916,252472110.61,12919200000000.0,101532289.4736842,38,38,256 32,pass
262829445.50916,252472110.61,14534100000000.0,114224157.89473684,39,38,256 36,pass
262829445.50916,252472110.61,16149000000000.0,126916157.89473684,40,38,256 40,pass
262829445.50916,252472110.61,17763900000000.0,139607157.89473686,41,38,256 44,pass
262829445.50916,252472110.61,19378800000000.0,152299157.89473686,42,38,256 48,pass
262829445.50916,252472110.61,20993700000000.0,164990157.89473686,43,38,256 52,pass
262829445.50916,252472110.61,22608600000000.0,177682157.89473686,44,38,256 56,pass
254862988.33108,228858096.07,6459620000000.0,50766591.42857143,45,35,256 16,pass
254862988.33108,228858096.07,8074520000000.0,63458091.42857143,46,35,256 20,pass
254862988.33108,228858096.07,9689420000000.0,76149688.57142857,47,35,256 24,pass
254862988.33108,228858096.07,11304300000000.0,88841188.57142857,48,35,256 28,pass
254862988.33108,228858096.07,12919200000000.0,101532285.71428572,49,35,256 32,pass
254862988.33108,228858096.07,14534100000000.0,114224171.42857143,50,35,256 36,pass
254862988.33108,228858096.07,16149000000000.0,126916171.42857143,51,35,256 40,pass
254862988.33108,228858096.07,17763900000000.0,139607171.42857143,52,35,256 44,pass
254862988.33108,228858096.07,19378800000000.0,152299171.42857143,53,35,256 48,pass
254862988.33108,228858096.07,20993700000000.0,164990171.42857143,54,35,256 52,pass
254862988.33108,228858096.07,22608600000000.0,177682171.42857143,55,35,256 56,pass
172581457.43251997,284430985.23,6459620000000.0,50766500.0,56,46,256 16,pass
172581457.43251997,284430985.23,8074520000000.0,63458000.0,57,46,256 20,pass
172581457.43251997,284430985.23,9689420000000.0,76149595.6521739,58,46,256 24,pass
172581457.43251997,284430985.23,11304300000000.0,88841095.6521739,59,46,256 28,pass
172581457.43251997,284430985.23,12919200000000.0,101532173.91304348,60,46,256 32,pass
172581457.43251997,284430985.23,14534100000000.0,114224086.95652172,61,46,256 36,pass
172581457.43251997,284430985.23,16149000000000.0,126916086.95652172,62,46,256 40,pass
172581457.43251997,284430985.23,17763900000000.0,139607086.95652175,63,46,256 44,pass
172581457.43251997,284430985.23,19378800000000.0,152299086.95652175,64,46,256 48,pass
172581457.43251997,284430985.23,20993700000000.0,164990086.95652175,65,46,256 52,pass
172581457.43251997,284430985.23,22608600000000.0,177682086.95652175,66,46,256 56,pass
115245023.74323998,271380999.83000004,6459620000000.0,50766450.0,67,50,256 16,pass
115245023.74323998,271380999.83000004,8074520000000.0,63457950.0,68,50,256 20,pass
115245023.74323998,271380999.83000004,9689420000000.0,76149544.0,69,50,256 24,pass
115245023.74323998,271380999.83000004,11304300000000.0,88841044.0,70,50,256 28,pass
115245023.74323998,271380999.83000004,12919200000000.0,101532120.0,71,50,256 32,pass
115245023.74323998,271380999.83000004,14534100000000.0,114224040.0,72,50,256 36,pass
115245023.74323998,271380999.83000004,16149000000000.0,126916040.0,73,50,256 40,pass
115245023.74323998,271380999.83000004,17763900000000.0,139607040.0,74,50,256 44,pass
115245023.74323998,271380999.83000004,19378800000000.0,152299040.0,75,50,256 48,pass
115245023.74323998,271380999.83000004,20993700000000.0,164990040.0,76,50,256 52,pass
115245023.74323998,271380999.83000004,22608600000000.0,177682040.0,77,50,256 56,pass
94643771.42276,224797452.61,6459620000000.0,50766463.88888889,78,36,256 16,pass
94643771.42276,224797452.61,8074520000000.0,63457963.88888889,79,36,256 20,pass
94643771.42276,224797452.61,9689420000000.0,76149561.1111111,80,36,256 24,pass
94643771.42276,224797452.61,11304300000000.0,88841061.1111111,81,36,256 28,pass
