DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,192 4,6 12,61,9,308982463117181440,191080955290575584,773110704,119482348,399661343,1599240039,1214280000000,2120365590,pass
2,192 8,6 8,61,9,308982463117181440,191080955290575584,773110704,119482348,399661343,1599240039,2428530000000,2120365590,pass
3,192 4,7 12,59,11,210468024459310816,232502933699201280,560359344,123198077,375594743,1887228582,1214280000000,3379332659,pass
4,192 8,7 8,59,11,210468024459310816,232502933699201280,560359344,123198077,375594743,1887228582,2428530000000,3379332659,pass
5,192 4,8 12,58,12,165050956540807520,254016488567529472,453983664,125055942,363561443,2031222853,1214280000000,4008816194,pass
6,192 8,8 8,58,12,165050956540807520,254016488567529472,453983664,125055942,363561443,2031222853,2428530000000,4008816194,pass
7,192 4,9 12,57,13,122193989562592192,276065087211868096,347607984,126913807,351528143,2175217124,1214280000000,4638299728,pass
8,192 8,9 8,57,13,122193989562592192,276065087211868096,347607984,126913807,351528143,2175217124,2428530000000,4638299728,pass
9,192 4,10 12,57,13,122193989562592192,276065087211868096,347607984,126913807,351528143,2175217124,1214280000000,4638299728,pass
10,192 8,10 8,57,13,122193989562592192,276065087211868096,347607984,126913807,351528143,2175217124,2428530000000,4638299728,pass
11,192 4,11 12,56,14,80138057561162384,295223460787602880,241232304,127384253,332202843,2317582059,1214280000000,7089972442,pass
12,192 8,11 8,56,14,80138057561162384,295223460787602880,241232304,127384253,332202843,2317582059,2428530000000,7089972442,pass
13,192 4,12 12,55,15,53695469007052232,314252147079705664,167360304,127849279,320837543,2457989185,1214280000000,9541645156,pass
14,192 8,12 8,55,15,53695469007052232,314252147079705664,167360304,127849279,320837543,2457989185,2428530000000,9541645156,pass
15,192 4,13 12,55,15,53695469007052232,314252147079705664,167360304,127849279,320837543,2457989185,1214280000000,9541645156,pass
16,192 8,13 8,55,15,53695469007052232,314252147079705664,167360304,127849279,320837543,2457989185,2428530000000,9541645156,pass
17,192 4,14 12,52,18,16204491132168916,484200108077666112,52546381,165685063,308384527,2922412545,1214280000000,12390886418,pass
18,192 8,14 8,52,18,16204491132168916,484836609530091264,52546381,165902863,308384527,2922412545,2428530000000,12390886418,pass
19,192 4,15 12,51,19,13730017650652278,537367916929142272,44743651,167565568,306859567,3206911315,1214280000000,13616722775,pass
