latency,area,power,energy,DSE index,layers,"HW (tiles, bw)",restraint
414731026.11529714,49431503426.6603,20780.41366263516,4473187932.48788,0,71,24 64,pass
251617933.58212465,2717199013.9529047,1063.550921454206,2013010713.09828,1,18,6 48,pass
251911633.5821248,2717199013.9529047,1063.550921454206,2013010713.09828,2,18,6 44,pass
252264073.5821245,2717199013.9529047,1063.550921454206,2013010713.09828,3,18,6 40,pass
252694833.58212465,2717199013.9529047,1063.550921454206,2013010713.09828,4,18,6 36,pass
253233283.58212465,2717199013.9529047,1063.550921454206,2013010713.09828,5,18,6 32,pass
253925576.4392673,2717199013.9529047,1063.550921454206,2013010713.09828,6,18,6 28,pass
254848633.58212465,2717199013.9529047,1063.550921454206,2013010713.09828,7,18,6 24,pass
256140913.5821243,2717199013.9529047,1063.550921454206,2013010713.09828,8,18,6 20,pass
258079333.58212465,2717199013.9529047,1063.550921454206,2013010713.09828,9,18,6 16,pass
261310033.58212465,2717199013.9529047,1063.550921454206,2013010713.09828,10,18,6 12,pass
267771433.58212465,2717199013.9529047,1063.550921454206,2013010713.09828,11,18,6 8,pass
130706127.79113272,3379813260.941662,1427.988096864315,1887228582.359715,12,12,7 48,pass
130989927.79113288,3379813260.941662,1427.988096864315,1887228582.359715,13,12,7 44,pass
131330487.79113254,3379813260.941662,1427.988096864315,1887228582.359715,14,12,7 40,pass
131746727.79113272,3379813260.941662,1427.988096864315,1887228582.359715,15,12,7 36,pass
132267027.79113272,3379813260.941662,1427.988096864315,1887228582.359715,16,12,7 32,pass
132935984.93398967,3379813260.941662,1427.988096864315,1887228582.359715,17,12,7 28,pass
133827927.79113272,3379813260.941662,1427.988096864315,1887228582.359715,18,12,7 24,pass
135076647.79113233,3379813260.941662,1427.988096864315,1887228582.359715,19,12,7 20,pass
136949727.79113272,3379813260.941662,1427.988096864315,1887228582.359715,20,12,7 16,pass
140071527.79113272,3379813260.941662,1427.988096864315,1887228582.359715,21,12,7 12,pass
146315127.79113272,3379813260.941662,1427.988096864315,1887228582.359715,22,12,7 8,pass
254283746.7346784,4605649617.870863,1859.7061490128367,2437686570.720111,23,21,8 48,pass
254577446.73467857,4605649617.870863,1859.7061490128367,2437686570.720111,24,21,8 44,pass
254929886.73467827,4605649617.870863,1859.7061490128367,2437686570.720111,25,21,8 40,pass
255360646.7346784,4605649617.870863,1859.7061490128367,2437686570.720111,26,21,8 36,pass
255899096.7346784,4605649617.870863,1859.7061490128367,2437686570.720111,27,21,8 32,pass
256591389.59182107,4605649617.870863,1859.7061490128367,2437686570.720111,28,21,8 28,pass
257514446.7346784,4605649617.870863,1859.7061490128367,2437686570.720111,29,21,8 24,pass
258806726.7346781,4605649617.870863,1859.7061490128367,2437686570.720111,30,21,8 20,pass
260745146.7346784,4605649617.870863,1859.7061490128367,2437686570.720111,31,21,8 16,pass
263975846.7346784,4605649617.870863,1859.7061490128367,2437686570.720111,32,21,8 12,pass
270437246.73467845,4605649617.870863,1859.7061490128367,2437686570.720111,33,21,8 8,pass
321422450.60670906,5765224550.101188,2328.6765872461706,2759887456.821232,34,32,9 48,pass
322737302.60670954,5765224550.101188,2328.6765872461706,2759887456.821232,35,32,9 44,pass
