latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
10547108863.989729,489275995.53,102762000000000.0,807610214.2857143,0,70,1024 64,pass
7121866467.058439,412020934.13000005,6459620000000.0,50767338.333333336,1,60,256 16,pass
7121866467.058439,412020934.13000005,8074520000000.0,63458841.66666666,2,60,256 20,pass
7121866467.058439,412020934.13000005,9689420000000.0,76150363.33333333,3,60,256 24,pass
7121866467.058439,412020934.13000005,11304300000000.0,88841870.0,4,60,256 28,pass
7121866467.058439,412020934.13000005,12919200000000.0,101533533.33333331,5,60,256 32,pass
7121866467.058439,412020934.13000005,14534100000000.0,114224900.0,6,60,256 36,pass
7121866467.058439,412020934.13000005,16149000000000.0,126916750.0,7,60,256 40,pass
7121866467.058439,412020934.13000005,17763900000000.0,139607916.66666666,8,60,256 44,pass
7121866467.058439,412020934.13000005,19378800000000.0,152299750.0,9,60,256 48,pass
7121866467.058439,412020934.13000005,20993700000000.0,164990916.66666666,10,60,256 52,pass
7121866467.058439,412020934.13000005,22608600000000.0,177682783.33333334,11,60,256 56,pass
8045202165.615239,436943665.33,6459620000000.0,50767632.8125,12,64,256 16,pass
8045202165.615239,436943665.33,8074520000000.0,63459137.5,13,64,256 20,pass
8045202165.615239,436943665.33,9689420000000.0,76150660.9375,14,64,256 24,pass
8045202165.615239,436943665.33,11304300000000.0,88842168.75,15,64,256 28,pass
8045202165.615239,436943665.33,12919200000000.0,101533781.25,16,64,256 32,pass
8045202165.615239,436943665.33,14534100000000.0,114225218.75,17,64,256 36,pass
8045202165.615239,436943665.33,16149000000000.0,126917015.625,18,64,256 40,pass
8045202165.615239,436943665.33,17763900000000.0,139608218.75,19,64,256 44,pass
8045202165.615239,436943665.33,19378800000000.0,152300015.625,20,64,256 48,pass
8045202165.615239,436943665.33,20993700000000.0,164991218.75,21,64,256 52,pass
8045202165.615239,436943665.33,22608600000000.0,177683062.5,22,64,256 56,pass
6429701142.749959,380787294.13,6459620000000.0,50767352.54237288,23,59,256 16,pass
6429701142.749959,380787294.13,8074520000000.0,63458855.93220339,24,59,256 20,pass
6429701142.749959,380787294.13,9689420000000.0,76150377.96610169,25,59,256 24,pass
6429701142.749959,380787294.13,11304300000000.0,88841886.44067797,26,59,256 28,pass
6429701142.749959,380787294.13,12919200000000.0,101533542.37288135,27,59,256 32,pass
6429701142.749959,380787294.13,14534100000000.0,114224915.2542373,28,59,256 36,pass
6429701142.749959,380787294.13,16149000000000.0,126916762.7118644,29,59,256 40,pass
6429701142.749959,380787294.13,17763900000000.0,139607932.20338982,30,59,256 44,pass
6429701142.749959,380787294.13,19378800000000.0,152299762.7118644,31,59,256 48,pass
6429701142.749959,380787294.13,20993700000000.0,164990932.20338982,32,59,256 52,pass
6429701142.749959,380787294.13,22608600000000.0,177682796.6101695,33,59,256 56,pass
6915285392.564999,425707924.13,6459620000000.0,50767496.77419355,34,62,256 16,pass
6915285392.564999,425707924.13,8074520000000.0,63459001.61290322,35,62,256 20,pass
6915285392.564999,425707924.13,9689420000000.0,76150522.58064516,36,62,256 24,pass
6915285392.564999,425707924.13,11304300000000.0,88842032.25806452,37,62,256 28,pass
6915285392.564999,425707924.13,12919200000000.0,101533677.41935484,38,62,256 32,pass
6915285392.564999,425707924.13,14534100000000.0,114225064.51612905,39,62,256 36,pass
6915285392.564999,425707924.13,16149000000000.0,126916887.0967742,40,62,256 40,pass
6915285392.564999,425707924.13,17763900000000.0,139608080.6451613,41,62,256 44,pass
6915285392.564999,425707924.13,19378800000000.0,152299887.0967742,42,62,256 48,pass
6915285392.564999,425707924.13,20993700000000.0,164991080.6451613,43,62,256 52,pass
6915285392.564999,425707924.13,22608600000000.0,177682935.48387095,44,62,256 56,pass
5480754549.22196,398468707.53,6459620000000.0,50767316.39344262,45,61,256 16,pass
5480754549.22196,398468707.53,8074520000000.0,63458821.31147541,46,61,256 20,pass
5480754549.22196,398468707.53,9689420000000.0,76150347.5409836,47,61,256 24,pass
5480754549.22196,398468707.53,11304300000000.0,88841854.09836066,48,61,256 28,pass
5480754549.22196,398468707.53,12919200000000.0,101533475.40983608,49,61,256 32,pass
