latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
30622462841.221115,639974737.0599998,102762000000000.0,807606385.7142857,0,70,1024 64,pass
20343176122.43968,351931751.16,6459620000000.0,50766655.0,1,60,256 16,pass
20343176122.43968,351931751.16,8074520000000.0,63458155.0,2,60,256 20,pass
20343176122.43968,351931751.16,9689420000000.0,76149733.33333333,3,60,256 24,pass
20343176122.43968,351931751.16,11304300000000.0,88841236.66666667,4,60,256 28,pass
20343176122.43968,351931751.16,12919200000000.0,101532366.66666669,5,60,256 32,pass
20343176122.43968,351931751.16,14534100000000.0,114224300.0,6,60,256 36,pass
20343176122.43968,351931751.16,16149000000000.0,126916150.0,7,60,256 40,pass
20343176122.43968,351931751.16,17763900000000.0,139607300.0,8,60,256 44,pass
20343176122.43968,351931751.16,19378800000000.0,152299150.0,9,60,256 48,pass
20343176122.43968,351931751.16,20993700000000.0,164990300.0,10,60,256 52,pass
20343176122.43968,351931751.16,22608600000000.0,177682150.0,11,60,256 56,pass
23131371352.094715,453778048.76,6459620000000.0,50766734.375,12,64,256 16,pass
23131371352.094715,453778048.76,8074520000000.0,63458234.375,13,64,256 20,pass
23131371352.094715,453778048.76,9689420000000.0,76149809.375,14,64,256 24,pass
23131371352.094715,453778048.76,11304300000000.0,88841314.0625,15,64,256 28,pass
23131371352.094715,453778048.76,12919200000000.0,101532453.125,16,64,256 32,pass
23131371352.094715,453778048.76,14534100000000.0,114224406.25,17,64,256 36,pass
23131371352.094715,453778048.76,16149000000000.0,126916203.125,18,64,256 40,pass
23131371352.094715,453778048.76,17763900000000.0,139607406.25,19,64,256 44,pass
23131371352.094715,453778048.76,19378800000000.0,152299203.125,20,64,256 48,pass
23131371352.094715,453778048.76,20993700000000.0,164990406.25,21,64,256 52,pass
23131371352.094715,453778048.76,22608600000000.0,177682203.125,22,64,256 56,pass
18283301615.27808,323148991.16,6459620000000.0,50766659.3220339,23,59,256 16,pass
18283301615.27808,323148991.16,8074520000000.0,63458159.3220339,24,59,256 20,pass
18283301615.27808,323148991.16,9689420000000.0,76149737.28813559,25,59,256 24,pass
18283301615.27808,323148991.16,11304300000000.0,88841240.6779661,26,59,256 28,pass
18283301615.27808,323148991.16,12919200000000.0,101532372.88135593,27,59,256 32,pass
18283301615.27808,323148991.16,14534100000000.0,114224305.08474576,28,59,256 36,pass
18283301615.27808,323148991.16,16149000000000.0,126916152.54237288,29,59,256 40,pass
18283301615.27808,323148991.16,17763900000000.0,139607305.08474576,30,59,256 44,pass
18283301615.27808,323148991.16,19378800000000.0,152299152.54237288,31,59,256 48,pass
