latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
1914586247.09376,542700566.14,102762000000000.0,807606385.7142857,0,70,1024 64,pass
1259372843.4995198,351079074.54,6459620000000.0,50766619.23076923,1,52,256 16,pass
1259372843.4995198,351079074.54,8074520000000.0,63458126.92307692,2,52,256 20,pass
1259372843.4995198,351079074.54,9689420000000.0,76149711.53846154,3,52,256 24,pass
1259372843.4995198,351079074.54,11304300000000.0,88841215.38461539,4,52,256 28,pass
1259372843.4995198,351079074.54,12919200000000.0,101532307.6923077,5,52,256 32,pass
1259372843.4995198,351079074.54,14534100000000.0,114224269.23076925,6,52,256 36,pass
1259372843.4995198,351079074.54,16149000000000.0,126916134.6153846,7,52,256 40,pass
1259372843.4995198,351079074.54,17763900000000.0,139607269.23076922,8,52,256 44,pass
1259372843.4995198,351079074.54,19378800000000.0,152299134.6153846,9,52,256 48,pass
1259372843.4995198,351079074.54,20993700000000.0,164990269.23076922,10,52,256 52,pass
1259372843.4995198,351079074.54,22608600000000.0,177682134.6153846,11,52,256 56,pass
1282936924.8460798,408617468.54,6459620000000.0,50766635.71428572,12,56,256 16,pass
1282936924.8460798,408617468.54,8074520000000.0,63458144.64285714,13,56,256 20,pass
1282936924.8460798,408617468.54,9689420000000.0,76149725.0,14,56,256 24,pass
1282936924.8460798,408617468.54,11304300000000.0,88841228.57142857,15,56,256 28,pass
1282936924.8460798,408617468.54,12919200000000.0,101532339.28571428,16,56,256 32,pass
1282936924.8460798,408617468.54,14534100000000.0,114224285.71428572,17,56,256 36,pass
1282936924.8460798,408617468.54,16149000000000.0,126916142.85714284,18,56,256 40,pass
1282936924.8460798,408617468.54,17763900000000.0,139607285.7142857,19,56,256 44,pass
1282936924.8460798,408617468.54,19378800000000.0,152299142.85714287,20,56,256 48,pass
1282936924.8460798,408617468.54,20993700000000.0,164990285.7142857,21,56,256 52,pass
1282936924.8460798,408617468.54,22608600000000.0,177682142.85714287,22,56,256 56,pass
1133195327.0271995,386396229.54,6459620000000.0,50766611.11111111,23,54,256 16,pass
1133195327.0271995,386396229.54,8074520000000.0,63458120.37037037,24,54,256 20,pass
1133195327.0271995,386396229.54,9689420000000.0,76149703.7037037,25,54,256 24,pass
1133195327.0271995,386396229.54,11304300000000.0,88841207.4074074,26,54,256 28,pass
1133195327.0271995,386396229.54,12919200000000.0,101532296.2962963,27,54,256 32,pass
1133195327.0271995,386396229.54,14534100000000.0,114224259.25925924,28,54,256 36,pass
1133195327.0271995,386396229.54,16149000000000.0,126916129.62962964,29,54,256 40,pass
1133195327.0271995,386396229.54,17763900000000.0,139607259.25925925,30,54,256 44,pass
1133195327.0271995,386396229.54,19378800000000.0,152299129.62962964,31,54,256 48,pass
1133195327.0271995,386396229.54,20993700000000.0,164990259.25925925,32,54,256 52,pass
1133195327.0271995,386396229.54,22608600000000.0,177682129.62962964,33,54,256 56,pass
