DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,6 48,52,18,4.421394523966197e+17,5.0650959590846835e+17,1259372843,251617933,351079074,2013010713,6459620000000,2717199013,pass
2,256 20,6 44,52,18,4.421394523966197e+17,5.071008171549056e+17,1259372843,251911633,351079074,2013010713,8074520000000,2717199013,pass
3,256 24,6 40,52,18,4.421394523966197e+17,5.078102826506294e+17,1259372843,252264073,351079074,2013010713,9689420000000,2717199013,pass
4,256 28,6 36,52,18,4.421394523966197e+17,5.0867740714540384e+17,1259372843,252694833,351079074,2013010713,11304300000000,2717199013,pass
5,256 32,6 32,52,18,4.421394523966197e+17,5.097613127638716e+17,1259372843,253233283,351079074,2013010713,12919200000000,2717199013,pass
6,256 36,6 28,52,18,4.421394523966197e+17,5.1115490570190125e+17,1259372843,253925576,351079074,2013010713,14534100000000,2717199013,pass
7,256 40,6 24,52,18,4.421394523966197e+17,5.1301302961927494e+17,1259372843,254848633,351079074,2013010713,16149000000000,2717199013,pass
8,256 44,6 20,52,18,4.421394523966197e+17,5.1561440310359686e+17,1259372843,256140913,351079074,2013010713,17763900000000,2717199013,pass
9,256 48,6 16,52,18,4.421394523966197e+17,5.1951646333008154e+17,1259372843,258079333,351079074,2013010713,19378800000000,2717199013,pass
10,256 52,6 12,52,18,4.421394523966197e+17,5.260198970408882e+17,1259372843,261310033,351079074,2013010713,20993700000000,2717199013,pass
11,256 56,6 8,52,18,4.421394523966197e+17,5.390267644625014e+17,1259372843,267771433,351079074,2013010713,22608600000000,2717199013,pass
12,256 16,7 48,56,14,5.242304385270974e+17,3.0982381673776256e+17,1282936924,204181922,408617468,1517391026,6459620000000,3479205397,pass
13,256 20,7 44,56,14,5.242304385270974e+17,3.1070011005563334e+17,1282936924,204759422,408617468,1517391026,8074520000000,3479205397,pass
14,256 24,7 40,56,14,5.242304385270974e+17,3.117516620370768e+17,1282936924,205452422,408617468,1517391026,9689420000000,3479205397,pass
15,256 28,7 36,56,14,5.242304385270974e+17,3.1303689223662054e+17,1282936924,206299422,408617468,1517391026,11304300000000,3479205397,pass
16,256 32,7 32,56,14,5.242304385270974e+17,3.1464342998604954e+17,1282936924,207358172,408617468,1517391026,12919200000000,3479205397,pass
17,256 36,7 28,56,14,5.242304385270974e+17,3.1670897852102906e+17,1282936924,208719422,408617468,1517391026,14534100000000,3479205397,pass
18,256 40,7 24,56,14,5.242304385270974e+17,3.1946304323433645e+17,1282936924,210534422,408617468,1517391026,16149000000000,3479205397,pass
19,256 44,7 20,56,14,5.242304385270974e+17,3.23318733832965e+17,1282936924,213075422,408617468,1517391026,17763900000000,3479205397,pass
20,256 48,7 16,56,14,5.242304385270974e+17,3.291022697309104e+17,1282936924,216886922,408617468,1517391026,19378800000000,3479205397,pass
