latency,area,power,energy,DSE index,layers,"HW (tiles, bw)",restraint
414731026.11529714,49431503426.6603,20780.41366263516,4473187932.48788,0,71,24 64,pass
251617933.58212465,2717199013.9529047,1063.550921454206,2013010713.09828,1,18,6 48,pass
251911633.5821248,2717199013.9529047,1063.550921454206,2013010713.09828,2,18,6 44,pass
252264073.5821245,2717199013.9529047,1063.550921454206,2013010713.09828,3,18,6 40,pass
252694833.58212465,2717199013.9529047,1063.550921454206,2013010713.09828,4,18,6 36,pass
253233283.58212465,2717199013.9529047,1063.550921454206,2013010713.09828,5,18,6 32,pass
253925576.4392673,2717199013.9529047,1063.550921454206,2013010713.09828,6,18,6 28,pass
254848633.58212465,2717199013.9529047,1063.550921454206,2013010713.09828,7,18,6 24,pass
256140913.5821243,2717199013.9529047,1063.550921454206,2013010713.09828,8,18,6 20,pass
258079333.58212465,2717199013.9529047,1063.550921454206,2013010713.09828,9,18,6 16,pass
261310033.58212465,2717199013.9529047,1063.550921454206,2013010713.09828,10,18,6 12,pass
267771433.58212465,2717199013.9529047,1063.550921454206,2013010713.09828,11,18,6 8,pass
204181922.32812235,3479205397.989975,1415.2394589769,1517391026.615337,12,14,7 48,pass
204759422.32812265,3479205397.989975,1415.2394589769,1517391026.615337,13,14,7 44,pass
205452422.328122,3479205397.989975,1415.2394589769,1517391026.615337,14,14,7 40,pass
206299422.32812235,3479205397.989975,1415.2394589769,1517391026.615337,15,14,7 36,pass
207358172.32812235,3479205397.989975,1415.2394589769,1517391026.615337,16,14,7 32,pass
208719422.328122,3479205397.989975,1415.2394589769,1517391026.615337,17,14,7 28,pass
210534422.32812235,3479205397.989975,1415.2394589769,1517391026.615337,18,14,7 24,pass
213075422.32812163,3479205397.989975,1415.2394589769,1517391026.615337,19,14,7 20,pass
216886922.32812235,3479205397.989975,1415.2394589769,1517391026.615337,20,14,7 16,pass
223239422.32812235,3479205397.989975,1415.2394589769,1517391026.615337,21,14,7 12,pass
235944422.32812235,3479205397.989975,1415.2394589769,1517391026.615337,22,14,7 8,pass
210381867.6527477,4473126768.473111,1847.447827143945,2029861091.471322,23,16,8 48,pass
210959367.652748,4473126768.473111,1847.447827143945,2029861091.471322,24,16,8 44,pass
211652367.6527473,4473126768.473111,1847.447827143945,2029861091.471322,25,16,8 40,pass
212499367.6527477,4473126768.473111,1847.447827143945,2029861091.471322,26,16,8 36,pass
213558117.6527477,4473126768.473111,1847.447827143945,2029861091.471322,27,16,8 32,pass
214919367.65274724,4473126768.473111,1847.447827143945,2029861091.471322,28,16,8 28,pass
216734367.6527477,4473126768.473111,1847.447827143945,2029861091.471322,29,16,8 24,pass
219275367.6527469,4473126768.473111,1847.447827143945,2029861091.471322,30,16,8 20,pass
223086867.6527477,4473126768.473111,1847.447827143945,2029861091.471322,31,16,8 16,pass
229439367.6527477,4473126768.473111,1847.447827143945,2029861091.471322,32,16,8 12,pass
242144367.6527477,4473126768.473111,1847.447827143945,2029861091.471322,33,16,8 8,pass
174776890.12152508,5599570988.353998,2311.140930449412,1354870888.6088853,34,11,9 48,pass
174786790.12152505,5599570988.353998,2311.140930449412,1354870888.6088853,35,11,9 44,pass
