latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
6664716176.609279,799084680.2399999,102762000000000.0,807606385.7142857,0,70,1024 64,pass
4487438654.43328,566612221.2399999,6459620000000.0,50766660.0,1,60,256 16,pass
4487438654.43328,566612221.2399999,8074520000000.0,63458160.0,2,60,256 20,pass
4487438654.43328,566612221.2399999,9689420000000.0,76149743.33333333,3,60,256 24,pass
4487438654.43328,566612221.2399999,11304300000000.0,88841245.0,4,60,256 28,pass
4487438654.43328,566612221.2399999,12919200000000.0,101532366.66666669,5,60,256 32,pass
4487438654.43328,566612221.2399999,14534100000000.0,114224300.0,6,60,256 36,pass
4487438654.43328,566612221.2399999,16149000000000.0,126916150.0,7,60,256 40,pass
4487438654.43328,566612221.2399999,17763900000000.0,139607300.0,8,60,256 44,pass
4487438654.43328,566612221.2399999,19378800000000.0,152299150.0,9,60,256 48,pass
4487438654.43328,566612221.2399999,20993700000000.0,164990300.0,10,60,256 52,pass
4487438654.43328,566612221.2399999,22608600000000.0,177682150.0,11,60,256 56,pass
4280737000.1100793,625118813.24,6459620000000.0,50766743.75,12,64,256 16,pass
4280737000.1100793,625118813.24,8074520000000.0,63458243.75,13,64,256 20,pass
4280737000.1100793,625118813.24,9689420000000.0,76149826.5625,14,64,256 24,pass
4280737000.1100793,625118813.24,11304300000000.0,88841331.25,15,64,256 28,pass
4280737000.1100793,625118813.24,12919200000000.0,101532453.125,16,64,256 32,pass
4280737000.1100793,625118813.24,14534100000000.0,114224406.25,17,64,256 36,pass
4280737000.1100793,625118813.24,16149000000000.0,126916203.125,18,64,256 40,pass
4280737000.1100793,625118813.24,17763900000000.0,139607406.25,19,64,256 44,pass
4280737000.1100793,625118813.24,19378800000000.0,152299203.125,20,64,256 48,pass
4280737000.1100793,625118813.24,20993700000000.0,164990406.25,21,64,256 52,pass
4280737000.1100793,625118813.24,22608600000000.0,177682203.125,22,64,256 56,pass
3446023128.5964794,514193455.24,6459620000000.0,50766657.62711865,23,59,256 16,pass
3446023128.5964794,514193455.24,8074520000000.0,63458157.62711865,24,59,256 20,pass
3446023128.5964794,514193455.24,9689420000000.0,76149744.0677966,25,59,256 24,pass
3446023128.5964794,514193455.24,11304300000000.0,88841245.76271187,26,59,256 28,pass
3446023128.5964794,514193455.24,12919200000000.0,101532355.9322034,27,59,256 32,pass
3446023128.5964794,514193455.24,14534100000000.0,114224305.08474576,28,59,256 36,pass
3446023128.5964794,514193455.24,16149000000000.0,126916152.54237288,29,59,256 40,pass
3446023128.5964794,514193455.24,17763900000000.0,139607305.08474576,30,59,256 44,pass
3446023128.5964794,514193455.24,19378800000000.0,152299152.54237288,31,59,256 48,pass
3446023128.5964794,514193455.24,20993700000000.0,164990305.08474576,32,59,256 52,pass
3446023128.5964794,514193455.24,22608600000000.0,177682152.54237288,33,59,256 56,pass
2649676831.37536,471842804.24,6459620000000.0,50766575.0,34,60,256 16,pass
2649676831.37536,471842804.24,8074520000000.0,63458075.0,35,60,256 20,pass
2649676831.37536,471842804.24,9689420000000.0,76149661.66666667,36,60,256 24,pass
2649676831.37536,471842804.24,11304300000000.0,88841165.0,37,60,256 28,pass
2649676831.37536,471842804.24,12919200000000.0,101532266.66666669,38,60,256 32,pass
2649676831.37536,471842804.24,14534100000000.0,114224200.0,39,60,256 36,pass
2649676831.37536,471842804.24,16149000000000.0,126916100.0,40,60,256 40,pass
2649676831.37536,471842804.24,17763900000000.0,139607200.0,41,60,256 44,pass
2649676831.37536,471842804.24,19378800000000.0,152299100.0,42,60,256 48,pass
2649676831.37536,471842804.24,20993700000000.0,164990200.0,43,60,256 52,pass
2649676831.37536,471842804.24,22608600000000.0,177682100.0,44,60,256 56,pass
2913060281.05728,545896774.24,6459620000000.0,50766652.45901639,45,61,256 16,pass
2913060281.05728,545896774.24,8074520000000.0,63458152.45901639,46,61,256 20,pass
2913060281.05728,545896774.24,9689420000000.0,76149739.3442623,47,61,256 24,pass
2913060281.05728,545896774.24,11304300000000.0,88841240.98360656,48,61,256 28,pass
2913060281.05728,545896774.24,12919200000000.0,101532344.26229508,49,61,256 32,pass
2913060281.05728,545896774.24,14534100000000.0,114224295.08196722,50,61,256 36,pass
2913060281.05728,545896774.24,16149000000000.0,126916147.5409836,51,61,256 40,pass
2913060281.05728,545896774.24,17763900000000.0,139607295.0819672,52,61,256 44,pass
2913060281.05728,545896774.24,19378800000000.0,152299147.54098362,53,61,256 48,pass
2913060281.05728,545896774.24,20993700000000.0,164990295.0819672,54,61,256 52,pass
2913060281.05728,545896774.24,22608600000000.0,177682147.54098362,55,61,256 56,pass
3147843122.6572795,636713094.24,6459620000000.0,50766706.55737705,56,61,256 16,pass
3147843122.6572795,636713094.24,8074520000000.0,63458206.55737705,57,61,256 20,pass
