DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,6 48,70,0,4.5821492050180244e+18,0.0,5715179520,0,801750704,0,6459620000000,0,pass
2,256 20,6 44,70,0,4.5821492050180244e+18,0.0,5715179520,0,801750704,0,8074520000000,0,pass
3,256 24,6 40,70,0,4.5821492050180244e+18,0.0,5715179520,0,801750704,0,9689420000000,0,pass
4,256 28,6 36,70,0,4.5821492050180244e+18,0.0,5715179520,0,801750704,0,11304300000000,0,pass
5,256 32,6 32,70,0,4.5821492050180244e+18,0.0,5715179520,0,801750704,0,12919200000000,0,pass
6,256 36,6 28,70,0,4.5821492050180244e+18,0.0,5715179520,0,801750704,0,14534100000000,0,pass
7,256 40,6 24,70,0,4.5821492050180244e+18,0.0,5715179520,0,801750704,0,16149000000000,0,pass
8,256 44,6 20,70,0,4.5821492050180244e+18,0.0,5715179520,0,801750704,0,17763900000000,0,pass
9,256 48,6 16,70,0,4.5821492050180244e+18,0.0,5715179520,0,801750704,0,19378800000000,0,pass
10,256 16,7 48,68,2,2.6676000903788815e+18,678152733994176.0,3874928640,2350951,688425604,288458897,6459620000000,3081156248,pass
11,256 20,7 44,68,2,2.6676000903788815e+18,678152733994176.0,3874928640,2350951,688425604,288458897,8074520000000,3081156248,pass
12,256 24,7 40,68,2,2.6676000903788815e+18,678152733994176.0,3874928640,2350951,688425604,288458897,9689420000000,3081156248,pass
13,256 28,7 36,68,2,2.6676000903788815e+18,678152733994176.0,3874928640,2350951,688425604,288458897,11304300000000,3081156248,pass
14,256 32,7 32,68,2,2.6676000903788815e+18,678152733994176.0,3874928640,2350951,688425604,288458897,12919200000000,3081156248,pass
15,256 36,7 28,68,2,2.6676000903788815e+18,678152733994176.0,3874928640,2350951,688425604,288458897,14534100000000,3081156248,pass
16,256 40,7 24,68,2,2.6676000903788815e+18,678152733994176.0,3874928640,2350951,688425604,288458897,16149000000000,3081156248,pass
17,256 44,7 20,68,2,2.6676000903788815e+18,678152733994176.0,3874928640,2350951,688425604,288458897,17763900000000,3081156248,pass
18,256 48,7 16,68,2,2.6676000903788815e+18,678152733994176.0,3874928640,2350951,688425604,288458897,19378800000000,3081156248,pass
19,256 16,8 48,68,2,2.6676000903788815e+18,678152733994176.0,3874928640,2350951,688425604,288458897,6459620000000,3081156248,pass
20,256 20,8 44,68,2,2.6676000903788815e+18,678152733994176.0,3874928640,2350951,688425604,288458897,8074520000000,3081156248,pass
21,256 24,8 40,68,2,2.6676000903788815e+18,678152733994176.0,3874928640,2350951,688425604,288458897,9689420000000,3081156248,pass
22,256 28,8 36,68,2,2.6676000903788815e+18,678152733994176.0,3874928640,2350951,688425604,288458897,11304300000000,3081156248,pass
23,256 32,8 32,68,2,2.6676000903788815e+18,678152733994176.0,3874928640,2350951,688425604,288458897,12919200000000,3081156248,pass
24,256 36,8 28,68,2,2.6676000903788815e+18,678152733994176.0,3874928640,2350951,688425604,288458897,14534100000000,3081156248,pass
