Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
resnext50,L0,1024,3154176,14544.7,48,3.30016e+06,8.99166e+13,7.06656e+08,51,0.773963,51,1,51,6560,384,1,1,155952,12288,1.04093e+13,151400448,1251.64,1356.6,22.632,7.06653e+08,151400448, 2428992, 2428992, 155952, 62.3306, 151400448, 12288, 12288, 12288, 12321, 151400448, 151400448, 3125824, 788544, 1, 0, 0, 0, 0, 0, 0, 64, 64, 64, 48, 64
resnext50,L1,1024,25088,244466,1024,4.18872e+06,8.99166e+13,7.06655e+08,1088,64.3087,1088,1,1088,2208,6,1,1,200704,8192,1.05087e+11,25690112,1251.64,21.1968,7.6176,7.06653e+08,25690112, 1605184, 1605184, 200704, 16.0045, 25690112, 8192, 8192, 8192, 3136, 25690112, 25690112, 401408, 401408, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1024, 16
resnext50,L2,1024,13436928,7.95139e+06,1024,128783,8.99166e+13,7.06663e+08,1088,114.102,1088,1,1088,692224,1728,1,1,12845056,4718592,1.73044e+12,13759414272,1251.64,6104.68,2388.17,7.06653e+08,13759414272, 297142272, 297142272, 12845056, 46.3058, 13759414272, 4718592, 4718592, 4718592, 2916, 13759414272, 13759414272, 1528823808, 1528823808, 1, 0, 0, 0, 0, 0, 0, 288, 288, 288, 1024, 48
resnext50,L3,1024,100352,2.14195e+07,1024,47806.8,8.99166e+13,7.06655e+08,1088,64.317,1088,1,1088,2208,6,1,1,401408,32768,4.79751e+09,102760448,1251.64,21.1968,7.6176,7.06653e+08,102760448, 6421568, 6421568, 401408, 16.0024, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 802816, 1605632, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1024, 16
resnext50,L4,1024,50176,179497,1024,5.70482e+06,8.99166e+13,7.06655e+08,1088,64.3074,1088,1,1088,2208,6,1,1,200704,16384,2.86245e+11,51380224,1251.64,21.1968,7.6176,7.06653e+08,51380224, 3210304, 3210304, 200704, 16.0048, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 802816, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1024, 16
resnext50,L5,1024,3136,11848.8,256,2.16056e+07,8.99166e+13,7.06655e+08,512,256.082,512,1,512,1534,6,1,1,802816,256,6.77551e+10,802816,1251.64,21.1968,5.2923,7.06653e+08,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 799680, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 256, 1
resnext50,L6,1024,100352,39629,1024,2.58397e+07,8.99166e+13,7.06655e+08,1088,64.3221,1088,1,1088,2208,6,1,1,802816,32768,2.59306e+12,102760448,1251.64,21.1968,7.6176,7.06653e+08,102760448, 6422080, 6422080, 802816, 16.0011, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 401408, 1605632, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1024, 16
resnext50,L7,1024,13436928,8.07238e+06,1024,126852,8.99166e+13,7.06663e+08,1088,114.102,1088,1,1088,692224,1728,1,1,12845056,4718592,1.70451e+12,13759414272,1251.64,6104.68,2388.17,7.06653e+08,13759414272, 297142272, 297142272, 12845056, 46.3058, 13759414272, 4718592, 4718592, 4718592, 2916, 13759414272, 13759414272, 1528823808, 1528823808, 1, 0, 0, 0, 0, 0, 0, 288, 288, 288, 1024, 48
resnext50,L8,1024,100352,2.14195e+07,1024,47806.8,8.99166e+13,7.06655e+08,1088,64.317,1088,1,1088,2208,6,1,1,401408,32768,4.79751e+09,102760448,1251.64,21.1968,7.6176,7.06653e+08,102760448, 6421568, 6421568, 401408, 16.0024, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 802816, 1605632, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1024, 16
resnext50,L9,1024,3136,11848.8,256,2.16056e+07,8.99166e+13,7.06655e+08,512,256.082,512,1,512,1534,6,1,1,802816,256,6.77551e+10,802816,1251.64,21.1968,5.2923,7.06653e+08,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 799680, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 256, 1
