Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
resnext50,L0,1024,170496,36270.6,888,2.44827e+07,8.99166e+13,7.06657e+08,63,35.8386,63,1,63,23296,528,1,1,155952,12288,4.17419e+12,151400448,1251.64,1865.32,80.3712,7.06653e+08,151400448, 2365632, 2365632, 155952, 64, 151400448, 1251328, 1251328, 12288, 120.992, 151400448, 151400448, 3125824, 4688640, 1, 0, 0, 0, 0, 0, 0, 128, 128, 128, 888, 111
resnext50,L1,1024,458752,349077,56,160423,8.99166e+13,7.06655e+08,56,56,56,1,56,1936,66,1,1,200704,8192,7.35945e+10,25690112,1251.64,233.165,6.6792,7.06653e+08,25690112, 200704, 200704, 200704, 128, 25690112, 457872, 457872, 8192, 56.1076, 25690112, 25690112, 401408, 25690112, 1, 0, 0, 0, 0, 0, 0, 16, 16, 16, 56, 56
resnext50,L2,1024,84934656,8.20867e+06,162,19735.2,8.99166e+13,7.06677e+08,18,18,18,1,18,95616,6336,1,1,12845056,4718592,1.67621e+12,13759414272,1251.64,22383.8,329.875,7.06653e+08,13759414272, 107495424, 107495424, 12845056, 128, 13759414272, 254559744, 254559744, 4718592, 54.0518, 13759414272, 13759414272, 1528823808, 1528823808, 1, 0, 0, 0, 0, 0, 0, 1536, 1536, 1536, 162, 54
resnext50,L3,1024,1835008,2.18577e+07,56,2562.02,8.99166e+13,7.06655e+08,56,56,56,1,56,1936,66,1,1,401408,32768,4.70133e+09,102760448,1251.64,233.165,6.6792,7.06653e+08,102760448, 401408, 401408, 401408, 256, 102760448, 1834128, 1834128, 32768, 56.0269, 102760448, 102760448, 802816, 102760448, 1, 0, 0, 0, 0, 0, 0, 16, 16, 16, 56, 56
resnext50,L4,1024,917504,385325,56,145332,8.99166e+13,7.06655e+08,56,56,56,1,56,1936,66,1,1,200704,16384,1.33343e+11,51380224,1251.64,233.165,6.6792,7.06653e+08,51380224, 200704, 200704, 200704, 256, 51380224, 916624, 916624, 16384, 56.0538, 51380224, 51380224, 802816, 51380224, 1, 0, 0, 0, 0, 0, 0, 16, 16, 16, 56, 56
resnext50,L5,1024,3136,11848.8,256,2.16056e+07,8.99166e+13,7.06655e+08,512,256.082,512,1,512,1534,6,1,1,802816,256,6.77551e+10,802816,1251.64,21.1968,5.2923,7.06653e+08,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 799680, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 256, 1
resnext50,L6,1024,1835008,456260,56,122737,8.99166e+13,7.06655e+08,56,56,56,1,56,1936,66,1,1,802816,32768,2.25223e+11,102760448,1251.64,233.165,6.6792,7.06653e+08,102760448, 802816, 802816, 802816, 128, 102760448, 1834128, 1834128, 32768, 56.0269, 102760448, 102760448, 401408, 102760448, 1, 0, 0, 0, 0, 0, 0, 16, 16, 16, 56, 56
resnext50,L7,1024,84934656,8.32855e+06,162,19451.2,8.99166e+13,7.06677e+08,18,18,18,1,18,95616,6336,1,1,12845056,4718592,1.65208e+12,13759414272,1251.64,22383.8,329.875,7.06653e+08,13759414272, 107495424, 107495424, 12845056, 128, 13759414272, 254559744, 254559744, 4718592, 54.0518, 13759414272, 13759414272, 1528823808, 1528823808, 1, 0, 0, 0, 0, 0, 0, 1536, 1536, 1536, 162, 54
resnext50,L8,1024,1835008,2.18577e+07,56,2562.02,8.99166e+13,7.06655e+08,56,56,56,1,56,1936,66,1,1,401408,32768,4.70133e+09,102760448,1251.64,233.165,6.6792,7.06653e+08,102760448, 401408, 401408, 401408, 256, 102760448, 1834128, 1834128, 32768, 56.0269, 102760448, 102760448, 802816, 102760448, 1, 0, 0, 0, 0, 0, 0, 16, 16, 16, 56, 56
resnext50,L9,1024,3136,11848.8,256,2.16056e+07,8.99166e+13,7.06655e+08,512,256.082,512,1,512,1534,6,1,1,802816,256,6.77551e+10,802816,1251.64,21.1968,5.2923,7.06653e+08,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 799680, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 256, 1
