Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
resnext50,L0,4096,582169,6164.38,192,3.11467e+07,4.10461e+14,3.22578e+09,195,1.33777,195,1,195,19238,294,1,1,150528,9408,1.81326e+13,111776448,5006.54,4154.57,66.3711,3.22577e+09,111776448, 510447, 510447, 150528, 218.978, 111776448, 9408, 9408, 9408, 11881, 111776448, 111776448, 3041536, 760384, 1, 0, 0, 0, 0, 0, 0, 49, 49, 49, 192, 224
resnext50,L1,4096,6272,177328,4096,2.30985e+07,4.10461e+14,3.22577e+09,4160,65.2959,4160,1,4160,8448,6,1,1,200704,8192,1.44874e+11,25690112,5006.54,84.7872,29.1456,3.22577e+09,25690112, 401344, 401344, 200704, 64.0102, 25690112, 8192, 8192, 8192, 3136, 25690112, 25690112, 401408, 401408, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 4096, 64
resnext50,L2,4096,3359232,6.99709e+06,4096,585386,4.10461e+14,3.22581e+09,4160,456.376,4160,1,4160,2658304,1728,1,1,12845056,4718592,1.96645e+12,13759414272,5006.54,24418.7,9171.15,3.22577e+09,13759414272, 74299392, 74299392, 12845056, 185.189, 13759414272, 4718592, 4718592, 4718592, 2916, 13759414272, 13759414272, 1528823808, 1528823808, 1, 0, 0, 0, 0, 0, 0, 288, 288, 288, 4096, 192
resnext50,L3,4096,25088,2.13128e+07,4096,192185,4.10461e+14,3.22577e+09,4160,65.2985,4160,1,4160,8448,6,1,1,401408,32768,4.82153e+09,102760448,5006.54,84.7872,29.1456,3.22577e+09,102760448, 1605440, 1605440, 401408, 64.0077, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 802816, 1605632, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 4096, 64
resnext50,L4,4096,12544,167331,4096,2.44785e+07,4.10461e+14,3.22577e+09,4160,65.2908,4160,1,4160,8448,6,1,1,200704,16384,3.07058e+11,51380224,5006.54,84.7872,29.1456,3.22577e+09,51380224, 802624, 802624, 200704, 64.0153, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 802816, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 4096, 64
resnext50,L5,4096,3136,11848.8,256,2.16056e+07,4.10461e+14,3.22577e+09,512,256.082,512,1,512,1534,6,1,1,802816,256,6.77551e+10,802816,5006.54,84.7872,5.2923,3.22577e+09,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 799680, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 256, 1
resnext50,L6,4096,25088,19012.8,4096,2.15433e+08,4.10461e+14,3.22577e+09,4160,65.3036,4160,1,4160,8448,6,1,1,802816,32768,5.40479e+12,102760448,5006.54,84.7872,29.1456,3.22577e+09,102760448, 1605568, 1605568, 802816, 64.0026, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 401408, 1605632, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 4096, 64
resnext50,L7,4096,3359232,7.11668e+06,4096,575549,4.10461e+14,3.22581e+09,4160,456.376,4160,1,4160,2658304,1728,1,1,12845056,4718592,1.9334e+12,13759414272,5006.54,24418.7,9171.15,3.22577e+09,13759414272, 74299392, 74299392, 12845056, 185.189, 13759414272, 4718592, 4718592, 4718592, 2916, 13759414272, 13759414272, 1528823808, 1528823808, 1, 0, 0, 0, 0, 0, 0, 288, 288, 288, 4096, 192
resnext50,L8,4096,25088,2.13128e+07,4096,192185,4.10461e+14,3.22577e+09,4160,65.2985,4160,1,4160,8448,6,1,1,401408,32768,4.82153e+09,102760448,5006.54,84.7872,29.1456,3.22577e+09,102760448, 1605440, 1605440, 401408, 64.0077, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 802816, 1605632, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 4096, 64
resnext50,L9,4096,3136,11848.8,256,2.16056e+07,4.10461e+14,3.22577e+09,512,256.082,512,1,512,1534,6,1,1,802816,256,6.77551e+10,802816,5006.54,84.7872,5.2923,3.22577e+09,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 799680, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 256, 1
