Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
resnext50,L0,1024,1363968,182413,111,608510,5.13812e+13,4.03805e+08,112,27.691,112,1,112,14776,384,1,1,155952,12288,8.29988e+11,151400448,1251.64,1356.6,50.9772,4.03802e+08,151400448, 37747648, 37747648, 155952, 4.01086, 151400448, 12288, 12288, 12288, 12321, 151400448, 151400448, 3125824, 4688640, 1, 0, 0, 0, 0, 0, 0, 64, 64, 64, 111, 4
resnext50,L1,1024,57344,468927,448,955372,5.13812e+13,4.03803e+08,449,448,449,1,449,1794,6,1,1,200704,8192,5.47849e+10,25690112,1251.64,21.1968,6.1893,4.03802e+08,25690112, 25568704, 25568704, 200704, 1.00475, 25690112, 8192, 8192, 8192, 3136, 25690112, 25690112, 401408, 25690112, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 448, 1
resnext50,L2,1024,33030144,2.36647e+07,324,13691.3,5.13812e+13,4.0381e+08,145,130.541,145,1,145,104256,1728,1,1,12845056,4718592,4.52225e+11,10701766656,1251.64,6104.68,359.683,4.03802e+08,10701766656, 4305789440, 4305789440, 12845056, 2.48544, 10701766656, 4718592, 4718592, 4718592, 2268, 10701766656, 10701766656, 1528823808, 1189085184, 1, 0, 0, 0, 0, 0, 0, 288, 288, 288, 324, 2.25
resnext50,L3,1024,229376,1.90863e+07,448,23472.3,5.13812e+13,4.03803e+08,449,448,449,1,449,1794,6,1,1,401408,32768,5.38398e+09,102760448,1251.64,21.1968,6.1893,4.03802e+08,102760448, 102386112, 102386112, 401408, 1.00366, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 802816, 102760448, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 448, 1
resnext50,L4,1024,114688,638205,448,701969,5.13812e+13,4.03803e+08,449,448,449,1,449,1794,6,1,1,200704,16384,8.05074e+10,51380224,1251.64,21.1968,6.1893,4.03802e+08,51380224, 51136960, 51136960, 200704, 1.00476, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 51380224, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 448, 1
resnext50,L5,1024,14336,11861,56,4.72135e+06,5.13812e+13,4.03803e+08,57,56.0001,57,1,57,226,6,1,1,802816,256,6.76852e+10,802816,1251.64,21.1968,0.7797,4.03802e+08,802816, 802561, 802561, 802816, 1.00032, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1
resnext50,L6,1024,229376,883598,448,507018,5.13812e+13,4.03803e+08,449,448,449,1,449,1794,6,1,1,802816,32768,1.16298e+11,102760448,1251.64,21.1968,6.1893,4.03802e+08,102760448, 102442432, 102442432, 802816, 1.0031, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 401408, 102760448, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 448, 1
resnext50,L7,1024,33030144,2.38135e+07,324,13605.7,5.13812e+13,4.0381e+08,145,130.541,145,1,145,104256,1728,1,1,12845056,4718592,4.49399e+11,10701766656,1251.64,6104.68,359.683,4.03802e+08,10701766656, 4305789440, 4305789440, 12845056, 2.48544, 10701766656, 4718592, 4718592, 4718592, 2268, 10701766656, 10701766656, 1528823808, 1189085184, 1, 0, 0, 0, 0, 0, 0, 288, 288, 288, 324, 2.25
resnext50,L8,1024,229376,1.90863e+07,448,23472.3,5.13812e+13,4.03803e+08,449,448,449,1,449,1794,6,1,1,401408,32768,5.38398e+09,102760448,1251.64,21.1968,6.1893,4.03802e+08,102760448, 102386112, 102386112, 401408, 1.00366, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 802816, 102760448, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 448, 1
resnext50,L9,1024,14336,11861,56,4.72135e+06,5.13812e+13,4.03803e+08,57,56.0001,57,1,57,226,6,1,1,802816,256,6.76852e+10,802816,1251.64,21.1968,0.7797,4.03802e+08,802816, 802561, 802561, 802816, 1.00032, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1
