DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,70,414731026.11529785,49431022825.3613,20780.26853593016,4473187932.48788,41 64,pass
1,7,115743978.5877277,861398521.0853844,363.9599727857077,1309151805.867134,4 48,pass
2,7,115743978.5877277,861398521.0853844,363.9599727857077,1309151805.867134,4 44,pass
3,7,115743978.5877277,861398521.0853844,363.9599727857077,1309151805.867134,4 40,pass
4,7,115743978.5877277,861398521.0853844,363.9599727857077,1309151805.867134,4 36,pass
5,7,115743978.5877277,861398521.0853844,363.9599727857077,1309151805.867134,4 32,pass
6,7,115743978.5877277,861398521.0853844,363.9599727857077,1309151805.867134,4 28,pass
7,7,115743978.5877277,861398521.0853844,363.9599727857077,1309151805.867134,4 24,pass
8,7,115743978.5877277,861398521.0853844,363.9599727857077,1309151805.867134,4 20,pass
9,7,115743978.5877277,861398521.0853844,363.9599727857077,1309151805.867134,4 16,pass
10,8,117624483.38857897,1490882055.7247038,629.9307221291094,1455245768.7299695,5 48,pass
11,8,117624483.38857897,1490882055.7247038,629.9307221291094,1455245768.7299695,5 44,pass
12,8,117624483.38857897,1490882055.7247038,629.9307221291094,1455245768.7299695,5 40,pass
13,8,117624483.38857897,1490882055.7247038,629.9307221291094,1455245768.7299695,5 36,pass
14,8,117624483.38857897,1490882055.7247038,629.9307221291094,1455245768.7299695,5 32,pass
15,8,117624483.38857897,1490882055.7247038,629.9307221291094,1455245768.7299695,5 28,pass
16,8,117624483.38857897,1490882055.7247038,629.9307221291094,1455245768.7299695,5 24,pass
17,8,117624483.38857897,1490882055.7247038,629.9307221291094,1455245768.7299695,5 20,pass
18,8,117624483.38857897,1490882055.7247038,629.9307221291094,1455245768.7299695,5 16,pass
19,9,119482348.1894302,2120365590.3640232,895.9014714725113,1599240039.939885,6 48,pass
20,9,119482348.1894302,2120365590.3640232,895.9014714725113,1599240039.939885,6 44,pass
21,9,119482348.1894302,2120365590.3640232,895.9014714725113,1599240039.939885,6 40,pass
22,9,119482348.1894302,2120365590.3640232,895.9014714725113,1599240039.939885,6 36,pass
23,9,119482348.1894302,2120365590.3640232,895.9014714725113,1599240039.939885,6 32,pass
24,9,119482348.1894302,2120365590.3640232,895.9014714725113,1599240039.939885,6 28,pass
25,9,119482348.1894302,2120365590.3640232,895.9014714725113,1599240039.939885,6 24,pass
26,9,119482348.1894302,2120365590.3640232,895.9014714725113,1599240039.939885,6 20,pass
27,9,119482348.1894302,2120365590.3640232,895.9014714725113,1599240039.939885,6 16,pass
28,11,123198077.79113272,3379332659.642662,1427.842970159315,1887228582.359715,7 48,pass
29,11,123198077.79113272,3379332659.642662,1427.842970159315,1887228582.359715,7 44,pass
30,11,123198077.79113272,3379332659.642662,1427.842970159315,1887228582.359715,7 40,pass
31,11,123198077.79113272,3379332659.642662,1427.842970159315,1887228582.359715,7 36,pass
32,11,123198077.79113272,3379332659.642662,1427.842970159315,1887228582.359715,7 32,pass
33,11,123198077.79113272,3379332659.642662,1427.842970159315,1887228582.359715,7 28,pass
34,11,123198077.79113272,3379332659.642662,1427.842970159315,1887228582.359715,7 24,pass
35,11,123198077.79113272,3379332659.642662,1427.842970159315,1887228582.359715,7 20,pass
36,11,123198077.79113272,3379332659.642662,1427.842970159315,1887228582.359715,7 16,pass
37,12,125055942.59198396,4008816194.2819815,1693.8137195027168,2031222853.56963,8 48,pass
38,12,125055942.59198396,4008816194.2819815,1693.8137195027168,2031222853.56963,8 44,pass
39,12,125055942.59198396,4008816194.2819815,1693.8137195027168,2031222853.56963,8 40,pass
40,12,125055942.59198396,4008816194.2819815,1693.8137195027168,2031222853.56963,8 36,pass
41,12,125055942.59198396,4008816194.2819815,1693.8137195027168,2031222853.56963,8 32,pass
42,12,125055942.59198396,4008816194.2819815,1693.8137195027168,2031222853.56963,8 28,pass
43,12,125055942.59198396,4008816194.2819815,1693.8137195027168,2031222853.56963,8 24,pass
44,12,125055942.59198396,4008816194.2819815,1693.8137195027168,2031222853.56963,8 20,pass
45,12,125055942.59198396,4008816194.2819815,1693.8137195027168,2031222853.56963,8 16,pass
46,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,9 48,pass
47,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,9 44,pass
48,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,9 40,pass
49,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,9 36,pass
50,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,9 32,pass
51,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,9 28,pass
52,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,9 24,pass
53,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,9 20,pass
54,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,9 16,pass
55,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,10 48,pass
56,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,10 44,pass
57,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,10 40,pass
58,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,10 36,pass
59,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,10 32,pass
60,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,10 28,pass
61,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,10 24,pass
62,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,10 20,pass
63,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,10 16,pass
64,14,127384253.59304804,7089972442.779703,2995.67054523621,2317582059.4808164,11 48,pass
65,14,127384253.59304804,7089972442.779703,2995.67054523621,2317582059.4808164,11 44,pass
66,14,127384253.59304804,7089972442.779703,2995.67054523621,2317582059.4808164,11 40,pass
67,14,127384253.59304804,7089972442.779703,2995.67054523621,2317582059.4808164,11 36,pass
68,14,127384253.59304804,7089972442.779703,2995.67054523621,2317582059.4808164,11 32,pass
69,14,127384253.59304804,7089972442.779703,2995.67054523621,2317582059.4808164,11 28,pass
70,14,127384253.59304804,7089972442.779703,2995.67054523621,2317582059.4808164,11 24,pass
71,14,127384253.59304804,7089972442.779703,2995.67054523621,2317582059.4808164,11 20,pass
72,14,127384253.59304804,7089972442.779703,2995.67054523621,2317582059.4808164,11 16,pass
73,15,127849279.79326089,9541645156.638103,4031.556621626301,2457989185.295906,12 48,pass
74,15,127849279.79326089,9541645156.638103,4031.556621626301,2457989185.295906,12 44,pass
75,15,127849279.79326089,9541645156.638103,4031.556621626301,2457989185.295906,12 40,pass
76,15,127849279.79326089,9541645156.638103,4031.556621626301,2457989185.295906,12 36,pass
77,15,127849279.79326089,9541645156.638103,4031.556621626301,2457989185.295906,12 32,pass
78,15,127849279.79326089,9541645156.638103,4031.556621626301,2457989185.295906,12 28,pass
79,15,127849279.79326089,9541645156.638103,4031.556621626301,2457989185.295906,12 24,pass
80,15,127849279.79326089,9541645156.638103,4031.556621626301,2457989185.295906,12 20,pass
81,15,127849279.79326089,9541645156.638103,4031.556621626301,2457989185.295906,12 16,pass
82,15,127849279.79326089,9541645156.638103,4031.556621626301,2457989185.295906,13 48,pass
83,15,127849279.79326089,9541645156.638103,4031.556621626301,2457989185.295906,13 44,pass
84,15,127849279.79326089,9541645156.638103,4031.556621626301,2457989185.295906,13 40,pass
85,15,127849279.79326089,9541645156.638103,4031.556621626301,2457989185.295906,13 36,pass
86,15,127849279.79326089,9541645156.638103,4031.556621626301,2457989185.295906,13 32,pass
87,15,127849279.79326089,9541645156.638103,4031.556621626301,2457989185.295906,13 28,pass
88,15,127849279.79326089,9541645156.638103,4031.556621626301,2457989185.295906,13 24,pass
89,15,127849279.79326089,9541645156.638103,4031.556621626301,2457989185.295906,13 20,pass
90,15,127849279.79326089,9541645156.638103,4031.556621626301,2457989185.295906,13 16,pass
91,18,165358363.4629528,12390886418.689762,5210.419660292872,2922412545.5698266,14 48,pass
92,18,165368263.46295276,12390886418.689762,5210.419660292872,2922412545.5698266,14 44,pass
93,18,165380143.46295282,12390886418.689762,5210.419660292872,2922412545.5698266,14 40,pass
94,18,165394663.4629528,12390886418.689762,5210.419660292872,2922412545.5698266,14 36,pass
95,18,165412813.4629528,12390886418.689762,5210.419660292872,2922412545.5698266,14 32,pass
96,18,165436149.17723846,12390886418.689762,5210.419660292872,2922412545.5698266,14 28,pass
97,18,165467263.4629528,12390886418.689762,5210.419660292872,2922412545.5698266,14 24,pass
98,18,165510823.46295282,12390886418.689762,5210.419660292872,2922412545.5698266,14 20,pass
99,18,165576163.4629528,12390886418.689762,5210.419660292872,2922412545.5698266,14 16,pass
100,19,167238868.26380405,13616722775.61896,5728.362698487917,3206911315.3553486,15 48,pass
101,19,167248768.26380402,13616722775.61896,5728.362698487917,3206911315.3553486,15 44,pass
102,19,167260648.26380408,13616722775.61896,5728.362698487917,3206911315.3553486,15 40,pass
103,19,167275168.26380405,13616722775.61896,5728.362698487917,3206911315.3553486,15 36,pass
104,19,167293318.26380405,13616722775.61896,5728.362698487917,3206911315.3553486,15 32,pass
105,19,167316653.97808972,13616722775.61896,5728.362698487917,3206911315.3553486,15 28,pass
106,19,167347768.26380405,13616722775.61896,5728.362698487917,3206911315.3553486,15 24,pass
107,19,167391328.26380408,13616722775.61896,5728.362698487917,3206911315.3553486,15 20,pass
108,19,167456668.26380405,13616722775.61896,5728.362698487917,3206911315.3553486,15 16,pass
109,19,167238868.26380405,13616722775.61896,5728.362698487917,3206911315.3553486,16 48,pass
110,19,167248768.26380402,13616722775.61896,5728.362698487917,3206911315.3553486,16 44,pass
111,19,167260648.26380408,13616722775.61896,5728.362698487917,3206911315.3553486,16 40,pass
112,19,167275168.26380405,13616722775.61896,5728.362698487917,3206911315.3553486,16 36,pass
113,19,167293318.26380405,13616722775.61896,5728.362698487917,3206911315.3553486,16 32,pass
114,19,167316653.97808972,13616722775.61896,5728.362698487917,3206911315.3553486,16 28,pass
115,19,167347768.26380405,13616722775.61896,5728.362698487917,3206911315.3553486,16 24,pass
116,19,167391328.26380408,13616722775.61896,5728.362698487917,3206911315.3553486,16 20,pass
117,19,167456668.26380405,13616722775.61896,5728.362698487917,3206911315.3553486,16 16,pass
118,36,320249955.6161753,19414597436.770588,8118.6705951004915,3957513527.8820457,17 48,pass
119,36,320259855.6161753,19414597436.770588,8118.6705951004915,3957513527.8820457,17 44,pass
120,36,320271735.6161753,19414597436.770588,8118.6705951004915,3957513527.8820457,17 40,pass
121,36,320286255.6161753,19414597436.770588,8118.6705951004915,3957513527.8820457,17 36,pass
122,36,320304405.6161753,19414597436.770588,8118.6705951004915,3957513527.8820457,17 32,pass
123,36,320327741.33046097,19414597436.770588,8118.6705951004915,3957513527.8820457,17 28,pass
124,36,320358855.6161753,19414597436.770588,8118.6705951004915,3957513527.8820457,17 24,pass
125,36,320402415.6161753,19414597436.770588,8118.6705951004915,3957513527.8820457,17 20,pass
126,36,320467755.6161753,19414597436.770588,8118.6705951004915,3957513527.8820457,17 16,pass
127,48,340310256.0251138,21800008725.930115,9126.699336239384,4333631432.306637,18 48,pass
128,48,340320156.0251138,21800008725.930115,9126.699336239384,4333631432.306637,18 44,pass
129,48,340332036.0251139,21800008725.930115,9126.699336239384,4333631432.306637,18 40,pass
130,48,340346556.0251138,21800008725.930115,9126.699336239384,4333631432.306637,18 36,pass
