DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,70,8732997200.625,489275989.86,410461000000000.0,3225790714.285714,4096 64,pass
1,70,8732997476.25,489275995.53,25690900000000.0,201908042.85714287,1024 16,pass
2,70,8732997476.25,489275995.53,32113400000000.0,252383057.1428572,1024 20,pass
3,70,8732997476.25,489275995.53,38536000000000.0,302858157.14285713,1024 24,pass
4,70,8732997476.25,489275995.53,44958600000000.0,353333328.5714286,1024 28,pass
5,70,8732997476.25,489275995.53,51381200000000.0,403808814.2857143,1024 32,pass
6,70,8732997476.25,489275995.53,57803700000000.0,454284042.85714287,1024 36,pass
7,70,8732997476.25,489275995.53,64226300000000.0,504759057.14285713,1024 40,pass
8,70,8732997476.25,489275995.53,70648900000000.0,555234200.0,1024 44,pass
9,70,8732997476.25,489275995.53,77071500000000.0,605709328.5714285,1024 48,pass
10,70,8732997476.25,489275995.53,25690900000000.0,201908042.85714287,1024 16,pass
11,70,8732997476.25,489275995.53,32113400000000.0,252383057.1428572,1024 20,pass
12,70,8732997476.25,489275995.53,38536000000000.0,302858157.14285713,1024 24,pass
13,70,8732997476.25,489275995.53,44958600000000.0,353333328.5714286,1024 28,pass
14,70,8732997476.25,489275995.53,51381200000000.0,403808814.2857143,1024 32,pass
15,70,8732997476.25,489275995.53,57803700000000.0,454284042.85714287,1024 36,pass
16,70,8732997476.25,489275995.53,64226300000000.0,504759057.14285713,1024 40,pass
17,70,8732997476.25,489275995.53,70648900000000.0,555234200.0,1024 44,pass
18,70,8732997476.25,489275995.53,77071500000000.0,605709328.5714285,1024 48,pass
19,70,8732997476.25,489275995.53,25690900000000.0,201908042.85714287,1024 16,pass
20,70,8732997476.25,489275995.53,32113400000000.0,252383057.1428572,1024 20,pass
21,70,8732997476.25,489275995.53,38536000000000.0,302858157.14285713,1024 24,pass
22,70,8732997476.25,489275995.53,44958600000000.0,353333328.5714286,1024 28,pass
23,70,8732997476.25,489275995.53,51381200000000.0,403808814.2857143,1024 32,pass
24,70,8732997476.25,489275995.53,57803700000000.0,454284042.85714287,1024 36,pass
25,70,8732997476.25,489275995.53,64226300000000.0,504759057.14285713,1024 40,pass
26,70,8732997476.25,489275995.53,70648900000000.0,555234200.0,1024 44,pass
27,70,8732997476.25,489275995.53,77071500000000.0,605709328.5714285,1024 48,pass
28,69,7600535396.25,470347295.53,25690900000000.0,201907797.10144928,1024 16,pass
29,69,7600535396.25,470347295.53,32113400000000.0,252382811.5942029,1024 20,pass
30,69,7600535396.25,470347295.53,38536000000000.0,302857913.04347825,1024 24,pass
31,69,7600535396.25,470347295.53,44958600000000.0,353333072.4637681,1024 28,pass
32,69,7600535396.25,470347295.53,51381200000000.0,403808565.2173913,1024 32,pass
33,69,7600535396.25,470347295.53,57803700000000.0,454283797.10144925,1024 36,pass
34,69,7600535396.25,470347295.53,64226300000000.0,504758811.5942029,1024 40,pass
35,69,7600535396.25,470347295.53,70648900000000.0,555233956.5217391,1024 44,pass
36,69,7600535396.25,470347295.53,77071500000000.0,605709072.4637681,1024 48,pass
37,69,7600535396.25,470347295.53,25690900000000.0,201907797.10144928,1024 16,pass
38,69,7600535396.25,470347295.53,32113400000000.0,252382811.5942029,1024 20,pass
39,69,7600535396.25,470347295.53,38536000000000.0,302857913.04347825,1024 24,pass
40,69,7600535396.25,470347295.53,44958600000000.0,353333072.4637681,1024 28,pass
41,69,7600535396.25,470347295.53,51381200000000.0,403808565.2173913,1024 32,pass
42,69,7600535396.25,470347295.53,57803700000000.0,454283797.10144925,1024 36,pass
