DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,70,25355374080.0,639974737.0599998,410461000000000.0,3225777000.0,4096 64,pass
1,70,25355374080.0,639974737.0599998,25690900000000.0,201904385.7142857,1024 16,fail
2,70,25355374080.0,639974737.0599998,32113400000000.0,252379385.7142857,1024 20,fail
3,70,25355374080.0,639974737.0599998,38536000000000.0,302854385.71428573,1024 24,fail
4,70,25355374080.0,639974737.0599998,44958600000000.0,353329400.0,1024 28,fail
5,70,25355374080.0,639974737.0599998,51381200000000.0,403804542.85714287,1024 32,fail
6,70,25355374080.0,639974737.0599998,57803700000000.0,454280385.7142857,1024 36,fail
7,70,25355374080.0,639974737.0599998,64226300000000.0,504755385.7142857,1024 40,fail
8,70,25355374080.0,639974737.0599998,70648900000000.0,555230385.7142857,1024 44,fail
9,70,25355374080.0,639974737.0599998,77071500000000.0,605705400.0,1024 48,fail
10,70,25355374080.0,639974737.0599998,25690900000000.0,201904385.7142857,1024 16,fail
11,70,25355374080.0,639974737.0599998,32113400000000.0,252379385.7142857,1024 20,fail
12,70,25355374080.0,639974737.0599998,38536000000000.0,302854385.71428573,1024 24,fail
13,70,25355374080.0,639974737.0599998,44958600000000.0,353329400.0,1024 28,fail
14,70,25355374080.0,639974737.0599998,51381200000000.0,403804542.85714287,1024 32,fail
15,70,25355374080.0,639974737.0599998,57803700000000.0,454280385.7142857,1024 36,fail
16,70,25355374080.0,639974737.0599998,64226300000000.0,504755385.7142857,1024 40,fail
17,70,25355374080.0,639974737.0599998,70648900000000.0,555230385.7142857,1024 44,fail
18,70,25355374080.0,639974737.0599998,77071500000000.0,605705400.0,1024 48,fail
19,70,25355374080.0,639974737.0599998,25690900000000.0,201904385.7142857,1024 16,fail
20,70,25355374080.0,639974737.0599998,32113400000000.0,252379385.7142857,1024 20,fail
21,70,25355374080.0,639974737.0599998,38536000000000.0,302854385.71428573,1024 24,fail
22,70,25355374080.0,639974737.0599998,44958600000000.0,353329400.0,1024 28,fail
23,70,25355374080.0,639974737.0599998,51381200000000.0,403804542.85714287,1024 32,fail
24,70,25355374080.0,639974737.0599998,57803700000000.0,454280385.7142857,1024 36,fail
25,70,25355374080.0,639974737.0599998,64226300000000.0,504755385.7142857,1024 40,fail
26,70,25355374080.0,639974737.0599998,70648900000000.0,555230385.7142857,1024 44,fail
27,70,25355374080.0,639974737.0599998,77071500000000.0,605705400.0,1024 48,fail
28,69,21957987840.0,582470337.06,25690900000000.0,201904318.8405797,1024 16,pass
29,69,21957987840.0,582470337.06,32113400000000.0,252379318.8405797,1024 20,pass
30,69,21957987840.0,582470337.06,38536000000000.0,302854318.8405797,1024 24,pass
31,69,21957987840.0,582470337.06,44958600000000.0,353329333.3333333,1024 28,pass
32,69,21957987840.0,582470337.06,51381200000000.0,403804478.2608696,1024 32,pass
33,69,21957987840.0,582470337.06,57803700000000.0,454280318.8405797,1024 36,pass
34,69,21957987840.0,582470337.06,64226300000000.0,504755318.8405797,1024 40,pass
35,69,21957987840.0,582470337.06,70648900000000.0,555230318.8405797,1024 44,pass
36,69,21957987840.0,582470337.06,77071500000000.0,605705333.3333334,1024 48,pass
37,69,21957987840.0,582470337.06,25690900000000.0,201904318.8405797,1024 16,pass
38,69,21957987840.0,582470337.06,32113400000000.0,252379318.8405797,1024 20,pass
39,69,21957987840.0,582470337.06,38536000000000.0,302854318.8405797,1024 24,pass
40,69,21957987840.0,582470337.06,44958600000000.0,353329333.3333333,1024 28,pass
41,69,21957987840.0,582470337.06,51381200000000.0,403804478.2608696,1024 32,pass
42,69,21957987840.0,582470337.06,57803700000000.0,454280318.8405797,1024 36,pass
43,69,21957987840.0,582470337.06,64226300000000.0,504755318.8405797,1024 40,pass
44,69,21957987840.0,582470337.06,70648900000000.0,555230318.8405797,1024 44,pass
45,69,21957987840.0,582470337.06,77071500000000.0,605705333.3333334,1024 48,pass
46,68,19126832640.0,557928137.06,25690900000000.0,201904250.0,1024 16,pass
47,68,19126832640.0,557928137.06,32113400000000.0,252379250.0,1024 20,pass
48,68,19126832640.0,557928137.06,38536000000000.0,302854250.0,1024 24,pass
49,68,19126832640.0,557928137.06,44958600000000.0,353329264.7058824,1024 28,pass
50,68,19126832640.0,557928137.06,51381200000000.0,403804411.7647059,1024 32,pass
51,68,19126832640.0,557928137.06,57803700000000.0,454280250.0,1024 36,pass
52,68,19126832640.0,557928137.06,64226300000000.0,504755250.0,1024 40,pass
53,68,19126832640.0,557928137.06,70648900000000.0,555230250.0,1024 44,pass
