DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,70,414731026.11529785,49431022825.3613,20780.26853593016,4473187932.48788,41 64,pass
1,0,0.0,0.0,0.0,0.0,4 48,fail
2,0,0.0,0.0,0.0,0.0,4 44,fail
3,0,0.0,0.0,0.0,0.0,4 40,fail
4,0,0.0,0.0,0.0,0.0,4 36,fail
5,0,0.0,0.0,0.0,0.0,4 32,fail
6,0,0.0,0.0,0.0,0.0,4 28,fail
7,0,0.0,0.0,0.0,0.0,4 24,fail
8,0,0.0,0.0,0.0,0.0,4 20,fail
9,0,0.0,0.0,0.0,0.0,4 16,fail
10,0,0.0,0.0,0.0,0.0,5 48,fail
11,0,0.0,0.0,0.0,0.0,5 44,fail
12,0,0.0,0.0,0.0,0.0,5 40,fail
13,0,0.0,0.0,0.0,0.0,5 36,fail
14,0,0.0,0.0,0.0,0.0,5 32,fail
15,0,0.0,0.0,0.0,0.0,5 28,fail
16,0,0.0,0.0,0.0,0.0,5 24,fail
17,0,0.0,0.0,0.0,0.0,5 20,fail
18,0,0.0,0.0,0.0,0.0,5 16,fail
19,0,0.0,0.0,0.0,0.0,6 48,fail
20,0,0.0,0.0,0.0,0.0,6 44,fail
21,0,0.0,0.0,0.0,0.0,6 40,fail
22,0,0.0,0.0,0.0,0.0,6 36,fail
23,0,0.0,0.0,0.0,0.0,6 32,fail
24,0,0.0,0.0,0.0,0.0,6 28,fail
25,0,0.0,0.0,0.0,0.0,6 24,fail
26,0,0.0,0.0,0.0,0.0,6 20,fail
27,0,0.0,0.0,0.0,0.0,6 16,fail
28,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,7 48,pass
29,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,7 44,pass
30,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,7 40,pass
31,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,7 36,pass
32,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,7 32,pass
33,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,7 28,pass
34,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,7 24,pass
35,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,7 20,pass
36,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,7 16,pass
37,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,8 48,pass
38,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,8 44,pass
39,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,8 40,pass
40,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,8 36,pass
41,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,8 32,pass
42,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,8 28,pass
43,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,8 24,pass
44,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,8 20,pass
45,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,8 16,pass
46,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,9 48,pass
47,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,9 44,pass
48,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,9 40,pass
49,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,9 36,pass
50,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,9 32,pass
51,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,9 28,pass
52,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,9 24,pass
53,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,9 20,pass
54,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,9 16,pass
55,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,10 48,pass
56,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,10 44,pass
57,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,10 40,pass
58,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,10 36,pass
59,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,10 32,pass
60,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,10 28,pass
61,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,10 24,pass
62,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,10 20,pass
63,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,10 16,pass
64,4,3281003.4014897035,7984501676.214525,3373.628978513675,569273149.1942859,11 48,pass
65,4,3281003.4014897035,7984501676.214525,3373.628978513675,569273149.1942859,11 44,pass
66,4,3281003.4014897035,7984501676.214525,3373.628978513675,569273149.1942859,11 40,pass
67,4,3281003.4014897035,7984501676.214525,3373.628978513675,569273149.1942859,11 36,pass
68,4,3281003.4014897035,7984501676.214525,3373.628978513675,569273149.1942859,11 32,pass
69,4,3281003.4014897035,7984501676.214525,3373.628978513675,569273149.1942859,11 28,pass
70,4,3281003.4014897035,7984501676.214525,3373.628978513675,569273149.1942859,11 24,pass
71,4,3281003.4014897035,7984501676.214525,3373.628978513675,569273149.1942859,11 20,pass
72,4,3281003.4014897035,7984501676.214525,3373.628978513675,569273149.1942859,11 16,pass
73,6,6996733.003192225,9243468745.493164,3905.570477200479,857261691.614116,12 48,pass
74,6,6996733.003192225,9243468745.493164,3905.570477200479,857261691.614116,12 44,pass
75,6,6996733.003192225,9243468745.493164,3905.570477200479,857261691.614116,12 40,pass
76,6,6996733.003192225,9243468745.493164,3905.570477200479,857261691.614116,12 36,pass
77,6,6996733.003192225,9243468745.493164,3905.570477200479,857261691.614116,12 32,pass
78,6,6996733.003192225,9243468745.493164,3905.570477200479,857261691.614116,12 28,pass
79,6,6996733.003192225,9243468745.493164,3905.570477200479,857261691.614116,12 24,pass
80,6,6996733.003192225,9243468745.493164,3905.570477200479,857261691.614116,12 20,pass
81,6,6996733.003192225,9243468745.493164,3905.570477200479,857261691.614116,12 16,pass
82,9,12570327.405746002,11131919349.411123,4703.482725230684,1289244505.2438612,13 48,pass
83,9,12570327.405746002,11131919349.411123,4703.482725230684,1289244505.2438612,13 44,pass
84,9,12570327.405746002,11131919349.411123,4703.482725230684,1289244505.2438612,13 40,pass
