DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,70,5518379520.0,799084680.2399999,410461000000000.0,3225777000.0,4096 64,pass
1,70,5518379520.0,799084680.2399999,25690900000000.0,201904385.7142857,1024 16,pass
2,70,5518379520.0,799084680.2399999,32113400000000.0,252379385.7142857,1024 20,pass
3,70,5518379520.0,799084680.2399999,38536000000000.0,302854385.71428573,1024 24,pass
4,70,5518379520.0,799084680.2399999,44958600000000.0,353329442.85714287,1024 28,pass
5,70,5518379520.0,799084680.2399999,51381200000000.0,403804628.5714286,1024 32,pass
6,70,5518379520.0,799084680.2399999,57803700000000.0,454280385.7142857,1024 36,pass
7,70,5518379520.0,799084680.2399999,64226300000000.0,504755385.7142857,1024 40,pass
8,70,5518379520.0,799084680.2399999,70648900000000.0,555230385.7142857,1024 44,pass
9,70,5518379520.0,799084680.2399999,77071500000000.0,605705442.8571428,1024 48,pass
10,70,5518379520.0,799084680.2399999,25690900000000.0,201904385.7142857,1024 16,pass
11,70,5518379520.0,799084680.2399999,32113400000000.0,252379385.7142857,1024 20,pass
12,70,5518379520.0,799084680.2399999,38536000000000.0,302854385.71428573,1024 24,pass
13,70,5518379520.0,799084680.2399999,44958600000000.0,353329442.85714287,1024 28,pass
14,70,5518379520.0,799084680.2399999,51381200000000.0,403804628.5714286,1024 32,pass
15,70,5518379520.0,799084680.2399999,57803700000000.0,454280385.7142857,1024 36,pass
16,70,5518379520.0,799084680.2399999,64226300000000.0,504755385.7142857,1024 40,pass
17,70,5518379520.0,799084680.2399999,70648900000000.0,555230385.7142857,1024 44,pass
18,70,5518379520.0,799084680.2399999,77071500000000.0,605705442.8571428,1024 48,pass
19,70,5518379520.0,799084680.2399999,25690900000000.0,201904385.7142857,1024 16,pass
20,70,5518379520.0,799084680.2399999,32113400000000.0,252379385.7142857,1024 20,pass
21,70,5518379520.0,799084680.2399999,38536000000000.0,302854385.71428573,1024 24,pass
22,70,5518379520.0,799084680.2399999,44958600000000.0,353329442.85714287,1024 28,pass
23,70,5518379520.0,799084680.2399999,51381200000000.0,403804628.5714286,1024 32,pass
24,70,5518379520.0,799084680.2399999,57803700000000.0,454280385.7142857,1024 36,pass
25,70,5518379520.0,799084680.2399999,64226300000000.0,504755385.7142857,1024 40,pass
26,70,5518379520.0,799084680.2399999,70648900000000.0,555230385.7142857,1024 44,pass
27,70,5518379520.0,799084680.2399999,77071500000000.0,605705442.8571428,1024 48,pass
28,68,3678128640.0,685759580.24,25690900000000.0,201904250.0,1024 16,pass
29,68,3678128640.0,685759580.24,32113400000000.0,252379250.0,1024 20,pass
30,68,3678128640.0,685759580.24,38536000000000.0,302854250.0,1024 24,pass
31,68,3678128640.0,685759580.24,44958600000000.0,353329308.8235294,1024 28,pass
32,68,3678128640.0,685759580.24,51381200000000.0,403804485.2941176,1024 32,pass
33,68,3678128640.0,685759580.24,57803700000000.0,454280250.0,1024 36,pass
34,68,3678128640.0,685759580.24,64226300000000.0,504755250.0,1024 40,pass
35,68,3678128640.0,685759580.24,70648900000000.0,555230250.0,1024 44,pass
36,68,3678128640.0,685759580.24,77071500000000.0,605705308.8235294,1024 48,pass
37,68,3678128640.0,685759580.24,25690900000000.0,201904250.0,1024 16,pass
38,68,3678128640.0,685759580.24,32113400000000.0,252379250.0,1024 20,pass
39,68,3678128640.0,685759580.24,38536000000000.0,302854250.0,1024 24,pass
40,68,3678128640.0,685759580.24,44958600000000.0,353329308.8235294,1024 28,pass
41,68,3678128640.0,685759580.24,51381200000000.0,403804485.2941176,1024 32,pass
42,68,3678128640.0,685759580.24,57803700000000.0,454280250.0,1024 36,pass
43,68,3678128640.0,685759580.24,64226300000000.0,504755250.0,1024 40,pass
44,68,3678128640.0,685759580.24,70648900000000.0,555230250.0,1024 44,pass
45,68,3678128640.0,685759580.24,77071500000000.0,605705308.8235294,1024 48,pass
46,68,3678128640.0,685759580.24,25690900000000.0,201904250.0,1024 16,pass
47,68,3678128640.0,685759580.24,32113400000000.0,252379250.0,1024 20,pass
48,68,3678128640.0,685759580.24,38536000000000.0,302854250.0,1024 24,pass
49,68,3678128640.0,685759580.24,44958600000000.0,353329308.8235294,1024 28,pass
50,68,3678128640.0,685759580.24,51381200000000.0,403804485.2941176,1024 32,pass
51,68,3678128640.0,685759580.24,57803700000000.0,454280250.0,1024 36,pass
52,68,3678128640.0,685759580.24,64226300000000.0,504755250.0,1024 40,pass
53,68,3678128640.0,685759580.24,70648900000000.0,555230250.0,1024 44,pass
54,68,3678128640.0,685759580.24,77071500000000.0,605705308.8235294,1024 48,pass
55,67,3111897600.0,673356980.24,25690900000000.0,201904179.1044776,1024 16,pass
56,67,3111897600.0,673356980.24,32113400000000.0,252379179.1044776,1024 20,pass
57,67,3111897600.0,673356980.24,38536000000000.0,302854179.1044776,1024 24,pass
58,67,3111897600.0,673356980.24,44958600000000.0,353329238.80597013,1024 28,pass
59,67,3111897600.0,673356980.24,51381200000000.0,403804417.9104478,1024 32,pass
60,67,3111897600.0,673356980.24,57803700000000.0,454280179.1044776,1024 36,pass
61,67,3111897600.0,673356980.24,64226300000000.0,504755179.1044776,1024 40,pass
62,67,3111897600.0,673356980.24,70648900000000.0,555230179.1044776,1024 44,pass
63,67,3111897600.0,673356980.24,77071500000000.0,605705238.8059702,1024 48,pass
64,66,2545666560.0,660954380.24,25690900000000.0,201904106.0606061,1024 16,pass
65,66,2545666560.0,660954380.24,32113400000000.0,252379106.0606061,1024 20,pass
66,66,2545666560.0,660954380.24,38536000000000.0,302854106.06060606,1024 24,pass
67,66,2545666560.0,660954380.24,44958600000000.0,353329166.6666667,1024 28,pass
68,66,2545666560.0,660954380.24,51381200000000.0,403804348.4848485,1024 32,pass
69,66,2545666560.0,660954380.24,57803700000000.0,454280106.06060606,1024 36,pass
70,66,2545666560.0,660954380.24,64226300000000.0,504755106.06060606,1024 40,pass
71,66,2545666560.0,660954380.24,70648900000000.0,555230106.060606,1024 44,pass
72,66,2545666560.0,660954380.24,77071500000000.0,605705166.6666666,1024 48,pass
73,63,1660930560.0,561131380.24,25690900000000.0,201903873.015873,1024 16,pass
74,63,1660930560.0,561131380.24,32113400000000.0,252378873.015873,1024 20,pass
75,63,1660930560.0,561131380.24,38536000000000.0,302853873.015873,1024 24,pass
76,63,1660930560.0,561131380.24,44958600000000.0,353328936.50793654,1024 28,pass
77,63,1660930560.0,561131380.24,51381200000000.0,403804079.36507934,1024 32,pass
78,63,1660930560.0,561131380.24,57803700000000.0,454279873.015873,1024 36,pass
79,63,1660930560.0,561131380.24,64226300000000.0,504754873.015873,1024 40,pass
80,63,1660930560.0,561131380.24,70648900000000.0,555229873.0158731,1024 44,pass
81,63,1660930560.0,561131380.24,77071500000000.0,605704936.5079365,1024 48,pass
82,61,1094699520.0,522652780.24,25690900000000.0,201903704.9180328,1024 16,pass
83,61,1094699520.0,522652780.24,32113400000000.0,252378704.9180328,1024 20,pass
84,61,1094699520.0,522652780.24,38536000000000.0,302853704.9180328,1024 24,pass
85,61,1094699520.0,522652780.24,44958600000000.0,353328770.4918033,1024 28,pass
86,61,1094699520.0,522652780.24,51381200000000.0,403803885.2459016,1024 32,pass
87,61,1094699520.0,522652780.24,57803700000000.0,454279704.9180328,1024 36,pass
88,61,1094699520.0,522652780.24,64226300000000.0,504754704.9180328,1024 40,pass
89,61,1094699520.0,522652780.24,70648900000000.0,555229704.9180328,1024 44,pass
90,61,1094699520.0,522652780.24,77071500000000.0,605704770.4918033,1024 48,pass
91,57,386910720.0,432025480.24000007,25690900000000.0,201903333.3333333,1024 16,pass
92,57,386910720.0,432025480.24000007,32113400000000.0,252378333.3333333,1024 20,pass
93,57,386910720.0,432025480.24000007,38536000000000.0,302853333.3333333,1024 24,pass
94,57,386910720.0,432025480.24000007,44958600000000.0,353328403.508772,1024 28,pass
95,57,386910720.0,432025480.24000007,51381200000000.0,403803456.1403509,1024 32,pass
96,57,386910720.0,432025480.24000007,57803700000000.0,454279333.3333333,1024 36,pass
97,57,386910720.0,432025480.24000007,64226300000000.0,504754333.3333333,1024 40,pass
98,57,386910720.0,432025480.24000007,70648900000000.0,555229333.3333334,1024 44,pass
99,57,386910720.0,432025480.24000007,77071500000000.0,605704403.5087719,1024 48,pass
100,57,386910720.0,432025480.24000007,25690900000000.0,201903333.3333333,1024 16,pass
101,57,386910720.0,432025480.24000007,32113400000000.0,252378333.3333333,1024 20,pass
102,57,386910720.0,432025480.24000007,38536000000000.0,302853333.3333333,1024 24,pass
103,57,386910720.0,432025480.24000007,44958600000000.0,353328403.508772,1024 28,pass
104,57,386910720.0,432025480.24000007,51381200000000.0,403803456.1403509,1024 32,pass
105,57,386910720.0,432025480.24000007,57803700000000.0,454279333.3333333,1024 36,pass
106,57,386910720.0,432025480.24000007,64226300000000.0,504754333.3333333,1024 40,pass
107,57,386910720.0,432025480.24000007,70648900000000.0,555229333.3333334,1024 44,pass
108,57,386910720.0,432025480.24000007,77071500000000.0,605704403.5087719,1024 48,pass
109,53,130337280.0,357434290.24,25690900000000.0,201903018.8679245,1024 16,pass
110,53,130337280.0,357434290.24,32113400000000.0,252378018.8679245,1024 20,pass
111,53,130337280.0,357434290.24,38536000000000.0,302853018.8679245,1024 24,pass
112,53,130337280.0,357434290.24,44958600000000.0,353328037.7358491,1024 28,pass
113,53,130337280.0,357434290.24,51381200000000.0,403803075.4716981,1024 32,pass
114,53,130337280.0,357434290.24,57803700000000.0,454279018.8679245,1024 36,pass
115,53,130337280.0,357434290.24,64226300000000.0,504754018.8679245,1024 40,pass
116,53,130337280.0,357434290.24,70648900000000.0,555229018.8679246,1024 44,pass
117,53,130337280.0,357434290.24,77071500000000.0,605704037.735849,1024 48,pass
118,49,58329600.0,305843710.24,25690900000000.0,201903020.40816328,1024 16,pass
119,49,58329600.0,305843710.24,32113400000000.0,252378020.40816328,1024 20,pass
120,49,58329600.0,305843710.24,38536000000000.0,302853020.40816325,1024 24,pass
121,49,58329600.0,305843710.24,44958600000000.0,353328040.81632656,1024 28,pass
122,49,58329600.0,305843710.24,51381200000000.0,403803040.81632656,1024 32,pass
123,49,58329600.0,305843710.24,57803700000000.0,454279020.4081633,1024 36,pass
124,49,58329600.0,305843710.24,64226300000000.0,504754020.4081633,1024 40,pass
125,49,58329600.0,305843710.24,70648900000000.0,555229020.4081633,1024 44,pass
126,49,58329600.0,305843710.24,77071500000000.0,605704040.8163265,1024 48,pass
127,44,38668800.0,246062714.24,25690900000000.0,201903022.72727272,1024 16,pass
128,44,38668800.0,246062714.24,32113400000000.0,252378022.72727272,1024 20,pass
129,44,38668800.0,246062714.24,38536000000000.0,302853022.72727275,1024 24,pass
130,44,38668800.0,246062714.24,44958600000000.0,353328045.45454544,1024 28,pass
131,44,38668800.0,246062714.24,51381200000000.0,403803045.45454544,1024 32,pass
132,44,38668800.0,246062714.24,57803700000000.0,454279022.7272728,1024 36,pass
133,44,38668800.0,246062714.24,64226300000000.0,504754022.7272728,1024 40,pass
