Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
resnext50,L0,3584,1577088,9346.74,96,1.0271e+07,2.69385e+14,2.11706e+09,171,0.839826,171,1,171,22000,384,1,1,155952,12288,1.61982e+13,151400448,4380.72,4748.08,75.9,2.11706e+09,151400448, 1214592, 1214592, 155952, 124.651, 151400448, 12288, 12288, 12288, 12321, 151400448, 151400448, 3125824, 788544, 1, 0, 0, 0, 0, 0, 0, 64, 64, 64, 96, 224
resnext50,L1,3584,9408,239703,2730.67,1.13919e+07,2.69385e+14,2.11706e+09,3648,64.8571,3648,1,3648,7408,6,1,1,200704,8192,1.07175e+11,25690112,4380.72,74.1888,25.5576,2.11706e+09,25690112, 601984, 601984, 200704, 42.6757, 25690112, 8192, 8192, 8192, 3136, 25690112, 25690112, 401408, 401408, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2730.67, 56
resnext50,L2,3584,5038848,7.15614e+06,2730.67,381584,2.69385e+14,2.11709e+09,3648,304.254,3648,1,3648,2330624,1728,1,1,12845056,4718592,1.92274e+12,13759414272,4380.72,21366.4,8040.65,2.11706e+09,13759414272, 111439872, 111439872, 12845056, 123.469, 13759414272, 4718592, 4718592, 4718592, 2916, 13759414272, 13759414272, 1528823808, 1528823808, 1, 0, 0, 0, 0, 0, 0, 288, 288, 288, 2730.67, 168
resnext50,L3,3584,31360,2.13289e+07,3276.8,153632,2.69385e+14,2.11706e+09,3648,65.0367,3648,1,3648,7408,6,1,1,401408,32768,4.8179e+09,102760448,4380.72,74.1888,25.5576,2.11706e+09,102760448, 2006784, 2006784, 401408, 51.2065, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 802816, 1605632, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3276.8, 56
resnext50,L4,3584,15680,168345,3276.8,1.94648e+07,2.69385e+14,2.11706e+09,3648,65.0286,3648,1,3648,7408,6,1,1,200704,16384,3.05209e+11,51380224,4380.72,74.1888,25.5576,2.11706e+09,51380224, 1003264, 1003264, 200704, 51.2131, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 802816, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3276.8, 56
resnext50,L5,3584,3136,11848.8,256,2.16056e+07,2.69385e+14,2.11706e+09,512,256.082,512,1,512,1534,6,1,1,802816,256,6.77551e+10,802816,4380.72,74.1888,5.2923,2.11706e+09,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 799680, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 256, 1
resnext50,L6,3584,37632,22448.9,2730.67,1.21639e+08,2.69385e+14,2.11706e+09,3648,64.8673,3648,1,3648,7408,6,1,1,802816,32768,4.57753e+12,102760448,4380.72,74.1888,25.5576,2.11706e+09,102760448, 2408320, 2408320, 802816, 42.6689, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 401408, 1605632, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2730.67, 56
resnext50,L7,3584,5038848,7.27597e+06,2730.67,375300,2.69385e+14,2.11709e+09,3648,304.254,3648,1,3648,2330624,1728,1,1,12845056,4718592,1.89108e+12,13759414272,4380.72,21366.4,8040.65,2.11706e+09,13759414272, 111439872, 111439872, 12845056, 123.469, 13759414272, 4718592, 4718592, 4718592, 2916, 13759414272, 13759414272, 1528823808, 1528823808, 1, 0, 0, 0, 0, 0, 0, 288, 288, 288, 2730.67, 168
resnext50,L8,3584,31360,2.13289e+07,3276.8,153632,2.69385e+14,2.11706e+09,3648,65.0367,3648,1,3648,7408,6,1,1,401408,32768,4.8179e+09,102760448,4380.72,74.1888,25.5576,2.11706e+09,102760448, 2006784, 2006784, 401408, 51.2065, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 802816, 1605632, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3276.8, 56
resnext50,L9,3584,3136,11848.8,256,2.16056e+07,2.69385e+14,2.11706e+09,512,256.082,512,1,512,1534,6,1,1,802816,256,6.77551e+10,802816,4380.72,74.1888,5.2923,2.11706e+09,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 799680, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 256, 1
