DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,70,414731026.11529785,49431022825.3613,20780.26853593016,4473187932.48788,24 64,pass
1,9,119482348.1894302,2120365590.3640232,895.9014714725113,1599240039.939885,6 48,pass
2,9,119482348.1894302,2120365590.3640232,895.9014714725113,1599240039.939885,6 44,pass
3,9,119482348.1894302,2120365590.3640232,895.9014714725113,1599240039.939885,6 40,pass
4,9,119482348.1894302,2120365590.3640232,895.9014714725113,1599240039.939885,6 36,pass
5,9,119482348.1894302,2120365590.3640232,895.9014714725113,1599240039.939885,6 32,pass
6,9,119482348.1894302,2120365590.3640232,895.9014714725113,1599240039.939885,6 28,pass
7,9,119482348.1894302,2120365590.3640232,895.9014714725113,1599240039.939885,6 24,pass
8,9,119482348.1894302,2120365590.3640232,895.9014714725113,1599240039.939885,6 20,pass
9,9,119482348.1894302,2120365590.3640232,895.9014714725113,1599240039.939885,6 16,pass
10,11,123198077.79113272,3379332659.642662,1427.842970159315,1887228582.359715,7 48,pass
11,11,123198077.79113272,3379332659.642662,1427.842970159315,1887228582.359715,7 44,pass
12,11,123198077.79113272,3379332659.642662,1427.842970159315,1887228582.359715,7 40,pass
13,11,123198077.79113272,3379332659.642662,1427.842970159315,1887228582.359715,7 36,pass
14,11,123198077.79113272,3379332659.642662,1427.842970159315,1887228582.359715,7 32,pass
15,11,123198077.79113272,3379332659.642662,1427.842970159315,1887228582.359715,7 28,pass
16,11,123198077.79113272,3379332659.642662,1427.842970159315,1887228582.359715,7 24,pass
17,11,123198077.79113272,3379332659.642662,1427.842970159315,1887228582.359715,7 20,pass
18,11,123198077.79113272,3379332659.642662,1427.842970159315,1887228582.359715,7 16,pass
19,12,125055942.59198396,4008816194.2819815,1693.8137195027168,2031222853.56963,8 48,pass
20,12,125055942.59198396,4008816194.2819815,1693.8137195027168,2031222853.56963,8 44,pass
21,12,125055942.59198396,4008816194.2819815,1693.8137195027168,2031222853.56963,8 40,pass
22,12,125055942.59198396,4008816194.2819815,1693.8137195027168,2031222853.56963,8 36,pass
23,12,125055942.59198396,4008816194.2819815,1693.8137195027168,2031222853.56963,8 32,pass
24,12,125055942.59198396,4008816194.2819815,1693.8137195027168,2031222853.56963,8 28,pass
25,12,125055942.59198396,4008816194.2819815,1693.8137195027168,2031222853.56963,8 24,pass
26,12,125055942.59198396,4008816194.2819815,1693.8137195027168,2031222853.56963,8 20,pass
27,12,125055942.59198396,4008816194.2819815,1693.8137195027168,2031222853.56963,8 16,pass
28,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,9 48,pass
29,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,9 44,pass
30,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,9 40,pass
31,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,9 36,pass
32,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,9 32,pass
33,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,9 28,pass
34,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,9 24,pass
35,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,9 20,pass
36,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,9 16,pass
37,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,10 48,pass
38,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,10 44,pass
39,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,10 40,pass
40,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,10 36,pass
41,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,10 32,pass
42,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,10 28,pass
43,13,126913807.39283524,4638299728.921301,1959.784468846119,2175217124.7795453,10 24,pass
