DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,70,25355374080.0,639974737.0599998,102762000000000.0,807606385.7142857,1024 64,pass
1,70,25355374080.0,639974737.0599998,6459620000000.0,50766780.0,256 16,fail
2,70,25355374080.0,639974737.0599998,8074520000000.0,63458280.0,256 20,fail
3,70,25355374080.0,639974737.0599998,9689420000000.0,76149851.42857143,256 24,fail
4,70,25355374080.0,639974737.0599998,11304300000000.0,88841358.57142857,256 28,fail
5,70,25355374080.0,639974737.0599998,12919200000000.0,101532514.28571428,256 32,fail
6,70,25355374080.0,639974737.0599998,14534100000000.0,114224457.14285716,256 36,fail
7,70,25355374080.0,639974737.0599998,16149000000000.0,126916228.57142857,256 40,fail
8,70,25355374080.0,639974737.0599998,17763900000000.0,139607457.14285713,256 44,fail
9,70,25355374080.0,639974737.0599998,19378800000000.0,152299228.57142857,256 48,fail
10,69,21957987840.0,582470337.06,6459620000000.0,50766762.31884058,256 16,pass
11,69,21957987840.0,582470337.06,8074520000000.0,63458262.31884058,256 20,pass
12,69,21957987840.0,582470337.06,9689420000000.0,76149834.7826087,256 24,pass
13,69,21957987840.0,582470337.06,11304300000000.0,88841342.0289855,256 28,pass
14,69,21957987840.0,582470337.06,12919200000000.0,101532492.7536232,256 32,pass
15,69,21957987840.0,582470337.06,14534100000000.0,114224434.7826087,256 36,pass
16,69,21957987840.0,582470337.06,16149000000000.0,126916217.39130434,256 40,pass
17,69,21957987840.0,582470337.06,17763900000000.0,139607434.7826087,256 44,pass
18,69,21957987840.0,582470337.06,19378800000000.0,152299217.39130434,256 48,pass
19,69,21957987840.0,582470337.06,6459620000000.0,50766762.31884058,256 16,pass
20,69,21957987840.0,582470337.06,8074520000000.0,63458262.31884058,256 20,pass
21,69,21957987840.0,582470337.06,9689420000000.0,76149834.7826087,256 24,pass
22,69,21957987840.0,582470337.06,11304300000000.0,88841342.0289855,256 28,pass
23,69,21957987840.0,582470337.06,12919200000000.0,101532492.7536232,256 32,pass
24,69,21957987840.0,582470337.06,14534100000000.0,114224434.7826087,256 36,pass
25,69,21957987840.0,582470337.06,16149000000000.0,126916217.39130434,256 40,pass
26,69,21957987840.0,582470337.06,17763900000000.0,139607434.7826087,256 44,pass
27,69,21957987840.0,582470337.06,19378800000000.0,152299217.39130434,256 48,pass
28,68,19126832640.0,557928137.06,6459620000000.0,50766744.11764706,256 16,pass
29,68,19126832640.0,557928137.06,8074520000000.0,63458244.11764706,256 20,pass
30,68,19126832640.0,557928137.06,9689420000000.0,76149817.64705883,256 24,pass
31,68,19126832640.0,557928137.06,11304300000000.0,88841325.0,256 28,pass
32,68,19126832640.0,557928137.06,12919200000000.0,101532470.58823527,256 32,pass
33,68,19126832640.0,557928137.06,14534100000000.0,114224411.76470588,256 36,pass
34,68,19126832640.0,557928137.06,16149000000000.0,126916205.88235296,256 40,pass
35,68,19126832640.0,557928137.06,17763900000000.0,139607411.7647059,256 44,pass
36,68,19126832640.0,557928137.06,19378800000000.0,152299205.88235295,256 48,pass
37,68,19126832640.0,557928137.06,6459620000000.0,50766744.11764706,256 16,pass
38,68,19126832640.0,557928137.06,8074520000000.0,63458244.11764706,256 20,pass
39,68,19126832640.0,557928137.06,9689420000000.0,76149817.64705883,256 24,pass
40,68,19126832640.0,557928137.06,11304300000000.0,88841325.0,256 28,pass
41,68,19126832640.0,557928137.06,12919200000000.0,101532470.58823527,256 32,pass
42,68,19126832640.0,557928137.06,14534100000000.0,114224411.76470588,256 36,pass
43,68,19126832640.0,557928137.06,16149000000000.0,126916205.88235296,256 40,pass
44,68,19126832640.0,557928137.06,17763900000000.0,139607411.7647059,256 44,pass
45,68,19126832640.0,557928137.06,19378800000000.0,152299205.88235295,256 48,pass
46,66,14455426560.0,471676837.06,6459620000000.0,50766706.06060606,256 16,pass
47,66,14455426560.0,471676837.06,8074520000000.0,63458206.06060606,256 20,pass
48,66,14455426560.0,471676837.06,9689420000000.0,76149781.81818181,256 24,pass
49,66,14455426560.0,471676837.06,11304300000000.0,88841289.39393939,256 28,pass
50,66,14455426560.0,471676837.06,12919200000000.0,101532424.24242423,256 32,pass
51,66,14455426560.0,471676837.06,14534100000000.0,114224363.63636364,256 36,pass
52,66,14455426560.0,471676837.06,16149000000000.0,126916181.8181818,256 40,pass
53,66,14455426560.0,471676837.06,17763900000000.0,139607363.63636363,256 44,pass
54,66,14455426560.0,471676837.06,19378800000000.0,152299181.8181818,256 48,pass
55,64,11058040320.0,412107437.06,6459620000000.0,50766665.625,256 16,pass
56,64,11058040320.0,412107437.06,8074520000000.0,63458165.625,256 20,pass
57,64,11058040320.0,412107437.06,9689420000000.0,76149743.75,256 24,pass
58,64,11058040320.0,412107437.06,11304300000000.0,88841251.5625,256 28,pass
59,64,11058040320.0,412107437.06,12919200000000.0,101532375.0,256 32,pass
60,64,11058040320.0,412107437.06,14534100000000.0,114224312.5,256 36,pass
61,64,11058040320.0,412107437.06,16149000000000.0,126916156.25,256 40,pass
62,64,11058040320.0,412107437.06,17763900000000.0,139607312.5,256 44,pass
63,64,11058040320.0,412107437.06,19378800000000.0,152299156.25,256 48,pass
64,61,5961960960.0,322753337.06,6459620000000.0,50766600.0,256 16,pass
65,61,5961960960.0,322753337.06,8074520000000.0,63458100.0,256 20,pass
66,61,5961960960.0,322753337.06,9689420000000.0,76149681.96721311,256 24,pass
67,61,5961960960.0,322753337.06,11304300000000.0,88841190.16393442,256 28,pass
68,61,5961960960.0,322753337.06,12919200000000.0,101532295.08196722,256 32,pass
69,61,5961960960.0,322753337.06,14534100000000.0,114224229.50819673,256 36,pass
70,61,5961960960.0,322753337.06,16149000000000.0,126916114.75409836,256 40,pass
71,61,5961960960.0,322753337.06,17763900000000.0,139607229.5081967,256 44,pass
72,61,5961960960.0,322753337.06,19378800000000.0,152299114.75409836,256 48,pass
73,54,812797440.0,51763037.06,6459620000000.0,50766412.96296296,256 16,pass
74,54,812797440.0,51763037.06,8074520000000.0,63457912.96296296,256 20,pass
75,54,812797440.0,51763037.06,9689420000000.0,76149505.55555555,256 24,pass
76,54,812797440.0,51763037.06,11304300000000.0,88841007.4074074,256 28,pass
77,54,812797440.0,51763037.06,12919200000000.0,101532074.07407407,256 32,pass
78,54,812797440.0,51763037.06,14534100000000.0,114224000.0,256 36,pass
79,54,812797440.0,51763037.06,16149000000000.0,126916000.0,256 40,pass
80,54,812797440.0,51763037.06,17763900000000.0,139607000.0,256 44,pass
81,54,812797440.0,51763037.06,19378800000000.0,152299000.0,256 48,pass
82,54,812797440.0,51763037.06,6459620000000.0,50766412.96296296,256 16,pass
83,54,812797440.0,51763037.06,8074520000000.0,63457912.96296296,256 20,pass
84,54,812797440.0,51763037.06,9689420000000.0,76149505.55555555,256 24,pass
85,54,812797440.0,51763037.06,11304300000000.0,88841007.4074074,256 28,pass
86,54,812797440.0,51763037.06,12919200000000.0,101532074.07407407,256 32,pass
87,54,812797440.0,51763037.06,14534100000000.0,114224000.0,256 36,pass
88,54,812797440.0,51763037.06,16149000000000.0,126916000.0,256 40,pass
89,54,812797440.0,51763037.06,17763900000000.0,139607000.0,256 44,pass
90,54,812797440.0,51763037.06,19378800000000.0,152299000.0,256 48,pass
91,53,600460800.0,48169867.06,6459620000000.0,50766411.32075472,256 16,pass
92,53,600460800.0,48169867.06,8074520000000.0,63457911.32075472,256 20,pass
93,53,600460800.0,48169867.06,9689420000000.0,76149505.66037735,256 24,pass
94,53,600460800.0,48169867.06,11304300000000.0,88841007.5471698,256 28,pass
95,53,600460800.0,48169867.06,12919200000000.0,101532056.60377358,256 32,pass
96,53,600460800.0,48169867.06,14534100000000.0,114224000.0,256 36,pass
97,53,600460800.0,48169867.06,16149000000000.0,126916000.0,256 40,pass
98,53,600460800.0,48169867.06,17763900000000.0,139607000.0,256 44,pass
99,53,600460800.0,48169867.06,19378800000000.0,152299000.0,256 48,pass
100,49,370675200.0,33936437.059999995,6459620000000.0,50766408.1632653,256 16,pass
101,49,370675200.0,33936437.059999995,8074520000000.0,63457908.1632653,256 20,pass
102,49,370675200.0,33936437.059999995,9689420000000.0,76149506.12244898,256 24,pass
103,49,370675200.0,33936437.059999995,11304300000000.0,88841008.1632653,256 28,pass
104,49,370675200.0,33936437.059999995,12919200000000.0,101532020.40816326,256 32,pass
105,49,370675200.0,33936437.059999995,14534100000000.0,114224000.0,256 36,pass
106,49,370675200.0,33936437.059999995,16149000000000.0,126916000.0,256 40,pass
107,49,370675200.0,33936437.059999995,17763900000000.0,139607000.0,256 44,pass
108,49,370675200.0,33936437.059999995,19378800000000.0,152299000.0,256 48,pass
109,43,219287040.0,26666567.06,6459620000000.0,50766409.302325584,256 16,pass
110,43,219287040.0,26666567.06,8074520000000.0,63457909.302325584,256 20,pass
111,43,219287040.0,26666567.06,9689420000000.0,76149506.97674419,256 24,pass
112,43,219287040.0,26666567.06,11304300000000.0,88841009.30232558,256 28,pass
113,43,219287040.0,26666567.06,12919200000000.0,101532023.25581396,256 32,pass
114,43,219287040.0,26666567.06,14534100000000.0,114224000.0,256 36,pass
115,43,219287040.0,26666567.06,16149000000000.0,126916000.0,256 40,pass
116,43,219287040.0,26666567.06,17763900000000.0,139607000.0,256 44,pass
117,43,219287040.0,26666567.06,19378800000000.0,152299000.0,256 48,pass
118,0,0.0,0.0,6459620000000.0,,256 16,fail
119,0,0.0,0.0,8074520000000.0,,256 20,fail
120,0,0.0,0.0,9689420000000.0,,256 24,fail
121,0,0.0,0.0,11304300000000.0,,256 28,fail
122,0,0.0,0.0,12919200000000.0,,256 32,fail
123,0,0.0,0.0,14534100000000.0,,256 36,fail
124,0,0.0,0.0,16149000000000.0,,256 40,fail
125,0,0.0,0.0,17763900000000.0,,256 44,fail
126,0,0.0,0.0,19378800000000.0,,256 48,fail
127,0,0.0,0.0,6459620000000.0,,256 16,fail
128,0,0.0,0.0,8074520000000.0,,256 20,fail
129,0,0.0,0.0,9689420000000.0,,256 24,fail
130,0,0.0,0.0,11304300000000.0,,256 28,fail
131,0,0.0,0.0,12919200000000.0,,256 32,fail
132,0,0.0,0.0,14534100000000.0,,256 36,fail
133,0,0.0,0.0,16149000000000.0,,256 40,fail
134,0,0.0,0.0,17763900000000.0,,256 44,fail
135,0,0.0,0.0,19378800000000.0,,256 48,fail
136,0,0.0,0.0,6459620000000.0,,256 16,fail
137,0,0.0,0.0,8074520000000.0,,256 20,fail
138,0,0.0,0.0,9689420000000.0,,256 24,fail
139,0,0.0,0.0,11304300000000.0,,256 28,fail
140,0,0.0,0.0,12919200000000.0,,256 32,fail
141,0,0.0,0.0,14534100000000.0,,256 36,fail
142,0,0.0,0.0,16149000000000.0,,256 40,fail
143,0,0.0,0.0,17763900000000.0,,256 44,fail
144,0,0.0,0.0,19378800000000.0,,256 48,fail
145,0,0.0,0.0,6459620000000.0,,256 16,fail
146,0,0.0,0.0,8074520000000.0,,256 20,fail
147,0,0.0,0.0,9689420000000.0,,256 24,fail
148,0,0.0,0.0,11304300000000.0,,256 28,fail
149,0,0.0,0.0,12919200000000.0,,256 32,fail
150,0,0.0,0.0,14534100000000.0,,256 36,fail
151,0,0.0,0.0,16149000000000.0,,256 40,fail
152,0,0.0,0.0,17763900000000.0,,256 44,fail
153,0,0.0,0.0,19378800000000.0,,256 48,fail
154,0,0.0,0.0,6459620000000.0,,256 16,fail
155,0,0.0,0.0,8074520000000.0,,256 20,fail
156,0,0.0,0.0,9689420000000.0,,256 24,fail
157,0,0.0,0.0,11304300000000.0,,256 28,fail
158,0,0.0,0.0,12919200000000.0,,256 32,fail
159,0,0.0,0.0,14534100000000.0,,256 36,fail
160,0,0.0,0.0,16149000000000.0,,256 40,fail
161,0,0.0,0.0,17763900000000.0,,256 44,fail
162,0,0.0,0.0,19378800000000.0,,256 48,fail
163,0,0.0,0.0,6459620000000.0,,256 16,fail
164,0,0.0,0.0,8074520000000.0,,256 20,fail
165,0,0.0,0.0,9689420000000.0,,256 24,fail
166,0,0.0,0.0,11304300000000.0,,256 28,fail
167,0,0.0,0.0,12919200000000.0,,256 32,fail
168,0,0.0,0.0,14534100000000.0,,256 36,fail
169,0,0.0,0.0,16149000000000.0,,256 40,fail
170,0,0.0,0.0,17763900000000.0,,256 44,fail
171,0,0.0,0.0,19378800000000.0,,256 48,fail
172,70,25355374080.0,639974737.0599998,9664790000000.0,75956250.0,384 16,fail
173,70,25355374080.0,639974737.0599998,12081000000000.0,94945050.0,384 20,fail
174,70,25355374080.0,639974737.0599998,14497100000000.0,113933700.0,384 24,fail
175,70,25355374080.0,639974737.0599998,16913300000000.0,132922514.28571428,384 28,fail
176,70,25355374080.0,639974737.0599998,19329500000000.0,151911457.14285713,384 32,fail
177,70,25355374080.0,639974737.0599998,21745700000000.0,170900457.14285713,384 36,fail
178,70,25355374080.0,639974737.0599998,24161900000000.0,189889457.1428572,384 40,fail
179,70,25355374080.0,639974737.0599998,26578000000000.0,208877700.0,384 44,fail
180,70,25355374080.0,639974737.0599998,28994200000000.0,227866514.2857143,384 48,fail
181,69,21957987840.0,582470337.06,9664790000000.0,75956224.63768116,384 16,pass
182,69,21957987840.0,582470337.06,12081000000000.0,94945024.63768116,384 20,pass
183,69,21957987840.0,582470337.06,14497100000000.0,113933666.66666669,384 24,pass
184,69,21957987840.0,582470337.06,16913300000000.0,132922492.7536232,384 28,pass
185,69,21957987840.0,582470337.06,19329500000000.0,151911434.7826087,384 32,pass
186,69,21957987840.0,582470337.06,21745700000000.0,170900434.7826087,384 36,pass
187,69,21957987840.0,582470337.06,24161900000000.0,189889434.7826087,384 40,pass
188,69,21957987840.0,582470337.06,26578000000000.0,208877666.66666663,384 44,pass
189,69,21957987840.0,582470337.06,28994200000000.0,227866492.7536232,384 48,pass
190,69,21957987840.0,582470337.06,9664790000000.0,75956224.63768116,384 16,pass
191,69,21957987840.0,582470337.06,12081000000000.0,94945024.63768116,384 20,pass
192,69,21957987840.0,582470337.06,14497100000000.0,113933666.66666669,384 24,pass
193,69,21957987840.0,582470337.06,16913300000000.0,132922492.7536232,384 28,pass
194,69,21957987840.0,582470337.06,19329500000000.0,151911434.7826087,384 32,pass
195,69,21957987840.0,582470337.06,21745700000000.0,170900434.7826087,384 36,pass
196,69,21957987840.0,582470337.06,24161900000000.0,189889434.7826087,384 40,pass
197,69,21957987840.0,582470337.06,26578000000000.0,208877666.66666663,384 44,pass
198,69,21957987840.0,582470337.06,28994200000000.0,227866492.7536232,384 48,pass
199,68,19126832640.0,557928137.06,9664790000000.0,75956198.52941176,384 16,pass
200,68,19126832640.0,557928137.06,12081000000000.0,94944998.52941176,384 20,pass
201,68,19126832640.0,557928137.06,14497100000000.0,113933632.35294116,384 24,pass
202,68,19126832640.0,557928137.06,16913300000000.0,132922470.58823527,384 28,pass
203,68,19126832640.0,557928137.06,19329500000000.0,151911411.7647059,384 32,pass
204,68,19126832640.0,557928137.06,21745700000000.0,170900411.7647059,384 36,pass
205,68,19126832640.0,557928137.06,24161900000000.0,189889411.7647059,384 40,pass
206,68,19126832640.0,557928137.06,26578000000000.0,208877632.3529412,384 44,pass
207,68,19126832640.0,557928137.06,28994200000000.0,227866470.5882353,384 48,pass
208,68,19126832640.0,557928137.06,9664790000000.0,75956198.52941176,384 16,pass
209,68,19126832640.0,557928137.06,12081000000000.0,94944998.52941176,384 20,pass
210,68,19126832640.0,557928137.06,14497100000000.0,113933632.35294116,384 24,pass
211,68,19126832640.0,557928137.06,16913300000000.0,132922470.58823527,384 28,pass
212,68,19126832640.0,557928137.06,19329500000000.0,151911411.7647059,384 32,pass
213,68,19126832640.0,557928137.06,21745700000000.0,170900411.7647059,384 36,pass
214,68,19126832640.0,557928137.06,24161900000000.0,189889411.7647059,384 40,pass
215,68,19126832640.0,557928137.06,26578000000000.0,208877632.3529412,384 44,pass
216,68,19126832640.0,557928137.06,28994200000000.0,227866470.5882353,384 48,pass
217,66,14455426560.0,471676837.06,9664790000000.0,75956142.42424242,384 16,pass
218,66,14455426560.0,471676837.06,12081000000000.0,94944942.42424242,384 20,pass
219,66,14455426560.0,471676837.06,14497100000000.0,113933560.6060606,384 24,pass
220,66,14455426560.0,471676837.06,16913300000000.0,132922424.24242423,384 28,pass
221,66,14455426560.0,471676837.06,19329500000000.0,151911363.63636363,384 32,pass
222,66,14455426560.0,471676837.06,21745700000000.0,170900363.63636363,384 36,pass
223,66,14455426560.0,471676837.06,24161900000000.0,189889363.63636363,384 40,pass
224,66,14455426560.0,471676837.06,26578000000000.0,208877560.6060606,384 44,pass
225,66,14455426560.0,471676837.06,28994200000000.0,227866424.24242425,384 48,pass
226,64,11058040320.0,412107437.06,9664790000000.0,75956084.375,384 16,pass
227,64,11058040320.0,412107437.06,12081000000000.0,94944884.375,384 20,pass
228,64,11058040320.0,412107437.06,14497100000000.0,113933484.375,384 24,pass
229,64,11058040320.0,412107437.06,16913300000000.0,132922375.0,384 28,pass
230,64,11058040320.0,412107437.06,19329500000000.0,151911312.5,384 32,pass
231,64,11058040320.0,412107437.06,21745700000000.0,170900312.5,384 36,pass
232,64,11058040320.0,412107437.06,24161900000000.0,189889312.5,384 40,pass
233,64,11058040320.0,412107437.06,26578000000000.0,208877484.375,384 44,pass
234,64,11058040320.0,412107437.06,28994200000000.0,227866375.0,384 48,pass
235,61,5961960960.0,322753337.06,9664790000000.0,75955990.16393442,384 16,pass
236,61,5961960960.0,322753337.06,12081000000000.0,94944790.16393442,384 20,pass
237,61,5961960960.0,322753337.06,14497100000000.0,113933360.6557377,384 24,pass
238,61,5961960960.0,322753337.06,16913300000000.0,132922295.08196722,384 28,pass
239,61,5961960960.0,322753337.06,19329500000000.0,151911229.5081967,384 32,pass
240,61,5961960960.0,322753337.06,21745700000000.0,170900229.5081967,384 36,pass
241,61,5961960960.0,322753337.06,24161900000000.0,189889229.5081967,384 40,pass
242,61,5961960960.0,322753337.06,26578000000000.0,208877360.6557377,384 44,pass
243,61,5961960960.0,322753337.06,28994200000000.0,227866295.0819672,384 48,pass
244,54,812797440.0,51763037.06,9664790000000.0,75955716.66666667,384 16,pass
245,54,812797440.0,51763037.06,12081000000000.0,94944516.66666669,384 20,pass
246,54,812797440.0,51763037.06,14497100000000.0,113933018.51851852,384 24,pass
247,54,812797440.0,51763037.06,16913300000000.0,132922018.51851852,384 28,pass
248,54,812797440.0,51763037.06,19329500000000.0,151911000.0,384 32,pass
249,54,812797440.0,51763037.06,21745700000000.0,170900000.0,384 36,pass
250,54,812797440.0,51763037.06,24161900000000.0,189889000.0,384 40,pass
251,54,812797440.0,51763037.06,26578000000000.0,208877018.5185185,384 44,pass
252,54,812797440.0,51763037.06,28994200000000.0,227866018.5185185,384 48,pass
253,54,812797440.0,51763037.06,9664790000000.0,75955716.66666667,384 16,pass
254,54,812797440.0,51763037.06,12081000000000.0,94944516.66666669,384 20,pass
255,54,812797440.0,51763037.06,14497100000000.0,113933018.51851852,384 24,pass
256,54,812797440.0,51763037.06,16913300000000.0,132922018.51851852,384 28,pass
257,54,812797440.0,51763037.06,19329500000000.0,151911000.0,384 32,pass
258,54,812797440.0,51763037.06,21745700000000.0,170900000.0,384 36,pass
259,54,812797440.0,51763037.06,24161900000000.0,189889000.0,384 40,pass
260,54,812797440.0,51763037.06,26578000000000.0,208877018.5185185,384 44,pass
261,54,812797440.0,51763037.06,28994200000000.0,227866018.5185185,384 48,pass
262,53,600460800.0,48169867.06,9664790000000.0,75955715.09433962,384 16,pass
263,53,600460800.0,48169867.06,12081000000000.0,94944515.09433962,384 20,pass
264,53,600460800.0,48169867.06,14497100000000.0,113933018.86792453,384 24,pass
265,53,600460800.0,48169867.06,16913300000000.0,132922018.86792453,384 28,pass
266,53,600460800.0,48169867.06,19329500000000.0,151911000.0,384 32,pass
267,53,600460800.0,48169867.06,21745700000000.0,170900000.0,384 36,pass
268,53,600460800.0,48169867.06,24161900000000.0,189889000.0,384 40,pass
269,53,600460800.0,48169867.06,26578000000000.0,208877018.8679245,384 44,pass
270,53,600460800.0,48169867.06,28994200000000.0,227866018.8679245,384 48,pass
271,49,370675200.0,33936437.059999995,9664790000000.0,75955712.24489796,384 16,pass
272,49,370675200.0,33936437.059999995,12081000000000.0,94944512.24489796,384 20,pass
273,49,370675200.0,33936437.059999995,14497100000000.0,113933020.40816326,384 24,pass
274,49,370675200.0,33936437.059999995,16913300000000.0,132922020.40816326,384 28,pass
275,49,370675200.0,33936437.059999995,19329500000000.0,151911000.0,384 32,pass
276,49,370675200.0,33936437.059999995,21745700000000.0,170900000.0,384 36,pass
277,49,370675200.0,33936437.059999995,24161900000000.0,189889000.0,384 40,pass
278,49,370675200.0,33936437.059999995,26578000000000.0,208877020.40816328,384 44,pass
279,49,370675200.0,33936437.059999995,28994200000000.0,227866020.40816328,384 48,pass
280,43,219287040.0,26666567.06,9664790000000.0,75955713.95348836,384 16,pass
281,43,219287040.0,26666567.06,12081000000000.0,94944513.95348836,384 20,pass
282,43,219287040.0,26666567.06,14497100000000.0,113933023.25581396,384 24,pass
283,43,219287040.0,26666567.06,16913300000000.0,132922023.25581396,384 28,pass
284,43,219287040.0,26666567.06,19329500000000.0,151911000.0,384 32,pass
285,43,219287040.0,26666567.06,21745700000000.0,170900000.0,384 36,pass
286,43,219287040.0,26666567.06,24161900000000.0,189889000.0,384 40,pass
287,43,219287040.0,26666567.06,26578000000000.0,208877023.255814,384 44,pass
288,43,219287040.0,26666567.06,28994200000000.0,227866023.255814,384 48,pass
289,0,0.0,0.0,9664790000000.0,,384 16,fail
290,0,0.0,0.0,12081000000000.0,,384 20,fail
291,0,0.0,0.0,14497100000000.0,,384 24,fail
292,0,0.0,0.0,16913300000000.0,,384 28,fail
293,0,0.0,0.0,19329500000000.0,,384 32,fail
294,0,0.0,0.0,21745700000000.0,,384 36,fail
295,0,0.0,0.0,24161900000000.0,,384 40,fail
296,0,0.0,0.0,26578000000000.0,,384 44,fail
297,0,0.0,0.0,28994200000000.0,,384 48,fail
298,0,0.0,0.0,9664790000000.0,,384 16,fail
299,0,0.0,0.0,12081000000000.0,,384 20,fail
300,0,0.0,0.0,14497100000000.0,,384 24,fail
301,0,0.0,0.0,16913300000000.0,,384 28,fail
302,0,0.0,0.0,19329500000000.0,,384 32,fail
303,0,0.0,0.0,21745700000000.0,,384 36,fail
304,0,0.0,0.0,24161900000000.0,,384 40,fail
305,0,0.0,0.0,26578000000000.0,,384 44,fail
306,0,0.0,0.0,28994200000000.0,,384 48,fail
307,0,0.0,0.0,9664790000000.0,,384 16,fail
308,0,0.0,0.0,12081000000000.0,,384 20,fail
309,0,0.0,0.0,14497100000000.0,,384 24,fail
310,0,0.0,0.0,16913300000000.0,,384 28,fail
311,0,0.0,0.0,19329500000000.0,,384 32,fail
312,0,0.0,0.0,21745700000000.0,,384 36,fail
313,0,0.0,0.0,24161900000000.0,,384 40,fail
314,0,0.0,0.0,26578000000000.0,,384 44,fail
315,0,0.0,0.0,28994200000000.0,,384 48,fail
316,0,0.0,0.0,9664790000000.0,,384 16,fail
317,0,0.0,0.0,12081000000000.0,,384 20,fail
318,0,0.0,0.0,14497100000000.0,,384 24,fail
319,0,0.0,0.0,16913300000000.0,,384 28,fail
320,0,0.0,0.0,19329500000000.0,,384 32,fail
321,0,0.0,0.0,21745700000000.0,,384 36,fail
322,0,0.0,0.0,24161900000000.0,,384 40,fail
323,0,0.0,0.0,26578000000000.0,,384 44,fail
