DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,70,414731026.11529785,49431022825.3613,20780.26853593016,4473187932.48788,24 64,pass
1,0,0.0,0.0,0.0,0.0,6 48,pass
2,0,0.0,0.0,0.0,0.0,6 44,pass
3,0,0.0,0.0,0.0,0.0,6 40,pass
4,0,0.0,0.0,0.0,0.0,6 36,pass
5,0,0.0,0.0,0.0,0.0,6 32,pass
6,0,0.0,0.0,0.0,0.0,6 28,pass
7,0,0.0,0.0,0.0,0.0,6 24,pass
8,0,0.0,0.0,0.0,0.0,6 20,pass
9,0,0.0,0.0,0.0,0.0,6 16,pass
10,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,7 48,pass
11,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,7 44,pass
12,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,7 40,pass
13,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,7 36,pass
14,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,7 32,pass
15,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,7 28,pass
16,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,7 24,pass
17,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,7 20,pass
18,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,7 16,pass
19,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,8 48,pass
20,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,8 44,pass
21,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,8 40,pass
22,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,8 36,pass
23,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,8 32,pass
24,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,8 28,pass
25,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,8 24,pass
26,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,8 20,pass
27,1,470446.20021281455,2451672713.858402,1035.8860763900911,142364934.7012711,8 16,pass
28,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,9 48,pass
29,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,9 44,pass
30,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,9 40,pass
31,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,9 36,pass
32,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,9 32,pass
33,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,9 28,pass
34,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,9 24,pass
35,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,9 20,pass
36,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,9 16,pass
37,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,10 48,pass
38,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,10 44,pass
39,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,10 40,pass
40,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,10 36,pass
41,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,10 32,pass
42,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,10 28,pass
43,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,10 24,pass
44,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,10 20,pass
45,2,935472.4004256292,4903345427.716804,2071.7721527801823,282772060.5163607,10 16,pass
46,9,109717497.98496117,8050763100.913401,3401.625899497192,1580867360.2878137,11 48,pass
47,9,109717497.98496117,8050763100.913401,3401.625899497192,1580867360.2878137,11 44,pass
48,9,109717497.98496117,8050763100.913401,3401.625899497192,1580867360.2878137,11 40,pass
49,9,109717497.98496117,8050763100.913401,3401.625899497192,1580867360.2878137,11 36,pass
50,9,109717497.98496117,8050763100.913401,3401.625899497192,1580867360.2878137,11 32,pass
51,9,109717497.98496117,8050763100.913401,3401.625899497192,1580867360.2878137,11 28,pass
52,9,109717497.98496117,8050763100.913401,3401.625899497192,1580867360.2878137,11 24,pass
53,9,109717497.98496117,8050763100.913401,3401.625899497192,1580867360.2878137,11 20,pass
54,9,109717497.98496117,8050763100.913401,3401.625899497192,1580867360.2878137,11 16,pass
55,12,120882846.79006869,9475383731.93923,4003.5597006427847,2022419226.2713351,12 48,pass
56,12,120882846.79006869,9475383731.93923,4003.5597006427847,2022419226.2713351,12 44,pass
57,12,120882846.79006869,9475383731.93923,4003.5597006427847,2022419226.2713351,12 40,pass
58,12,120882846.79006869,9475383731.93923,4003.5597006427847,2022419226.2713351,12 36,pass
59,12,120882846.79006869,9475383731.93923,4003.5597006427847,2022419226.2713351,12 32,pass
60,12,120882846.79006869,9475383731.93923,4003.5597006427847,2022419226.2713351,12 28,pass
61,12,120882846.79006869,9475383731.93923,4003.5597006427847,2022419226.2713351,12 24,pass
62,12,120882846.79006869,9475383731.93923,4003.5597006427847,2022419226.2713351,12 20,pass
63,12,120882846.79006869,9475383731.93923,4003.5597006427847,2022419226.2713351,12 16,pass
64,15,126456441.19262244,11363834335.857187,4801.47194867299,2454402039.9010806,13 48,pass
65,15,126456441.19262244,11363834335.857187,4801.47194867299,2454402039.9010806,13 44,pass
66,15,126456441.19262244,11363834335.857187,4801.47194867299,2454402039.9010806,13 40,pass
67,15,126456441.19262244,11363834335.857187,4801.47194867299,2454402039.9010806,13 36,pass
