DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,70,414731026.11529785,49431022825.3613,20780.26853593016,4473187932.48788,24 64,pass
1,0,0.0,0.0,0.0,0.0,6 48,pass
2,0,0.0,0.0,0.0,0.0,6 44,pass
3,0,0.0,0.0,0.0,0.0,6 40,pass
4,0,0.0,0.0,0.0,0.0,6 36,pass
5,0,0.0,0.0,0.0,0.0,6 32,pass
6,0,0.0,0.0,0.0,0.0,6 28,pass
7,0,0.0,0.0,0.0,0.0,6 24,pass
8,0,0.0,0.0,0.0,0.0,6 20,pass
9,0,0.0,0.0,0.0,0.0,6 16,pass
10,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,7 48,pass
11,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,7 44,pass
12,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,7 40,pass
13,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,7 36,pass
14,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,7 32,pass
15,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,7 28,pass
16,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,7 24,pass
17,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,7 20,pass
18,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,7 16,pass
19,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,8 48,pass
20,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,8 44,pass
21,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,8 40,pass
22,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,8 36,pass
23,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,8 32,pass
24,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,8 28,pass
25,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,8 24,pass
26,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,8 20,pass
27,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,8 16,pass
28,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,9 48,pass
29,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,9 44,pass
30,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,9 40,pass
31,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,9 36,pass
32,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,9 32,pass
33,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,9 28,pass
34,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,9 24,pass
35,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,9 20,pass
36,2,2350951.0010640747,3081156248.497721,1301.856825733493,288458897.5641067,9 16,pass
37,3,2815977.201276889,5532828962.356123,2337.742902123584,428866023.3791963,10 48,pass
38,3,2815977.201276889,5532828962.356123,2337.742902123584,428866023.3791963,10 44,pass
39,3,2815977.201276889,5532828962.356123,2337.742902123584,428866023.3791963,10 40,pass
40,3,2815977.201276889,5532828962.356123,2337.742902123584,428866023.3791963,10 36,pass
41,3,2815977.201276889,5532828962.356123,2337.742902123584,428866023.3791963,10 32,pass
42,3,2815977.201276889,5532828962.356123,2337.742902123584,428866023.3791963,10 28,pass
43,3,2815977.201276889,5532828962.356123,2337.742902123584,428866023.3791963,10 24,pass
44,3,2815977.201276889,5532828962.356123,2337.742902123584,428866023.3791963,10 20,pass
45,3,2815977.201276889,5532828962.356123,2337.742902123584,428866023.3791963,10 16,pass
46,4,3281003.4014897035,7984501676.214525,3373.628978513675,569273149.1942859,11 48,pass
47,4,3281003.4014897035,7984501676.214525,3373.628978513675,569273149.1942859,11 44,pass
48,4,3281003.4014897035,7984501676.214525,3373.628978513675,569273149.1942859,11 40,pass
49,4,3281003.4014897035,7984501676.214525,3373.628978513675,569273149.1942859,11 36,pass
50,4,3281003.4014897035,7984501676.214525,3373.628978513675,569273149.1942859,11 32,pass
51,4,3281003.4014897035,7984501676.214525,3373.628978513675,569273149.1942859,11 28,pass
52,4,3281003.4014897035,7984501676.214525,3373.628978513675,569273149.1942859,11 24,pass
53,4,3281003.4014897035,7984501676.214525,3373.628978513675,569273149.1942859,11 20,pass
54,4,3281003.4014897035,7984501676.214525,3373.628978513675,569273149.1942859,11 16,pass
55,7,14516052.20659723,9409122307.240353,3975.562779659269,1010978931.219986,12 48,pass
56,7,14516052.20659723,9409122307.240353,3975.562779659269,1010978931.219986,12 44,pass
57,7,14516052.20659723,9409122307.240353,3975.562779659269,1010978931.219986,12 40,pass
58,7,14516052.20659723,9409122307.240353,3975.562779659269,1010978931.219986,12 36,pass
59,7,14516052.20659723,9409122307.240353,3975.562779659269,1010978931.219986,12 32,pass
60,7,14516052.20659723,9409122307.240353,3975.562779659269,1010978931.219986,12 28,pass
61,7,14516052.20659723,9409122307.240353,3975.562779659269,1010978931.219986,12 24,pass
62,7,14516052.20659723,9409122307.240353,3975.562779659269,1010978931.219986,12 20,pass
63,7,14516052.20659723,9409122307.240353,3975.562779659269,1010978931.219986,12 16,pass
64,9,18231781.80829975,10668089376.518991,4507.504278346072,1298967473.6398163,13 48,pass
65,9,18231781.80829975,10668089376.518991,4507.504278346072,1298967473.6398163,13 44,pass
66,9,18231781.80829975,10668089376.518991,4507.504278346072,1298967473.6398163,13 40,pass
67,9,18231781.80829975,10668089376.518991,4507.504278346072,1298967473.6398163,13 36,pass
68,9,18231781.80829975,10668089376.518991,4507.504278346072,1298967473.6398163,13 32,pass
