Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
resnext50,L0,1024,170496,69040.6,888,1.2862e+07,7.70715e+13,6.05706e+08,80,66.1363,80,1,80,14304,384,1,1,155952,12288,2.19292e+12,151400448,1251.64,1356.6,49.3488,6.05703e+08,151400448, 9450240, 9450240, 155952, 16.0208, 151400448, 1822720, 1822720, 12288, 83.0629, 151400448, 151400448, 3125824, 4688640, 1, 0, 0, 0, 0, 0, 0, 64, 64, 64, 888, 12.8
resnext50,L1,1024,28672,358020,896,2.50265e+06,7.70715e+13,6.05704e+08,896,896,896,1,896,1936,6,1,1,200704,8192,7.1756e+10,25690112,1251.64,21.1968,6.6792,6.05703e+08,25690112, 1605240, 1605240, 200704, 16.0039, 25690112, 451712, 451712, 8192, 56.8728, 25690112, 25690112, 401408, 25690112, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 896, 12.4444
resnext50,L2,1024,15925248,1.14222e+07,864,75642.1,7.70715e+13,6.05711e+08,96,96,96,1,96,95616,1728,1,1,12845056,4718592,1.20462e+12,13759414272,1251.64,6104.68,329.875,6.05703e+08,13759414272, 859854528, 859854528, 12845056, 16.002, 13759414272, 252850176, 252850176, 4718592, 54.4173, 13759414272, 13759414272, 1528823808, 1528823808, 1, 0, 0, 0, 0, 0, 0, 288, 288, 288, 864, 12.3429
resnext50,L3,1024,114688,2.21735e+07,896,40408.6,7.70715e+13,6.05704e+08,896,896,896,1,896,1936,6,1,1,401408,32768,4.63438e+09,102760448,1251.64,21.1968,6.6792,6.05703e+08,102760448, 6421688, 6421688, 401408, 16.0021, 102760448, 1820928, 1820928, 32768, 56.433, 102760448, 102760448, 802816, 102760448, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 896, 12.4444
resnext50,L4,1024,57344,400472,896,2.23736e+06,7.70715e+13,6.05704e+08,896,896,896,1,896,1936,6,1,1,200704,16384,1.28299e+11,51380224,1251.64,21.1968,6.6792,6.05703e+08,51380224, 3210424, 3210424, 200704, 16.0042, 51380224, 903424, 903424, 16384, 56.8728, 51380224, 51380224, 802816, 51380224, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 896, 12.4444
resnext50,L5,1024,14336,11861,56,4.72135e+06,7.70715e+13,6.05704e+08,57,56.0001,57,1,57,226,6,1,1,802816,256,6.76852e+10,802816,1251.64,21.1968,0.7797,6.05703e+08,802816, 802561, 802561, 802816, 1.00032, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1
resnext50,L6,1024,114688,480286,896,1.86555e+06,7.70715e+13,6.05704e+08,896,896,896,1,896,1936,6,1,1,802816,32768,2.13957e+11,102760448,1251.64,21.1968,6.6792,6.05703e+08,102760448, 6422136, 6422136, 802816, 16.001, 102760448, 1827968, 1827968, 32768, 56.2157, 102760448, 102760448, 401408, 102760448, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 896, 12.4444
resnext50,L7,1024,15925248,1.15437e+07,864,74845.8,7.70715e+13,6.05711e+08,96,96,96,1,96,95616,1728,1,1,12845056,4718592,1.19194e+12,13759414272,1251.64,6104.68,329.875,6.05703e+08,13759414272, 859854528, 859854528, 12845056, 16.002, 13759414272, 252850176, 252850176, 4718592, 54.4173, 13759414272, 13759414272, 1528823808, 1528823808, 1, 0, 0, 0, 0, 0, 0, 288, 288, 288, 864, 12.3429
resnext50,L8,1024,114688,2.21735e+07,896,40408.6,7.70715e+13,6.05704e+08,896,896,896,1,896,1936,6,1,1,401408,32768,4.63438e+09,102760448,1251.64,21.1968,6.6792,6.05703e+08,102760448, 6421688, 6421688, 401408, 16.0021, 102760448, 1820928, 1820928, 32768, 56.433, 102760448, 102760448, 802816, 102760448, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 896, 12.4444
resnext50,L9,1024,14336,11861,56,4.72135e+06,7.70715e+13,6.05704e+08,57,56.0001,57,1,57,226,6,1,1,802816,256,6.76852e+10,802816,1251.64,21.1968,0.7797,6.05703e+08,802816, 802561, 802561, 802816, 1.00032, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1
