DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,70,89679620.625,401668695.9000001,410461000000000.0,3225779285.714286,4096 64,pass
1,63,187776056.25,364124370.93000007,25690900000000.0,201904158.73015872,1024 16,pass
2,63,187776056.25,364124370.93000007,32113400000000.0,252379158.73015872,1024 20,pass
3,63,187776056.25,364124370.93000007,38536000000000.0,302854158.73015875,1024 24,pass
4,63,187776056.25,364124370.93000007,44958600000000.0,353329317.46031743,1024 28,pass
5,63,187776056.25,364124370.93000007,51381200000000.0,403804365.0793651,1024 32,pass
6,63,187776056.25,364124370.93000007,57803700000000.0,454280158.7301588,1024 36,pass
7,63,187776056.25,364124370.93000007,64226300000000.0,504755158.7301588,1024 40,pass
8,63,187776056.25,364124370.93000007,70648900000000.0,555230158.7301587,1024 44,pass
9,63,187776056.25,364124370.93000007,77071500000000.0,605705317.4603175,1024 48,pass
10,62,164413496.25,354671690.93000007,25690900000000.0,201904048.3870968,1024 16,pass
11,62,164413496.25,354671690.93000007,32113400000000.0,252379048.3870968,1024 20,pass
12,62,164413496.25,354671690.93000007,38536000000000.0,302854048.3870968,1024 24,pass
13,62,164413496.25,354671690.93000007,44958600000000.0,353329193.5483871,1024 28,pass
14,62,164413496.25,354671690.93000007,51381200000000.0,403804241.9354839,1024 32,pass
15,62,164413496.25,354671690.93000007,57803700000000.0,454280048.3870968,1024 36,pass
16,62,164413496.25,354671690.93000007,64226300000000.0,504755048.3870968,1024 40,pass
17,62,164413496.25,354671690.93000007,70648900000000.0,555230048.3870968,1024 44,pass
18,62,164413496.25,354671690.93000007,77071500000000.0,605705193.548387,1024 48,pass
19,61,144506936.25,347551120.93,25690900000000.0,201903934.4262295,1024 16,pass
20,61,144506936.25,347551120.93,32113400000000.0,252378934.4262295,1024 20,pass
21,61,144506936.25,347551120.93,38536000000000.0,302853934.42622954,1024 24,pass
22,61,144506936.25,347551120.93,44958600000000.0,353329065.57377046,1024 28,pass
